"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0.0450002,5.3324624635491637E+002,6.1937710915343462E+002,-6.1888720636323774E+002,-4.8990279019689975E-001,5.3848343494075175E+002,-2.4290077420775788E+001,-5.1419335751997596E+002,4.0761859709430350E+003
0.0452002,5.3420587640489566E+002,5.2233040195835326E+002,-5.2161535989370293E+002,-7.1504206465032560E-001,5.3924874471212672E+002,-5.2089979692937050E-001,-5.3872784491519735E+002,3.4935611559326358E+003
0.0454002,5.3373069480415256E+002,4.0866243261624265E+002,-3.7530483224749167E+002,-3.3357600368750980E+001,5.3851358582473563E+002,-3.4194688993193267E-001,-5.3817163893480370E+002,2.8014244695280963E+003
0.0456002,5.3170477821353973E+002,2.8957361138349250E+002,-1.6792771927713108E+002,-1.2164589210636143E+002,5.3616120767821462E+002,-4.6281780889103175E-002,-5.3611492589732552E+002,2.1364616081599656E+003
0.0458002,5.2816660230502464E+002,2.1452355819015713E+002,-2.6348034398876541E-001,-2.1426007784616837E+002,3.9803746432449168E+002,1.3455685685564583E+002,-5.3259432118013751E+002,1.6837161525642337E+003
0.0460002,5.2452393068566846E+002,2.4533110719791227E+002,-2.0370479623749005E-001,-2.4512740240167477E+002,3.6635916580004414E+002,1.6265416585796152E+002,-5.2901333165800565E+002,1.8118484805958983E+003
0.0462002,5.2141642348286769E+002,2.9397361124483615E+002,-1.4312531871934570E-001,-2.9383048592611681E+002,3.3456431900248015E+002,1.9143885715795881E+002,-5.2600317616043890E+002,2.0403777718354968E+003
0.0464002,5.1905040202123223E+002,3.5566558714629775E+002,-8.1980990955961161E-002,-3.5558360615534178E+002,3.0287083867019879E+002,2.2088976573332872E+002,-5.2376060440352751E+002,2.3544023991831232E+003
0.0466002,5.1756618890633422E+002,4.2531442412802528E+002,-2.0513121674829229E-002,-4.2529391100635047E+002,2.7146444772372843E+002,2.5095130553579799E+002,-5.2241575325952635E+002,2.7349471948764276E+003
0.0468002,5.1703486427931637E+002,4.9764871543940563E+002,4.1035703525998203E-002,-4.9768975114293164E+002,2.4049670756010704E+002,2.8153245212176773E+002,-5.2202915968187472E+002,3.1572439811912045E+003
