"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
0.22,1.4364592461617387E+000,3.4364592461617387E+000,0.0000000000000000E+000,3.7099035923747786E-001,0,1.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.5496959589947585E+000
0.24,1.4754052528542692E+000,3.4754052528542694E+000,0.0000000000000000E+000,4.0409446492612877E-001,0,1.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.7381884237147545E+000
0.26,1.5141611037843101E+000,3.5141611037843101E+000,1.4161103784310236E-002,4.3703693821666367E-001,0,1.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.9158745096856462E+000
0.28,1.5527112971282275E+000,3.5527112971282273E+000,5.2711297128227530E-002,4.6980460255899342E-001,0,1.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.3,1.5910404133226792E+000,3.5910404133226792E+000,9.1040413322679092E-002,5.0238435132427728E-001,0,1.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.32,1.6291331212322355E+000,3.6291331212322353E+000,1.2913312123223553E-001,5.3476315304740019E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.34,1.6669741842816288E+000,3.6669741842816288E+000,1.6697418428162880E-001,5.6692805663938450E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.36,1.7045484665501798E+000,3.7045484665501798E+000,2.0454846655017989E-001,5.9886619656765294E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.38,1.7418409388259652E+000,3.7418409388259652E+000,2.4184093882596536E-001,6.3056479800207055E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.4,1.7788366846173012E+000,3.7788366846173012E+000,2.7883668461730104E-001,6.6201118192470587E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.42,1.8155209061191404E+000,3.8155209061191404E+000,3.1552090611914030E-001,6.9319277020126924E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.44,1.8518789301319991E+000,3.8518789301319991E+000,3.5187893013199922E-001,7.2409709061219929E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.46,1.8878962139310396E+000,3.8878962139310396E+000,3.8789621393103957E-001,7.5471178184138366E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.48,1.9235583510829657E+000,3.9235583510829657E+000,4.2355835108296569E-001,7.8502459842052086E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.5,1.9588510772084060E+000,3.9588510772084060E+000,4.5885107720840601E-001,8.1502341562714509E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.52,1.9937602756874735E+000,3.9937602756874737E+000,4.9376027568747349E-001,8.4469623433435248E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
