"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
2.741,1.4263337695000390E+001,1.4263337695000390E+001,-1.1889209999999725E+001,-1.1889209999999725E+001
2.761,1.4023591495000392E+001,1.4023591495000392E+001,-1.2085409999999722E+001,-1.2085409999999722E+001
2.781,1.3779921295000397E+001,1.3779921295000397E+001,-1.2281609999999720E+001,-1.2281609999999720E+001
2.801,1.3532327095000404E+001,1.3532327095000404E+001,-1.2477809999999717E+001,-1.2477809999999717E+001
2.821,1.3280808895000412E+001,1.3280808895000412E+001,-1.2674009999999715E+001,-1.2674009999999715E+001
2.841,1.3025366695000416E+001,1.3025366695000416E+001,-1.2870209999999712E+001,-1.2870209999999712E+001
2.861,1.2766000495000421E+001,1.2766000495000421E+001,-1.3066409999999710E+001,-1.3066409999999710E+001
2.881,1.2502710295000428E+001,1.2502710295000428E+001,-1.3262609999999707E+001,-1.3262609999999707E+001
2.901,1.2235496095000434E+001,1.2235496095000434E+001,-1.3458809999999705E+001,-1.3458809999999705E+001
2.921,1.1964357895000438E+001,1.1964357895000438E+001,-1.3655009999999702E+001,-1.3655009999999702E+001
2.941,1.1689295695000444E+001,1.1689295695000444E+001,-1.3851209999999700E+001,-1.3851209999999700E+001
2.961,1.1410309495000453E+001,1.1410309495000453E+001,-1.4047409999999697E+001,-1.4047409999999697E+001
2.981,1.1127399295000458E+001,1.1127399295000458E+001,-1.4243609999999695E+001,-1.4243609999999695E+001
3.001,1.0840565095000462E+001,1.0840565095000462E+001,-1.4439809999999692E+001,-1.4439809999999692E+001
3.021,1.0549806895000469E+001,1.0549806895000469E+001,-1.4636009999999690E+001,-1.4636009999999690E+001
3.041,1.0255124695000477E+001,1.0255124695000477E+001,-1.4832209999999687E+001,-1.4832209999999687E+001
3.061,9.9565184950004824E+000,9.9565184950004824E+000,-1.5028409999999685E+001,-1.5028409999999685E+001
3.081,9.6539882950004881E+000,9.6539882950004881E+000,-1.5224609999999682E+001,-1.5224609999999682E+001
3.101,9.3475340950004959E+000,9.3475340950004959E+000,-1.5420809999999680E+001,-1.5420809999999680E+001
3.121,9.0371558950005042E+000,9.0371558950005042E+000,-1.5617009999999677E+001,-1.5617009999999677E+001
3.141,8.7228536950005076E+000,8.7228536950005076E+000,-1.5813209999999675E+001,-1.5813209999999675E+001
3.161,8.4046274950005131E+000,8.4046274950005131E+000,-1.6009409999999672E+001,-1.6009409999999672E+001
3.181,8.0824772950005208E+000,8.0824772950005208E+000,-1.6205609999999705E+001,-1.6205609999999705E+001
3.201,7.7564030950005263E+000,7.7564030950005263E+000,-1.6401809999999738E+001,-1.6401809999999738E+001
