"time","part5_displacement_output"
7.83,-1.0200186882672955E+002
7.831,-1.0202133792295594E+002
7.832,-1.0203880160917919E+002
7.833,-1.0205425384018612E+002
7.834,-1.0206768868597496E+002
7.835,-1.0207910039626721E+002
7.836,-1.0208848342847347E+002
7.837,-1.0209583238147070E+002
7.838,-1.0210114204173436E+002
7.839,-1.0210440739262718E+002
7.84,-1.0210562358476555E+002
7.841,-1.0210478596360325E+002
7.842,-1.0210189005988275E+002
7.843,-1.0209693159683128E+002
7.844,-1.0208990649904401E+002
7.845,-1.0208081086395227E+002
7.846,-1.0206964100608160E+002
7.847,-1.0205639344706633E+002
7.848,-1.0204106486803246E+002
7.849,-1.0202365219110389E+002
7.85,-1.0200415255042135E+002
7.851,-1.0198256322532418E+002
7.852,-1.0195888175929420E+002
7.853,-1.0193310591183476E+002
7.854,-1.0190523357240785E+002
7.855,-1.0187526291690720E+002
7.856,-1.0184319234033613E+002
7.857,-1.0180902035142203E+002
7.858,-1.0177274576672482E+002
7.859,-1.0173436762405696E+002
7.86,-1.0169388505769615E+002
7.861,-1.0165129753024942E+002
7.862,-1.0160660472670257E+002
7.863,-1.0155980641028371E+002
7.864,-1.0151090269206131E+002
7.865,-1.0145989390562823E+002
7.866,-1.0140678044359201E+002
7.867,-1.0135156306493083E+002
7.868,-1.0129424269163351E+002
7.869,-1.0123482051919147E+002
7.87,-1.0117329777496556E+002
7.871,-1.0110967607585309E+002
7.872,-1.0104395725777171E+002
7.873,-1.0097614316705776E+002
7.874,-1.0090623605579781E+002
7.875,-1.0083423839198822E+002
7.876,-1.0076015263171297E+002
7.877,-1.0068398165203961E+002
7.878,-1.0060572854190777E+002
7.879,-1.0052539635518504E+002
7.88,-1.0044298858100559E+002
7.881,-1.0035850891545459E+002
7.882,-1.0027196099562225E+002
7.883,-1.0018334890721096E+002
7.884,-1.0009267693714042E+002
7.885,-9.9999949288708223E+001
7.886,-9.9905170626290470E+001
7.887,-9.9808345808971893E+001
7.888,-9.9709479586963667E+001
7.889,-9.9608577183202584E+001
7.89,-9.9505644008106444E+001
7.891,-9.9400685337440152E+001
7.892,-9.9293706930544019E+001
7.893,-9.9184714726396805E+001
7.894,-9.9073714503087871E+001
7.895,-9.8960712532402752E+001
7.896,-9.8845715257370216E+001
7.897,-9.8728728933530562E+001
7.898,-9.8609760319582165E+001
7.899,-9.8488816336581252E+001
7.9,-9.8365903691239495E+001
7.901,-9.8241029602288947E+001
7.902,-9.8114201441537631E+001
7.903,-9.7985426339402451E+001
7.904,-9.7854711946660743E+001
7.905,-9.7722066057565158E+001
7.906,-9.7587496197845127E+001
7.907,-9.7451010421465000E+001
7.908,-9.7312616916028034E+001
7.909,-9.7172323573479773E+001
7.91,-9.7030138821482453E+001
7.911,-9.6886071211334837E+001
7.912,-9.6740128971628394E+001
7.913,-9.6592320873838219E+001
7.914,-9.6442655802967010E+001
7.915,-9.6291142294455440E+001
7.916,-9.6137789433498796E+001
7.917,-9.5982606251816549E+001
7.918,-9.5825602032556873E+001
7.919,-9.5666785673877769E+001
7.92,-9.5506166632563620E+001
7.921,-9.5343754455433995E+001
7.922,-9.5179558278136923E+001
7.923,-9.5013587801441858E+001
7.924,-9.4845852806248800E+001
7.925,-9.4676362636531778E+001
7.926,-9.4505127207780589E+001
7.927,-9.4332156505914284E+001
7.928,-9.4157460054628501E+001
7.929,-9.3981047955502760E+001
7.93,-9.3802930371073344E+001
7.931,-9.3623116976881775E+001
7.932,-9.3441618032725643E+001
7.933,-9.3258443850163417E+001
7.934,-9.3073604229562079E+001
7.935,-9.2887109561949259E+001
7.936,-9.2698970281237877E+001
7.937,-9.2509196286564020E+001
7.938,-9.2317798074191813E+001
7.939,-9.2124786174754846E+001
7.94,-9.1930170561156544E+001
7.941,-9.1733961809994909E+001
7.942,-9.1536170524097443E+001
7.943,-9.1336806726278567E+001
7.944,-9.1135881049725171E+001
7.945,-9.0933404146111101E+001
7.946,-9.0729386065512600E+001
7.947,-9.0523837475172556E+001
7.948,-9.0316769053504203E+001
7.949,-9.0108190856431648E+001
7.95,-8.9898113563994116E+001
7.951,-8.9686547860502728E+001
7.952,-8.9473503787597679E+001
7.953,-8.9258992018144141E+001
7.954,-8.9043023222800940E+001
7.955,-8.8825607410107608E+001
7.956,-8.8606755227066216E+001
7.957,-8.8386477312449912E+001
7.958,-8.8164783624175371E+001
7.959,-8.7941684766020842E+001
7.96,-8.7717191327935907E+001
7.961,-8.7491313200999258E+001
7.962,-8.7264060929687233E+001
7.963,-8.7035445039495812E+001
7.964,-8.6805475339723856E+001
7.965,-8.6574162300769899E+001
7.966,-8.6341516134782722E+001
7.967,-8.6107547259181629E+001
7.968,-8.5872265353188041E+001
7.969,-8.5635680767585214E+001
7.97,-8.5397803823748262E+001
7.971,-8.5158644089145923E+001
7.972,-8.4918211810799463E+001
7.973,-8.4676517202529126E+001
7.974,-8.4433569709200015E+001
7.975,-8.4189379463339307E+001
7.976,-8.3943956560848790E+001
7.977,-8.3697310314283030E+001
7.978,-8.3449450732061138E+001
7.979,-8.3200387782924693E+001
7.98,-8.2950130638492638E+001
7.981,-8.2698689174540178E+001
7.982,-8.2446073224466801E+001
7.983,-8.2192291811369415E+001
7.984,-8.1937354669569004E+001
7.985,-8.1681271492624973E+001
7.986,-8.1424051147139551E+001
7.987,-8.1165703222044229E+001
7.988,-8.0906237259470558E+001
7.989,-8.0645661966622384E+001
7.99,-8.0383986780124644E+001
7.991,-8.0121221088029216E+001
7.992,-7.9857373431979781E+001
7.993,-7.9592453091525925E+001
7.994,-7.9326469296169947E+001
7.995,-7.9059430418014102E+001
7.996,-7.8791345575587741E+001
7.997,-7.8522223836147262E+001
7.998,-7.8252073399052009E+001
7.999,-7.7980903218617001E+001
8,-7.7708722196877844E+001
8.001,-7.7435538357975176E+001
8.002,-7.7161360489490363E+001
8.003,-7.6886197325979978E+001
8.004,-7.6610056714510662E+001
8.005,-7.6332947274090600E+001
8.006,-7.6054877570127630E+001
8.007,-7.5775855271408332E+001
8.008,-7.5495888827087015E+001
8.009,-7.5214986632362937E+001
8.01,-7.4933156177058862E+001
8.011,-7.4650405739770136E+001
8.012,-7.4366743259342911E+001
8.013,-7.4082176903250627E+001
8.014,-7.3796713922537265E+001
8.015,-7.3510362368122145E+001
8.016,-7.3223130236737092E+001
8.017,-7.2935024600802066E+001
8.018,-7.2646053340858600E+001
8.019,-7.2356224283408025E+001
8.02,-7.2065544323099488E+001
8.021,-7.1774021170865595E+001
8.022,-7.1481662483872114E+001
8.023,-7.1188474980215418E+001
8.024,-7.0894466202346280E+001
8.025,-7.0599643639334261E+001
8.026,-7.0304013834264836E+001
8.027,-7.0007584162558047E+001
8.028,-6.9710361946728682E+001
8.029,-6.9412353556686938E+001
8.03,-6.9113566202549251E+001
8.031,-6.8814007042101011E+001
8.032,-6.8513682274164694E+001
8.033,-6.8212598945534751E+001
8.034,-6.7910764051324534E+001
8.035,-6.7608183621590101E+001
8.036,-6.7304864542003756E+001
8.037,-6.7000813647278108E+001
8.038,-6.6696036801213964E+001
8.039,-6.6390540730759753E+001
8.04,-6.6084332112677302E+001
8.041,-6.5777416647195821E+001
8.042,-6.5469800905100470E+001
8.043,-6.5161491407817010E+001
8.044,-6.4852493694826777E+001
8.045,-6.4542814183451938E+001
8.046,-6.4232459242524925E+001
8.047,-6.3921434253737409E+001
8.048,-6.3609745483766041E+001
8.049,-6.3297399151706706E+001
8.05,-6.2984400484509543E+001
8.051,-6.2670755601125180E+001
8.052,-6.2356470573863419E+001
8.053,-6.2041550478066313E+001
8.054,-6.1726001287955462E+001
8.055,-6.1409828932078298E+001
8.056,-6.1093038337367290E+001
8.057,-6.0775635336376276E+001
8.058,-6.0457625716967769E+001
8.059,-6.0139014260911175E+001
8.06,-5.9819806662202033E+001
8.061,-5.9500008249387129E+001
8.062,-5.9179624627608163E+001
8.063,-5.8858660390190622E+001
8.064,-5.8537121051277055E+001
8.065,-5.8215012082651548E+001
8.066,-5.7892337940158200E+001
8.067,-5.7569104006742087E+001
8.068,-5.7245315624001435E+001
8.069,-5.6920977113607343E+001
8.07,-5.6596093730478806E+001
8.071,-5.6270670689199640E+001
8.072,-5.5944712180574449E+001
8.073,-5.5618223334662069E+001
8.074,-5.5291209242197482E+001
8.075,-5.4963673966409303E+001
8.076,-5.4635622515653218E+001
8.077,-5.4307059859959494E+001
8.078,-5.3977989938252222E+001
8.079,-5.3648417640313404E+001
8.08,-5.3318347818599996E+001
8.081,-5.2987784290969870E+001
8.082,-5.2656731831736209E+001
8.083,-5.2325195178873962E+001
8.084,-5.1993178032382957E+001
8.085,-5.1660685054181712E+001
8.086,-5.1327720870820826E+001
8.087,-5.0994289067604576E+001
8.088,-5.0660394197083328E+001
8.089,-5.0326040777410569E+001
8.09,-4.9991232282313227E+001
8.091,-4.9655973157961157E+001
8.092,-4.9320267817082822E+001
8.093,-4.8984119624893559E+001
8.094,-4.8647532924133067E+001
8.095,-4.8310512025016237E+001
8.096,-4.7973060187276310E+001
8.097,-4.7635181653098947E+001
8.098,-4.7296880633073229E+001
8.099,-4.6958160284399916E+001
8.1,-4.6619024751553248E+001
8.101,-4.6279478148308542E+001
8.102,-4.5939523532237359E+001
8.103,-4.5599164952885204E+001
8.104,-4.5258406429973569E+001
8.105,-4.4917250924289881E+001
8.106,-4.4575702393168044E+001
8.107,-4.4233764764980549E+001
8.108,-4.3891440906510923E+001
8.109,-4.3548734685547231E+001
8.11,-4.3205649596691387E+001
8.111,-4.2862189450617237E+001
8.112,-4.2518356992994143E+001
8.113,-4.2174155976239057E+001
8.114,-4.1829590125746350E+001
8.115,-4.1484662099427148E+001
8.116,-4.1139375566124855E+001
8.117,-4.0793734168448921E+001
8.118,-4.0447740479128633E+001
8.119,-4.0101398085884888E+001
8.12,-3.9754710550992122E+001
8.121,-3.9407680364484840E+001
8.122,-3.9060311035370937E+001
8.123,-3.8712606047951681E+001
8.124,-3.8364567812024447E+001
8.125,-3.8016199760201758E+001
8.126,-3.7667505301134462E+001
8.127,-3.7318486766752599E+001
8.128,-3.6969147515552294E+001
8.129,-3.6619490882776851E+001
8.13,-3.6269519124808426E+001
8.131,-3.5919235528230260E+001
8.132,-3.5568643357077278E+001
8.133,-3.5217744794421762E+001
8.134,-3.4866543057090787E+001
8.135,-3.4515041340034230E+001
8.136,-3.4163241755209931E+001
8.137,-3.3811147451771255E+001
8.138,-3.3458761557654363E+001
8.139,-3.3106086115823068E+001
8.14,-3.2753124209790826E+001
8.141,-3.2399878902489789E+001
8.142,-3.2046352169955718E+001
8.143,-3.1692547032029577E+001
8.144,-3.1338466488590910E+001
8.145,-3.0984112450754388E+001
8.146,-3.0629487876600816E+001
8.147,-3.0274595704850611E+001
8.148,-2.9919437783644462E+001
8.149,-2.9564017011157926E+001
8.15,-2.9208336266791086E+001
8.151,-2.8852397337600067E+001
8.152,-2.8496203063655678E+001
8.153,-2.8139756266821387E+001
8.154,-2.7783058674898310E+001
8.155,-2.7426113071601751E+001
8.156,-2.7068921863818691E+001
8.157,-2.6711487799373149E+001
8.158,-2.6353812529818825E+001
8.159,-2.5995898766351800E+001
8.16,-2.5637749203212532E+001
8.161,-2.5279365436762244E+001
8.162,-2.4920750125712427E+001
8.163,-2.4561905912326331E+001
8.164,-2.4202834339425724E+001
8.165,-2.3843538014809088E+001
8.166,-2.3484019530321092E+001
8.167,-2.3124280376850841E+001
8.168,-2.2764323112804664E+001
8.169,-2.2404150281121499E+001
8.17,-2.2043763322302436E+001
8.171,-2.1683164746849734E+001
8.172,-2.1322357050245163E+001
8.173,-2.0961341624119658E+001
8.174,-2.0600120932490245E+001
8.175,-2.0238697424809509E+001
8.176,-1.9877072445286434E+001
8.177,-1.9515248412843182E+001
8.178,-1.9153227732266306E+001
8.179,-1.8791011701762887E+001
8.18,-1.8428602696496196E+001
8.181,-1.8066003077920811E+001
8.182,-1.7703214099598149E+001
8.183,-1.7340238094243205E+001
8.184,-1.6977077381251735E+001
8.185,-1.6613733170874585E+001
8.186,-1.6250207754622867E+001
8.187,-1.5886503411088894E+001
8.188,-1.5522621308487967E+001
8.189,-1.5158563698347626E+001
8.19,-1.4794332819655210E+001
8.191,-1.4429929799835481E+001
8.192,-1.4065356851613410E+001
8.193,-1.3700616175530643E+001
8.194,-1.3335708859428495E+001
8.195,-1.2970637078357425E+001
8.196,-1.2605402995554037E+001
8.197,-1.2240007660429823E+001
8.198,-1.1874453211472810E+001
8.199,-1.1508741775695512E+001
8.2,-1.1142874365214379E+001
8.201,-1.0776853083014659E+001
8.202,-1.0410680020946959E+001
8.203,-1.0044356154916267E+001
8.204,-9.6778835534429160E+000
8.205,-9.3112639056378619E+000
8.206,-8.9444992580387677E+000
8.207,-8.5775905399127250E+000
8.208,-8.2105397753778160E+000
8.209,-7.8433489781345402E+000
8.21,-7.4760190436597211E+000
8.211,-7.1085519638757946E+000
8.212,-6.7409497205987217E+000
8.213,-6.3732131764844286E+000
