"time","y1","y2"
0,1,0.0000000000000000E+000
0.02,1,0.0000000000000000E+000
0.04,1,0.0000000000000000E+000
0.06,1,0.0000000000000000E+000
0.08,1,0.0000000000000000E+000
0.1,1,3.0000000000000000E+000
0.12,1,3.0000000000000000E+000
0.14,1,3.0000000000000000E+000
0.16,1,3.0000000000000000E+000
0.18,1,3.0000000000000000E+000
0.2,1,3.0000000000000000E+000
0.22,1,3.0000000000000000E+000
0.24,1,3.0000000000000000E+000
0.26,1,3.0000000000000000E+000
0.28,1,3.0000000000000000E+000
0.3,1,3.0000000000000000E+000
0.32,1,3.0000000000000000E+000
0.34,1,3.0000000000000000E+000
0.36,1,3.0000000000000000E+000
0.38,1,3.0000000000000000E+000
0.4,1,3.0000000000000000E+000
0.42,1,3.0000000000000000E+000
0.44,1,3.0000000000000000E+000
0.46,1,3.0000000000000000E+000
0.48,1,3.0000000000000000E+000
0.5,0,3.0000000000000000E+000
0.52,0,3.0000000000000000E+000
0.54,0,3.0000000000000000E+000
0.56,0,3.0000000000000000E+000
0.58,0,3.0000000000000000E+000
0.6,0,0.0000000000000000E+000
0.62,0,0.0000000000000000E+000
0.64,0,0.0000000000000000E+000
0.66,0,0.0000000000000000E+000
0.68,0,0.0000000000000000E+000
0.7,0,0.0000000000000000E+000
0.72,0,0.0000000000000000E+000
0.74,0,0.0000000000000000E+000
0.76,0,0.0000000000000000E+000
0.78,0,0.0000000000000000E+000
0.8,0,0.0000000000000000E+000
0.82,0,0.0000000000000000E+000
0.84,0,0.0000000000000000E+000
0.86,0,0.0000000000000000E+000
0.88,0,0.0000000000000000E+000
0.9,0,0.0000000000000000E+000
0.92,0,0.0000000000000000E+000
0.94,0,0.0000000000000000E+000
0.96,0,0.0000000000000000E+000
0.98,0,0.0000000000000000E+000
1,1,0.0000000000000000E+000
1.021,1,0.0000000000000000E+000
1.041,1,0.0000000000000000E+000
1.061,1,0.0000000000000000E+000
1.081,1,0.0000000000000000E+000
1.1,1,3.0000000000000000E+000
