"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
0.1,-4.8284858602076319E-012,1.4695486453912762E+001,1.4695496152006518E+001,8.6000000002064695E+001,8.6000000003314213E+001,-4.1586362691455673E-015,2.0793204050556378E-013
0.11,-5.4191712228416601E-012,1.4695486453931814E+001,1.4695496152033092E+001,8.6000000002138236E+001,8.6000000003374268E+001,-4.1586362691504039E-015,2.0377340149229059E-013
0.12,-5.9764382475487800E-012,1.4695486453950542E+001,1.4695496152058279E+001,8.6000000002203294E+001,8.6000000003416176E+001,-4.1586362691552151E-015,2.0169408840199200E-013
0.13,-6.5001454020024056E-012,1.4695486453968995E+001,1.4695496152082375E+001,8.6000000002261515E+001,8.6000000003444484E+001,-4.1586362691600011E-015,1.9753543655626424E-013
0.14,-6.9785494650490205E-012,1.4695486453987110E+001,1.4695496152105280E+001,8.6000000002311978E+001,8.6000000003458737E+001,-4.1586362691647469E-015,1.9337679754292752E-013
0.15,-7.4116140430667689E-012,1.4695486454004923E+001,1.4695496152127211E+001,8.6000000002355861E+001,8.6000000003462276E+001,-4.1586362691694588E-015,1.9129748445257915E-013
0.16,-7.7996908888319138E-012,1.4695486454022454E+001,1.4695496152148324E+001,8.6000000002393975E+001,8.6000000003457302E+001,-4.1586362691741320E-015,1.8713883260679686E-013
0.17,-8.1323546376685312E-012,1.4695486454039655E+001,1.4695496152168582E+001,8.6000000002425736E+001,8.6000000003444228E+001,-3.8392169819119218E-015,1.8298019359340985E-013
0.18,-8.4158345558766880E-012,1.4695486454056578E+001,1.4695496152188209E+001,8.6000000002452495E+001,8.6000000003425811E+001,-3.8392169819119210E-015,1.8090088050302288E-013
0.19,-8.6576647592986717E-012,1.4695486454073286E+001,1.4695496152207378E+001,8.6000000002475389E+001,8.6000000003403954E+001,-4.1586491015917635E-015,1.7882155458021530E-013
0.2,-8.8508367771214578E-012,1.4695486454089741E+001,1.4695496152226079E+001,8.6000000002494019E+001,8.6000000003379071E+001,-3.8392169819119226E-015,1.7466292839920480E-013
0.21,-9.0010832521111730E-012,1.4695486454105984E+001,1.4695496152244443E+001,8.6000000002509211E+001,8.6000000003352525E+001,-3.8392169819119218E-015,1.7466291556698911E-013
0.22,-9.1125389072365363E-012,1.4695486454122038E+001,1.4695496152262557E+001,8.6000000002521503E+001,8.6000000003325241E+001,-3.8392169819119218E-015,1.7258360247657248E-013
0.23,-9.1807737812258856E-012,1.4695486454137880E+001,1.4695496152280441E+001,8.6000000002530726E+001,8.6000000003297885E+001,-3.8392169819119226E-015,1.7199692078965408E-013
0.24,-9.2138797770789563E-012,1.4695486454153562E+001,1.4695496152298201E+001,8.6000000002537689E+001,8.6000000003271268E+001,-3.8392169819119218E-015,1.7050427655392610E-013
0.25,-9.2191535842034506E-012,1.4695486454169123E+001,1.4695496152315902E+001,8.6000000002543004E+001,8.6000000003245717E+001,-3.8392169819119218E-015,1.7199692078965411E-013
0.26,-9.1941502528243477E-012,1.4695486454184550E+001,1.4695496152333574E+001,8.6000000002546571E+001,8.6000000003221786E+001,-3.8392169819119218E-015,1.7007731229869813E-013
0.27,-9.1444393133398777E-012,1.4695486454199873E+001,1.4695496152351261E+001,8.6000000002548845E+001,8.6000000003199702E+001,-3.8392169819119218E-015,1.7007731229869813E-013
0.28,-9.0738435460501848E-012,1.4695486454215109E+001,1.4695496152368998E+001,8.6000000002550095E+001,8.6000000003179565E+001,-3.4552952837207295E-015,1.7007731229869813E-013
0.29,-8.9819744924502920E-012,1.4695486454230251E+001,1.4695496152386816E+001,8.6000000002550337E+001,8.6000000003161915E+001,-3.4552952837207295E-015,1.6842495063183375E-013
0.3,-8.8744072212261625E-012,1.4695486454245334E+001,1.4695496152404740E+001,8.6000000002549939E+001,8.6000000003146582E+001,-3.8392169819119218E-015,1.6842495063202401E-013
0.31,-8.7553622692574340E-012,1.4695486454260372E+001,1.4695496152422772E+001,8.6000000002549143E+001,8.6000000003133295E+001,-3.8392169819119218E-015,1.6842496346462786E-013
0.32,-8.6251785170711101E-012,1.4695486454275368E+001,1.4695496152440944E+001,8.6000000002547992E+001,8.6000000003122395E+001,-3.8392169819119218E-015,1.7046123399688934E-013
0.33,-8.4871427671132664E-012,1.4695486454290334E+001,1.4695496152459256E+001,8.6000000002546614E+001,8.6000000003113655E+001,-3.8392169819119226E-015,1.7050427655565307E-013
0.34,-8.3434433370367285E-012,1.4695486454305280E+001,1.4695496152477705E+001,8.6000000002545136E+001,8.6000000003106919E+001,-3.8392169819119218E-015,1.7050427655585168E-013
0.35,-8.1954944572473720E-012,1.4695486454320211E+001,1.4695496152496327E+001,8.6000000002543615E+001,8.6000000003102457E+001,-4.1586362692572693E-015,1.7007731229869815E-013
0.36,-8.0457806068758771E-012,1.4695486454335136E+001,1.4695496152515098E+001,8.6000000002542166E+001,8.6000000003099800E+001,-3.8392169819119218E-015,1.7046123399688932E-013
0.37,-7.8957099138662354E-012,1.4695486454350061E+001,1.4695496152533998E+001,8.6000000002540801E+001,8.6000000003098620E+001,-3.8392169819119218E-015,1.7050427655645806E-013
0.38,-7.7465914000521778E-012,1.4695486454364991E+001,1.4695496152553046E+001,8.6000000002539608E+001,8.6000000003099018E+001,-3.8392169819119218E-015,1.7161299909146289E-013
0.39,-7.5992634856463853E-012,1.4695486454379930E+001,1.4695496152572218E+001,8.6000000002538584E+001,8.6000000003100638E+001,-3.8392169819119218E-015,1.7258360247993482E-013
0.4,-7.4550457381258617E-012,1.4695486454394882E+001,1.4695496152591527E+001,8.6000000002537789E+001,8.6000000003103494E+001,-4.1586491016823027E-015,1.7258360248014571E-013
0.41,-7.3148590718591690E-012,1.4695486454409849E+001,1.4695496152610962E+001,8.6000000002537192E+001,8.6000000003107402E+001,-3.8392169819119226E-015,1.7258360248035816E-013
0.42,-7.1788214048143328E-012,1.4695486454424833E+001,1.4695496152630502E+001,8.6000000002536808E+001,8.6000000003112120E+001,-3.8392169819119218E-015,1.7258360248057190E-013
0.43,-7.0481428598747835E-012,1.4695486454439836E+001,1.4695496152650154E+001,8.6000000002536638E+001,8.6000000003117592E+001,-3.8392169819119226E-015,1.7466291557144960E-013
