"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0.0416002,5.3191108187756981E+002,4.7202519611857952E-001,-6.4225767180715707E+002,6.4178564661103849E+002,5.0460986011707882E+002,-5.3719405209085403E+002,3.2584191973775205E+001,4.2133188741362446E+003
0.0418002,5.3325580026742944E+002,5.2500556825680178E-001,-5.5718331085390764E+002,5.5665830528565084E+002,5.3168732976052388E+002,-5.3836856625920257E+002,6.6812364986787429E+000,3.6988521121931967E+003
0.0420002,5.3327737603856087E+002,1.6894277526908184E+001,-4.4768635137604718E+002,4.3079207384913900E+002,5.3774088164920624E+002,-5.3815477903163105E+002,4.1389738242480689E-001,3.0333848185270458E+003
0.0422002,5.3179559075977022E+002,8.7607757876702806E+001,-3.3220471700875521E+002,2.4459695913205240E+002,5.3621433122473388E+002,-5.3637132026900019E+002,1.5698904426631088E-001,2.3582883679958663E+003
0.0424002,5.2873519797203187E+002,2.1182737761078232E+002,-2.1211056360293367E+002,2.8318599215135337E-001,5.3315807001997769E+002,-4.0817217267852004E+002,-1.2498589734145764E+002,1.6788496303655722E+003
0.0426002,5.2502015668286629E+002,2.3690532513902500E+002,-2.3712905616737095E+002,2.2373102834595551E-001,5.2949313255088350E+002,-3.7661219231382177E+002,-1.5288094023706168E+002,1.7766638004464271E+003
0.0428002,5.2177232621566600E+002,2.8122625009433057E+002,-2.8138964319472473E+002,1.6339310039416502E-001,5.2633389000273883E+002,-3.4486357689492047E+002,-1.8147031310781838E+002,1.9795488071659743E+003
0.0430002,5.1921754619272383E+002,3.4011135379943130E+002,-3.4021376413395365E+002,1.0241033452233346E-001,5.2389682419628684E+002,-3.1315363056442624E+002,-2.1074319363186061E+002,2.2733558372899129E+003
0.0432002,5.1751682680264639E+002,4.0853600506323369E+002,-4.0857702846508067E+002,4.1023401846978266E-002,5.2233289598645206E+002,-2.8167816942839568E+002,-2.4065472655805635E+002,2.6405294727231567E+003
0.0434002,5.1676257853270943E+002,4.8125665273364615E+002,-4.8123612730219247E+002,-2.0525431453655058E-002,5.2172402882613801E+002,-2.5059928842353605E+002,-2.7112474040260196E+002,3.0580634881209589E+003
0.0436002,5.1697656754029936E+002,5.5294225879440967E+002,-5.5286026553415616E+002,-8.1993260253519495E-002,5.2208132700673343E+002,-2.2004399238001781E+002,-3.0203733462671562E+002,3.4965903722528351E+003
0.0438002,5.1810963707538110E+002,6.1830726886991226E+002,-6.1816413137079792E+002,-1.4313749911432797E-001,5.2334506302092177E+002,-1.9010371038461881E+002,-3.3324135263630291E+002,3.9207779216526233E+003
0.0440002,5.2004319535435366E+002,6.7224311276415779E+002,-6.7203939592449831E+002,-2.0371683965943871E-001,5.2538642843341859E+002,-1.6083469252867189E+002,-3.6455173590474664E+002,4.2910487047373108E+003
0.0442002,5.2259243039823014E+002,7.0994527032647443E+002,-7.0968177812356669E+002,-2.6349220290779413E-001,5.2801100284324707E+002,-1.3225926822175688E+002,-3.9575173462149024E+002,4.5664789343937491E+003
0.0444002,5.2551117347085051E+002,7.2703304633895118E+002,-7.2671081865614178E+002,-3.2222768280942227E-001,5.3096385686081533E+002,-1.0436792591201623E+002,-4.2659593094879909E+002,4.7085883343142114E+003
0.0446002,5.2849829574616899E+002,7.1965936963766978E+002,-7.1927967816041098E+002,-3.7969147725884150E-001,5.3393616835950297E+002,-7.7122155704782017E+001,-4.5681401265472101E+002,4.6856165290984081E+003
0.0448002,5.3120548851401543E+002,6.8460816230070520E+002,-6.8417250549779317E+002,-4.3565680291207415E-001,5.3657319740312801E+002,-5.0457979417343324E+001,-4.8611521798578474E+002,4.4768061327450187E+003
0.0450002,5.3324624635491284E+002,6.1937710915343166E+002,-6.1888720636323478E+002,-4.8990279019689398E-001,5.3848343494074834E+002,-2.4290077420777038E+001,-5.1419335751997119E+002,4.0761859709430291E+003
0.0452002,5.3420587640489202E+002,5.2233040195835599E+002,-5.2161535989370577E+002,-7.1504206465017150E-001,5.3924874471212308E+002,-5.2089979692925681E-001,-5.3872784491519383E+002,3.4935611559325821E+003
0.0454002,5.3373069480414892E+002,4.0866243261625226E+002,-3.7530483224750316E+002,-3.3357600368749097E+001,5.3851358582473222E+002,-3.4194688993193267E-001,-5.3817163893480028E+002,2.8014244695281295E+003
0.0456002,5.3170477821353654E+002,2.8957361138350876E+002,-1.6792771927715077E+002,-1.2164589210635799E+002,5.3616120767821144E+002,-4.6281780889103175E-002,-5.3611492589732234E+002,2.1364616081600170E+003
0.0458002,5.2816660230502180E+002,2.1452355819016560E+002,-2.6348034398876924E-001,-2.1426007784617684E+002,3.9803746432449219E+002,1.3455685685564254E+002,-5.3259432118013478E+002,1.6837161525642566E+003
0.0460002,5.2452393068566596E+002,2.4533110719792288E+002,-2.0370479623749571E-001,-2.4512740240168537E+002,3.6635916580004579E+002,1.6265416585795754E+002,-5.2901333165800338E+002,1.8118484805959520E+003
0.0462002,5.2141642348286530E+002,2.9397361124484911E+002,-1.4312531871935108E-001,-2.9383048592612977E+002,3.3456431900248162E+002,1.9143885715795517E+002,-5.2600317616043685E+002,2.0403777718355670E+003
0.0464002,5.1905040202122984E+002,3.5566558714631287E+002,-8.1980990955966698E-002,-3.5558360615535690E+002,3.0287083867020038E+002,2.2088976573332474E+002,-5.2376060440352512E+002,2.3544023991831796E+003
0.0466002,5.1756618890633206E+002,4.2531442412804387E+002,-2.0513121674832827E-002,-4.2529391100636906E+002,2.7146444772372917E+002,2.5095130553579520E+002,-5.2241575325952431E+002,2.7349471948765440E+003
0.0468002,5.1703486427931443E+002,4.9764871543942650E+002,4.1035703525994741E-002,-4.9768975114295250E+002,2.4049670756010784E+002,2.8153245212176512E+002,-5.2202915968187290E+002,3.1572439811913159E+003
0.0470002,5.1745676057038906E+002,5.6735019812280871E+002,1.0242257955243689E-001,-5.6745262070236117E+002,2.1008391868351015E+002,3.1250660065842425E+002,-5.2259051934193440E+002,3.5902074060387495E+003
0.0472002,5.1876172391994135E+002,6.2918630953537820E+002,1.6340524044981583E-001,-6.2934971477582803E+002,1.8030690465421128E+002,3.4371230850910428E+002,-5.2401921316331550E+002,3.9972321544557108E+003
0.0474002,5.2081113045115387E+002,6.7814036547297246E+002,2.2374301551590020E-001,-6.7836410848848834E+002,1.5121167234435450E+002,3.7495491160304647E+002,-5.2616658394740102E+002,4.3382785711963406E+003
0.0476002,5.2340160598880868E+002,7.0953642756318766E+002,2.8319777911821487E-001,-7.0981962534230593E+002,1.2281092175224580E+002,4.0600898406795665E+002,-5.2881990582020239E+002,4.5730579119345566E+003
0.0478002,5.2627035950373568E+002,7.1915605536472276E+002,3.4153489046712132E-001,-7.1949759025518983E+002,9.5086359584687273E+001,4.3662159158635751E+002,-5.3170795117104478E+002,4.6649915083616906E+003
0.0480002,5.2910200436848663E+002,7.0334432828316130E+002,3.9852411963582107E-001,-7.0374285240279710E+002,6.7991752889801035E+001,4.6651627104934335E+002,-5.3450802393914432E+002,4.5855138979386702E+003
0.0482002,5.3153670823459709E+002,6.5910276958122392E+002,4.5394055617268686E-001,-6.5955671013739664E+002,4.1456642605261464E+001,4.9539765271805072E+002,-5.3685429532331216E+002,4.3182291024208880E+003
