"time","powerUpPB","startCyclePB","emergencyStop","batchCycle","pieceCycle","autoSwitch","manualSwitch","F3SpinM1_acknowledgePB","liveWKM1","autoModeWKM1","manualModeWKM1","RUN1_emptyProd","RUN1_unitProd","RUN1_batchProd","RUN1_rotation","RUN1_faultyState","RUN1_cycleEnd","RUN1_movementFault","RUN1_slowAscent","RUN1_fastAscent","RUN1_slowDescent","RUN1_fastDescent","RUN1_releasing","RUN1_clamping","F1TurM1_autoFwdCmd","F1TurM1_autoBwdCmd","F1TurM1_autoHSCmd","F1TurM1_autoLSCmd","speedVal","speedPercent","F1TurM1_generalFault","F1TurM1_forwardFB","F1TurM1_backwardFB","F1TurM1_highSpeedFB","F1TurM1_lowSpeedFB","F1TurM1_thermalFB","F1TurM1_forwardCmd","F1TurM1_backwardCmd","F1TurM1_highSpeedCmd","F1TurM1_lowSpeedCmd","axlePosition","F3SpinM1_forwardFB","F3SpinM1_thermalFB","speedVal2","speedPercent2","F3SpinM1_forwardCmd","F3SpinM1_autoCmd","piece","RUN1_loadingRequest","RUN1_unloadingRequest"
3.9000000000000018E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
4.1000000000000020E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
4.4000000000000022E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
4.6000000000000024E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
4.8000000000000026E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
5.1000000000000023E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
5.3000000000000025E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
5.6000000000000028E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
5.8000000000000029E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
6.0000000000000031E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
6.3000000000000034E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
6.5000000000000036E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
6.8000000000000038E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
7.0000000000000040E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
7.2000000000000042E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
7.5000000000000044E-001,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0,0,1,0,0,0,0,0.0000000000000000E+000,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1,0
