"time","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
20,1.0000000000000000E+000,9.9985700249301501E-001,4.5000000000000001E-001,4.4688013013058958E-001,3.0000000000000000E+001,2.9999575484443351E+001,3.0000000000000000E+000,2.9938335231760909E+000,1.0000000000000000E+003,4.0000000000000000E+001
21,1.0000000000000000E+000,9.9995495852126159E-001,4.5000000000000001E-001,4.4710901827310967E-001,3.0000000000000000E+001,2.9999871936960396E+001,3.0000000000000000E+000,2.9948722471757514E+000,1.0000000000000000E+003,4.0000000000000000E+001
22,1.0000000000000000E+000,1.0000193338486971E+000,4.5000000000000001E-001,4.4745580420155540E-001,3.0000000000000000E+001,3.0000066197146861E+001,3.0000000000000000E+000,2.9974909777421539E+000,1.0000000000000000E+003,4.0000000000000000E+001
23,1.0000000000000000E+000,1.0000410186664626E+000,4.5000000000000001E-001,4.4785617958054896E-001,3.0000000000000000E+001,3.0000130659507846E+001,3.0000000000000000E+000,2.9997763299619193E+000,1.0000000000000000E+003,4.0000000000000000E+001
24,1.0000000000000000E+000,1.0000335901653392E+000,4.5000000000000001E-001,4.4826485761737056E-001,3.0000000000000000E+001,3.0000106928636910E+001,3.0000000000000000E+000,3.0009519652352754E+000,1.0000000000000000E+003,4.0000000000000000E+001
25,1.0000000000000000E+000,1.0000155742461694E+000,4.5000000000000001E-001,4.4865166415729196E-001,3.0000000000000000E+001,3.0000051411145652E+001,3.0000000000000000E+000,3.0011118387868136E+000,1.0000000000000000E+003,4.0000000000000000E+001
26,1.0000000000000000E+000,1.0000000783043910E+000,4.5000000000000001E-001,4.4899815060165460E-001,3.0000000000000000E+001,3.0000003830855924E+001,3.0000000000000000E+000,3.0007229713642767E+000,1.0000000000000000E+003,4.0000000000000000E+001
27,1.0000000000000000E+000,9.9999225968575811E-001,4.5000000000000001E-001,4.4929471780514535E-001,3.0000000000000000E+001,2.9999979718488120E+001,3.0000000000000000E+000,3.0002337683644451E+000,1.0000000000000000E+003,4.0000000000000000E+001
28,1.0000000000000000E+000,9.9999140690309429E-001,4.5000000000000001E-001,4.4953824983094609E-001,3.0000000000000000E+001,2.9999976820176013E+001,3.0000000000000000E+000,2.9998999977310588E+000,1.0000000000000000E+003,4.0000000000000000E+001
29,1.0000000000000000E+000,9.9999428414522706E-001,4.5000000000000001E-001,4.4973021874249247E-001,3.0000000000000000E+001,2.9999985263945888E+001,3.0000000000000000E+000,2.9997797432812034E+000,1.0000000000000000E+003,4.0000000000000000E+001
30,1.0000000000000000E+000,9.9999778624302316E-001,4.5000000000000001E-001,4.4987509954758553E-001,3.0000000000000000E+001,2.9999995608314315E+001,3.0000000000000000E+000,2.9998120252628087E+000,1.0000000000000000E+003,4.0000000000000000E+001
31,1.0000000000000000E+000,1.0000001614721876E+000,4.5000000000000001E-001,4.4997907325977177E-001,3.0000000000000000E+001,3.0000002541229609E+001,3.0000000000000000E+000,2.9999041962152799E+000,1.0000000000000000E+003,4.0000000000000000E+001
32,1.0000000000000000E+000,1.0000010349829296E+000,4.5000000000000001E-001,4.5004902625180221E-001,3.0000000000000000E+001,3.0000004937005190E+001,3.0000000000000000E+000,2.9999869266001742E+000,1.0000000000000000E+003,4.0000000000000000E+001
33,1.0000000000000000E+000,1.0000008482081921E+000,4.5000000000000001E-001,4.5009182753882160E-001,3.0000000000000000E+001,3.0000004144578632E+001,3.0000000000000000E+000,3.0000308803239855E+000,1.0000000000000000E+003,4.0000000000000000E+001
34,1.0000000000000000E+000,1.0000002570801267E+000,4.5000000000000001E-001,4.5011394254868475E-001,3.0000000000000000E+001,3.0000002156931114E+001,3.0000000000000000E+000,3.0000384172821581E+000,1.0000000000000000E+003,4.0000000000000000E+001
35,1.0000000000000000E+000,9.9999972605687748E-001,4.5000000000000001E-001,4.5012085484338393E-001,3.0000000000000000E+001,3.0000000380187462E+001,3.0000000000000000E+000,3.0000252978367583E+000,1.0000000000000000E+003,4.0000000000000000E+001
36,1.0000000000000000E+000,9.9999946016590746E-001,4.5000000000000001E-001,4.5011728079286334E-001,3.0000000000000000E+001,2.9999999432449322E+001,3.0000000000000000E+000,3.0000076441934507E+000,1.0000000000000000E+003,4.0000000000000000E+001
37,1.0000000000000000E+000,9.9999944785275430E-001,4.5000000000000001E-001,4.5010703479708430E-001,3.0000000000000000E+001,2.9999999271426201E+001,3.0000000000000000E+000,2.9999951819899926E+000,1.0000000000000000E+003,4.0000000000000000E+001
38,1.0000000000000000E+000,9.9999957687124075E-001,4.5000000000000001E-001,4.5009308061347747E-001,3.0000000000000000E+001,2.9999999553590651E+001,3.0000000000000000E+000,2.9999904943023705E+000,1.0000000000000000E+003,4.0000000000000000E+001
39,1.0000000000000000E+000,9.9999973247875606E-001,4.5000000000000001E-001,4.5007762274743024E-001,3.0000000000000000E+001,2.9999999928359184E+001,3.0000000000000000E+000,2.9999916128201400E+000,1.0000000000000000E+003,4.0000000000000000E+001
40,1.0000000000000000E+000,9.9999984637406969E-001,4.5000000000000001E-001,4.5006221708479760E-001,3.0000000000000000E+001,3.0000000186704845E+001,3.0000000000000000E+000,2.9999951648304704E+000,1.0000000000000000E+003,4.0000000000000000E+001
41,1.0000000000000000E+000,9.9999990134352845E-001,4.5000000000000001E-001,4.5004788671418455E-001,3.0000000000000000E+001,3.0000000276168031E+001,3.0000000000000000E+000,2.9999984895221048E+000,1.0000000000000000E+003,4.0000000000000000E+001
42,1.0000000000000000E+000,9.9999991236647656E-001,4.5000000000000001E-001,4.5003523378630939E-001,3.0000000000000000E+001,3.0000000241241157E+001,3.0000000000000000E+000,3.0000003758164993E+000,1.0000000000000000E+003,4.0000000000000000E+001
43,1.0000000000000000E+000,9.9999990405246286E-001,4.5000000000000001E-001,4.5002454166842004E-001,3.0000000000000000E+001,3.0000000156013840E+001,3.0000000000000000E+000,3.0000008222330750E+000,1.0000000000000000E+003,4.0000000000000000E+001
44,1.0000000000000000E+000,9.9999989562925307E-001,4.5000000000000001E-001,4.5001586406796296E-001,3.0000000000000000E+001,3.0000000077665351E+001,3.0000000000000000E+000,3.0000004189150373E+000,1.0000000000000000E+003,4.0000000000000000E+001
45,1.0000000000000000E+000,9.9999989583185578E-001,4.5000000000000001E-001,4.5000909959432495E-001,3.0000000000000000E+001,3.0000000031873100E+001,3.0000000000000000E+000,2.9999998010682716E+000,1.0000000000000000E+003,4.0000000000000000E+001
46,1.0000000000000000E+000,9.9999990474082967E-001,4.5000000000000001E-001,4.5000405159644441E-001,3.0000000000000000E+001,3.0000000018021126E+001,3.0000000000000000E+000,2.9999993635094420E+000,1.0000000000000000E+003,4.0000000000000000E+001
47,1.0000000000000000E+000,9.9999991825219936E-001,4.5000000000000001E-001,4.5000047412691496E-001,3.0000000000000000E+001,3.0000000022933797E+001,3.0000000000000000E+000,2.9999992208036792E+000,1.0000000000000000E+003,4.0000000000000000E+001
48,1.0000000000000000E+000,9.9999993198235804E-001,4.5000000000000001E-001,4.4999810555944231E-001,3.0000000000000000E+001,3.0000000032724380E+001,3.0000000000000000E+000,2.9999993037577677E+000,1.0000000000000000E+003,4.0000000000000000E+001
49,1.0000000000000000E+000,9.9999994328179087E-001,4.5000000000000001E-001,4.4999669175115348E-001,3.0000000000000000E+001,3.0000000038840419E+001,3.0000000000000000E+000,2.9999994825173495E+000,1.0000000000000000E+003,4.0000000000000000E+001
50,1.0000000000000000E+000,9.9999995149327481E-001,4.5000000000000001E-001,4.4999600074483331E-001,3.0000000000000000E+001,3.0000000038887244E+001,3.0000000000000000E+000,2.9999996516984933E+000,1.0000000000000000E+003,4.0000000000000000E+001
51,9.4999999999999996E-001,9.8358740742382123E-001,4.5000000000000001E-001,4.4952828238464010E-001,3.0000000000000000E+001,3.0025540910503818E+001,3.0000000000000000E+000,3.2723369894982617E+000,1.0000000000000000E+003,4.0000000000000000E+001
52,9.4999999999999996E-001,9.6924488380605323E-001,4.5000000000000001E-001,4.4927061573639199E-001,3.0000000000000000E+001,3.0008791053565773E+001,3.0000000000000000E+000,3.2110492644416437E+000,1.0000000000000000E+003,4.0000000000000000E+001
53,9.4999999999999996E-001,9.5669941146331883E-001,4.5000000000000001E-001,4.4916643435439746E-001,3.0000000000000000E+001,3.0002568921694170E+001,3.0000000000000000E+000,3.1111734349102314E+000,1.0000000000000000E+003,4.0000000000000000E+001
54,9.4999999999999996E-001,9.4624150556786280E-001,4.5000000000000001E-001,4.4918613884916148E-001,3.0000000000000000E+001,2.9992183629936431E+001,3.0000000000000000E+000,3.0336824494903047E+000,1.0000000000000000E+003,4.0000000000000000E+001
55,9.4999999999999996E-001,9.4217386349599164E-001,4.5000000000000001E-001,4.4942127839773421E-001,3.0000000000000000E+001,2.9981309370202638E+001,3.0000000000000000E+000,2.9170718218838978E+000,1.0000000000000000E+003,4.0000000000000000E+001
56,9.4999999999999996E-001,9.4336017259876104E-001,4.5000000000000001E-001,4.4976030089999958E-001,3.0000000000000000E+001,2.9983084516438428E+001,3.0000000000000000E+000,2.8499366293046666E+000,1.0000000000000000E+003,4.0000000000000000E+001
57,9.4999999999999996E-001,9.4662699379670245E-001,4.5000000000000001E-001,4.5006220333336194E-001,3.0000000000000000E+001,2.9991238315962942E+001,3.0000000000000000E+000,2.8565924412986541E+000,1.0000000000000000E+003,4.0000000000000000E+001
58,9.4999999999999996E-001,9.4958900020474113E-001,4.5000000000000001E-001,4.5025363805842439E-001,3.0000000000000000E+001,2.9999166651767268E+001,3.0000000000000000E+000,2.9133149121150370E+000,1.0000000000000000E+003,4.0000000000000000E+001
59,9.4999999999999996E-001,9.5119919262622243E-001,4.5000000000000001E-001,4.5032861133919427E-001,3.0000000000000000E+001,3.0003438196794150E+001,3.0000000000000000E+000,2.9797750628839488E+000,1.0000000000000000E+003,4.0000000000000000E+001
60,9.4999999999999996E-001,9.5149565130335567E-001,4.5000000000000001E-001,4.5032058994476365E-001,3.0000000000000000E+001,3.0004104333295487E+001,3.0000000000000000E+000,3.0241193222654461E+000,1.0000000000000000E+003,4.0000000000000000E+001
61,9.4999999999999996E-001,9.5103241424392682E-001,4.5000000000000001E-001,4.5027214052222653E-001,3.0000000000000000E+001,3.0002778221996678E+001,3.0000000000000000E+000,3.0374343316384471E+000,1.0000000000000000E+003,4.0000000000000000E+001
62,9.4999999999999996E-001,9.5038844174024395E-001,4.5000000000000001E-001,4.5021571591025000E-001,3.0000000000000000E+001,3.0001032703765031E+001,3.0000000000000000E+000,3.0292557229877022E+000,1.0000000000000000E+003,4.0000000000000000E+001
63,9.4999999999999996E-001,9.4991768852131420E-001,4.5000000000000001E-001,4.5016776672234560E-001,3.0000000000000000E+001,2.9999776402957682E+001,3.0000000000000000E+000,3.0138028821743204E+000,1.0000000000000000E+003,4.0000000000000000E+001
64,9.4999999999999996E-001,9.4972210400919699E-001,4.5000000000000001E-001,4.5013191861319957E-001,3.0000000000000000E+001,2.9999257464824069E+001,3.0000000000000000E+000,3.0009600311908091E+000,1.0000000000000000E+003,4.0000000000000000E+001
65,9.4999999999999996E-001,9.4973928030149235E-001,4.5000000000000001E-001,4.5010516429807684E-001,3.0000000000000000E+001,2.9999305359555571E+001,3.0000000000000000E+000,2.9944165687920643E+000,1.0000000000000000E+003,4.0000000000000000E+001
66,9.4999999999999996E-001,9.4985360836552224E-001,4.5000000000000001E-001,4.5008325720332454E-001,3.0000000000000000E+001,2.9999612061647948E+001,3.0000000000000000E+000,2.9935029578888139E+000,1.0000000000000000E+003,4.0000000000000000E+001
67,9.4999999999999996E-001,9.4996864723620977E-001,4.5000000000000001E-001,4.5006341585603538E-001,3.0000000000000000E+001,2.9999919552010820E+001,3.0000000000000000E+000,2.9956867889348806E+000,1.0000000000000000E+003,4.0000000000000000E+001
68,9.4999999999999996E-001,9.5003740153792582E-001,4.5000000000000001E-001,4.5004492412839886E-001,3.0000000000000000E+001,3.0000102209742007E+001,3.0000000000000000E+000,2.9984994506004363E+000,1.0000000000000000E+003,4.0000000000000000E+001
69,9.4999999999999996E-001,9.5005574947098725E-001,4.5000000000000001E-001,4.5002837084286723E-001,3.0000000000000000E+001,3.0000149818398810E+001,3.0000000000000000E+000,3.0004817488705395E+000,1.0000000000000000E+003,4.0000000000000000E+001
70,9.4999999999999996E-001,9.5004207456487499E-001,4.5000000000000001E-001,4.5001465691207521E-001,3.0000000000000000E+001,3.0000112271057610E+001,3.0000000000000000E+000,3.0012531052415796E+000,1.0000000000000000E+003,4.0000000000000000E+001
71,9.4999999999999996E-001,9.5001841562331690E-001,4.5000000000000001E-001,4.5000431788415513E-001,3.0000000000000000E+001,3.0000048667853143E+001,3.0000000000000000E+000,3.0011241523630265E+000,1.0000000000000000E+003,4.0000000000000000E+001
72,9.4999999999999996E-001,9.4999935921654444E-001,4.5000000000000001E-001,4.4999730509442643E-001,3.0000000000000000E+001,2.9999997801897113E+001,3.0000000000000000E+000,3.0006072168941933E+000,1.0000000000000000E+003,4.0000000000000000E+001
73,9.4999999999999996E-001,9.4999023668492655E-001,4.5000000000000001E-001,4.4999312339030528E-001,3.0000000000000000E+001,2.9999973656210802E+001,3.0000000000000000E+000,3.0001076455123581E+000,1.0000000000000000E+003,4.0000000000000000E+001
74,9.4999999999999996E-001,9.4998969114994403E-001,4.5000000000000001E-001,4.4999106925453780E-001,3.0000000000000000E+001,2.9999972418525253E+001,3.0000000000000000E+000,2.9998184168083997E+000,1.0000000000000000E+003,4.0000000000000000E+001
75,9.4999999999999996E-001,9.4999358819680679E-001,4.5000000000000001E-001,4.4999045172956459E-001,3.0000000000000000E+001,2.9999982958478896E+001,3.0000000000000000E+000,2.9997494886804068E+000,1.0000000000000000E+003,4.0000000000000000E+001
76,9.4999999999999996E-001,9.4999809712944328E-001,4.5000000000000001E-001,4.4999071924184925E-001,3.0000000000000000E+001,2.9999995035860298E+001,3.0000000000000000E+000,2.9998168169467387E+000,1.0000000000000000E+003,4.0000000000000000E+001
77,9.4999999999999996E-001,9.5000108844221665E-001,4.5000000000000001E-001,4.4999148725755195E-001,3.0000000000000000E+001,3.0000002997975209E+001,3.0000000000000000E+000,2.9999232534203282E+000,1.0000000000000000E+003,4.0000000000000000E+001
78,9.4999999999999996E-001,9.5000214555811813E-001,4.5000000000000001E-001,4.4999252146809426E-001,3.0000000000000000E+001,3.0000005773095708E+001,3.0000000000000000E+000,3.0000073289968352E+000,1.0000000000000000E+003,4.0000000000000000E+001
79,9.4999999999999996E-001,9.5000174215752597E-001,4.5000000000000001E-001,4.4999367587080041E-001,3.0000000000000000E+001,3.0000004658025670E+001,3.0000000000000000E+000,3.0000421758025855E+000,1.0000000000000000E+003,4.0000000000000000E+001
80,9.4999999999999996E-001,9.5000091792290831E-001,4.5000000000000001E-001,4.4999484002205908E-001,3.0000000000000000E+001,3.0000002437098665E+001,3.0000000000000000E+000,3.0000449955660873E+000,1.0000000000000000E+003,4.0000000000000000E+001
81,9.4999999999999996E-001,9.5000019162658622E-001,4.5000000000000001E-001,4.4999594088652334E-001,3.0000000000000000E+001,3.0000000493808454E+001,3.0000000000000000E+000,3.0000279535728458E+000,1.0000000000000000E+003,4.0000000000000000E+001
82,9.4999999999999996E-001,9.4999974540121312E-001,4.5000000000000001E-001,4.4999695472447426E-001,3.0000000000000000E+001,2.9999999310303167E+001,3.0000000000000000E+000,3.0000096682117450E+000,1.0000000000000000E+003,4.0000000000000000E+001
83,9.4999999999999996E-001,9.4999962437693197E-001,4.5000000000000001E-001,4.4999783837292512E-001,3.0000000000000000E+001,2.9999998994707312E+001,3.0000000000000000E+000,2.9999966380735108E+000,1.0000000000000000E+003,4.0000000000000000E+001
84,9.4999999999999996E-001,9.4999972452032599E-001,4.5000000000000001E-001,4.4999854890674984E-001,3.0000000000000000E+001,2.9999999267255465E+001,3.0000000000000000E+000,2.9999924105183058E+000,1.0000000000000000E+003,4.0000000000000000E+001
85,9.4999999999999996E-001,9.4999986883756216E-001,4.5000000000000001E-001,4.4999913416030074E-001,3.0000000000000000E+001,2.9999999655116351E+001,3.0000000000000000E+000,2.9999927162237241E+000,1.0000000000000000E+003,4.0000000000000000E+001
86,9.4999999999999996E-001,9.4999998372499495E-001,4.5000000000000001E-001,4.4999955842950562E-001,3.0000000000000000E+001,2.9999999962001180E+001,3.0000000000000000E+000,2.9999958005393297E+000,1.0000000000000000E+003,4.0000000000000000E+001
87,9.4999999999999996E-001,9.5000004942314398E-001,4.5000000000000001E-001,4.4999988177901978E-001,3.0000000000000000E+001,3.0000000135471137E+001,3.0000000000000000E+000,2.9999988223234797E+000,1.0000000000000000E+003,4.0000000000000000E+001
88,9.4999999999999996E-001,9.5000006221920719E-001,4.5000000000000001E-001,4.5000010154417802E-001,3.0000000000000000E+001,3.0000000168143593E+001,3.0000000000000000E+000,3.0000008057346794E+000,1.0000000000000000E+003,4.0000000000000000E+001
89,9.4999999999999996E-001,9.5000004232160373E-001,4.5000000000000001E-001,4.5000022857052790E-001,3.0000000000000000E+001,3.0000000114038549E+001,3.0000000000000000E+000,3.0000013291296725E+000,1.0000000000000000E+003,4.0000000000000000E+001
90,9.4999999999999996E-001,9.5000001763488151E-001,4.5000000000000001E-001,4.5000030521551238E-001,3.0000000000000000E+001,3.0000000047590643E+001,3.0000000000000000E+000,3.0000011608025905E+000,1.0000000000000000E+003,4.0000000000000000E+001
91,9.4999999999999996E-001,9.4999999977324534E-001,4.5000000000000001E-001,4.5000032999011208E-001,3.0000000000000000E+001,2.9999999999851362E+001,3.0000000000000000E+000,3.0000006172502598E+000,1.0000000000000000E+003,4.0000000000000000E+001
92,9.4999999999999996E-001,9.4999999036744776E-001,4.5000000000000001E-001,4.5000032908864274E-001,3.0000000000000000E+001,2.9999999974883064E+001,3.0000000000000000E+000,3.0000001251498523E+000,1.0000000000000000E+003,4.0000000000000000E+001
93,9.4999999999999996E-001,9.4999998944497466E-001,4.5000000000000001E-001,4.5000030642799538E-001,3.0000000000000000E+001,2.9999999972447949E+001,3.0000000000000000E+000,2.9999998283886429E+000,1.0000000000000000E+003,4.0000000000000000E+001
94,9.4999999999999996E-001,9.4999999324843509E-001,4.5000000000000001E-001,4.5000026992904524E-001,3.0000000000000000E+001,2.9999999982682798E+001,3.0000000000000000E+000,2.9999997703086163E+000,1.0000000000000000E+003,4.0000000000000000E+001
95,9.4999999999999996E-001,9.4999999744092956E-001,4.5000000000000001E-001,4.5000022895312108E-001,3.0000000000000000E+001,2.9999999993890743E+001,3.0000000000000000E+000,2.9999998160679109E+000,1.0000000000000000E+003,4.0000000000000000E+001
96,9.4999999999999996E-001,9.5000000050141153E-001,4.5000000000000001E-001,4.5000018642017703E-001,3.0000000000000000E+001,3.0000000001931575E+001,3.0000000000000000E+000,2.9999999126100931E+000,1.0000000000000000E+003,4.0000000000000000E+001
97,9.4999999999999996E-001,9.5000000177293231E-001,4.5000000000000001E-001,4.5000014572447566E-001,3.0000000000000000E+001,3.0000000005218194E+001,3.0000000000000000E+000,2.9999999957541830E+000,1.0000000000000000E+003,4.0000000000000000E+001
98,9.4999999999999996E-001,9.5000000164552556E-001,4.5000000000000001E-001,4.5000010900731380E-001,3.0000000000000000E+001,3.0000000004807045E+001,3.0000000000000000E+000,3.0000000387979564E+000,1.0000000000000000E+003,4.0000000000000000E+001
99,9.4999999999999996E-001,9.5000000087970027E-001,4.5000000000000001E-001,4.5000007832433581E-001,3.0000000000000000E+001,3.0000000002690570E+001,3.0000000000000000E+000,3.0000000413282759E+000,1.0000000000000000E+003,4.0000000000000000E+001
100,9.4999999999999996E-001,9.5000000019675523E-001,4.5000000000000001E-001,4.5000005312599051E-001,3.0000000000000000E+001,3.0000000000828063E+001,3.0000000000000000E+000,3.0000000279974723E+000,1.0000000000000000E+003,4.0000000000000000E+001
101,9.4999999999999996E-001,9.5000002865091315E-001,5.0000000000000000E-001,4.6867116566804728E-001,3.0000000000000000E+001,3.0000000074091187E+001,3.0000000000000000E+000,3.0000010841180056E+000,1.0000000000000000E+003,4.0000000000000000E+001
102,9.4999999999999996E-001,9.4999997374219336E-001,5.0000000000000000E-001,4.8308706517550998E-001,3.0000000000000000E+001,2.9999999929788093E+001,3.0000000000000000E+000,3.0000004349601519E+000,1.0000000000000000E+003,4.0000000000000000E+001
103,9.4999999999999996E-001,9.4999995660071701E-001,5.0000000000000000E-001,4.9372337563077912E-001,3.0000000000000000E+001,2.9999999885212031E+001,3.0000000000000000E+000,2.9999995237683454E+000,1.0000000000000000E+003,4.0000000000000000E+001
104,9.4999999999999996E-001,9.4999996508525142E-001,5.0000000000000000E-001,5.0115102314206261E-001,3.0000000000000000E+001,2.9999999908430578E+001,3.0000000000000000E+000,2.9999990752344337E+000,1.0000000000000000E+003,4.0000000000000000E+001
105,9.4999999999999996E-001,9.4999998372973937E-001,5.0000000000000000E-001,5.0596120125377309E-001,3.0000000000000000E+001,2.9999999958291404E+001,3.0000000000000000E+000,2.9999991625148952E+000,1.0000000000000000E+003,4.0000000000000000E+001
106,9.4999999999999996E-001,9.5000000080524238E-001,5.0000000000000000E-001,5.0872238279732152E-001,3.0000000000000000E+001,3.0000000003632469E+001,3.0000000000000000E+000,2.9999995474924552E+000,1.0000000000000000E+003,4.0000000000000000E+001
107,9.4999999999999996E-001,9.5000001071524509E-001,5.0000000000000000E-001,5.0994899737487365E-001,3.0000000000000000E+001,3.0000000029688707E+001,3.0000000000000000E+000,2.9999999581463630E+000,1.0000000000000000E+003,4.0000000000000000E+001
108,9.4999999999999996E-001,9.5000001308112270E-001,5.0000000000000000E-001,5.1008053741250103E-001,3.0000000000000000E+001,3.0000000035599491E+001,3.0000000000000000E+000,3.0000002294011807E+000,1.0000000000000000E+003,4.0000000000000000E+001
109,9.4999999999999996E-001,9.5000001041874582E-001,5.0000000000000000E-001,5.0948267871318043E-001,3.0000000000000000E+001,3.0000000028173343E+001,3.0000000000000000E+000,3.0000003205315320E+000,1.0000000000000000E+003,4.0000000000000000E+001
110,9.4999999999999996E-001,9.5000000591342426E-001,5.0000000000000000E-001,5.0844544021132843E-001,3.0000000000000000E+001,3.0000000015942710E+001,3.0000000000000000E+000,3.0000002763682874E+000,1.0000000000000000E+003,4.0000000000000000E+001
