"time","Cntrl_PI_1.s_out.signal[1]","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_out.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_out.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_out.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
72,8.1954400089392543E-001,9.4999999999999996E-001,9.4999935921654444E-001,3.9184259455666457E+001,4.5000000000000001E-001,4.4999730509442643E-001,4.7546217956570011E+001,3.0000000000000000E+001,2.9999997801897113E+001,2.7846350968585391E+001,3.0000000000000000E+000,3.0006072168941933E+000,1.0000000000000000E+003,4.0000000000000000E+001
73,8.1939368904106680E-001,9.4999999999999996E-001,9.4999023668492655E-001,3.9182707405165260E+001,4.5000000000000001E-001,4.4999312339030528E-001,4.7542187072533139E+001,3.0000000000000000E+001,2.9999973656210802E+001,2.7844818507034905E+001,3.0000000000000000E+000,3.0001076455123581E+000,1.0000000000000000E+003,4.0000000000000000E+001
74,8.1928326855784739E-001,9.4999999999999996E-001,9.4998969114994403E-001,3.9181609612996979E+001,4.5000000000000001E-001,4.4999106925453780E-001,4.7539244513156007E+001,3.0000000000000000E+001,2.9999972418525253E+001,2.7841387389444087E+001,3.0000000000000000E+000,2.9998184168083997E+000,1.0000000000000000E+003,4.0000000000000000E+001
75,8.1923710412759809E-001,9.4999999999999996E-001,9.4999358819680679E-001,3.9180865303502856E+001,4.5000000000000001E-001,4.4999045172956459E-001,4.7538027188485579E+001,3.0000000000000000E+001,2.9999982958478896E+001,2.7838408202676398E+001,3.0000000000000000E+000,2.9997494886804068E+000,1.0000000000000000E+003,4.0000000000000000E+001
76,8.1924122001016586E-001,9.4999999999999996E-001,9.4999809712944328E-001,3.9180377938253173E+001,4.5000000000000001E-001,4.4999071924184925E-001,4.7538151279346692E+001,3.0000000000000000E+001,2.9999995035860298E+001,2.7836855386340872E+001,3.0000000000000000E+000,2.9998168169467387E+000,1.0000000000000000E+003,4.0000000000000000E+001
77,8.1926810568134067E-001,9.4999999999999996E-001,9.5000108844221665E-001,3.9180073420829444E+001,4.5000000000000001E-001,4.4999148725755195E-001,4.7538877288625777E+001,3.0000000000000000E+001,3.0000002997975209E+001,2.7836620842289165E+001,3.0000000000000000E+000,2.9999232534203282E+000,1.0000000000000000E+003,4.0000000000000000E+001
78,8.1929577148694066E-001,9.4999999999999996E-001,9.5000214555811813E-001,3.9179903404170332E+001,4.5000000000000001E-001,4.4999252146809426E-001,4.7539618055855449E+001,3.0000000000000000E+001,3.0000005773095708E+001,2.7837136521538476E+001,3.0000000000000000E+000,3.0000073289968352E+000,1.0000000000000000E+003,4.0000000000000000E+001
79,8.1931137841658375E-001,9.4999999999999996E-001,9.5000174215752597E-001,3.9179842608493495E+001,4.5000000000000001E-001,4.4999367587080041E-001,4.7540033009165583E+001,3.0000000000000000E+001,3.0000004658025670E+001,2.7837802096991307E+001,3.0000000000000000E+000,3.0000421758025855E+000,1.0000000000000000E+003,4.0000000000000000E+001
80,8.1931653306817698E-001,9.4999999999999996E-001,9.5000091792290831E-001,3.9179847389453457E+001,4.5000000000000001E-001,4.4999484002205908E-001,4.7540168148189743E+001,3.0000000000000000E+001,3.0000002437098665E+001,2.7838281000797078E+001,3.0000000000000000E+000,3.0000449955660873E+000,1.0000000000000000E+003,4.0000000000000000E+001
81,8.1931343731994744E-001,9.4999999999999996E-001,9.5000019162658622E-001,3.9179912203245721E+001,4.5000000000000001E-001,4.4999594088652334E-001,4.7540083402328172E+001,3.0000000000000000E+001,3.0000000493808454E+001,2.7838451419942828E+001,3.0000000000000000E+000,3.0000279535728458E+000,1.0000000000000000E+003,4.0000000000000000E+001
82,8.1930847563387332E-001,9.4999999999999996E-001,9.4999974540121312E-001,3.9180003592497016E+001,4.5000000000000001E-001,4.4999695472447426E-001,4.7539950467377210E+001,3.0000000000000000E+001,2.9999999310303167E+001,2.7838455439457874E+001,3.0000000000000000E+000,3.0000096682117450E+000,1.0000000000000000E+003,4.0000000000000000E+001
83,8.1930396773205405E-001,9.4999999999999996E-001,9.4999962437693197E-001,3.9180112930800824E+001,4.5000000000000001E-001,4.4999783837292512E-001,4.7539830245359944E+001,3.0000000000000000E+001,2.9999998994707312E+001,2.7838352556971081E+001,3.0000000000000000E+000,2.9999966380735108E+000,1.0000000000000000E+003,4.0000000000000000E+001
84,8.1930181411075653E-001,9.4999999999999996E-001,9.4999972452032599E-001,3.9180225258113119E+001,4.5000000000000001E-001,4.4999854890674984E-001,4.7539773372378065E+001,3.0000000000000000E+001,2.9999999267255465E+001,2.7838244336088927E+001,3.0000000000000000E+000,2.9999924105183058E+000,1.0000000000000000E+003,4.0000000000000000E+001
85,8.1930121672604506E-001,9.4999999999999996E-001,9.4999986883756216E-001,3.9180331788671246E+001,4.5000000000000001E-001,4.4999913416030074E-001,4.7539758100577473E+001,3.0000000000000000E+001,2.9999999655116351E+001,2.7838170802896844E+001,3.0000000000000000E+000,2.9999927162237241E+000,1.0000000000000000E+003,4.0000000000000000E+001
86,8.1930185210803641E-001,9.4999999999999996E-001,9.4999998372499495E-001,3.9180424499743651E+001,4.5000000000000001E-001,4.4999955842950562E-001,4.7539775620283102E+001,3.0000000000000000E+001,2.9999999962001180E+001,2.7838148868924797E+001,3.0000000000000000E+000,2.9999958005393297E+000,1.0000000000000000E+003,4.0000000000000000E+001
87,8.1930270595378341E-001,9.4999999999999996E-001,9.5000004942314398E-001,3.9180505067402905E+001,4.5000000000000001E-001,4.4999988177901978E-001,4.7539798637226923E+001,3.0000000000000000E+001,3.0000000135471137E+001,2.7838152538574647E+001,3.0000000000000000E+000,2.9999988223234797E+000,1.0000000000000000E+003,4.0000000000000000E+001
88,8.1930341486960478E-001,9.4999999999999996E-001,9.5000006221920719E-001,3.9180570786811991E+001,4.5000000000000001E-001,4.5000010154417802E-001,4.7539817692423355E+001,3.0000000000000000E+001,3.0000000168143593E+001,2.7838171232393258E+001,3.0000000000000000E+000,3.0000008057346794E+000,1.0000000000000000E+003,4.0000000000000000E+001
89,8.1930371431536841E-001,9.4999999999999996E-001,9.5000004232160373E-001,3.9180620302126925E+001,4.5000000000000001E-001,4.5000022857052790E-001,4.7539825722460137E+001,3.0000000000000000E+001,3.0000000114038549E+001,2.7838188667563994E+001,3.0000000000000000E+000,3.0000013291296725E+000,1.0000000000000000E+003,4.0000000000000000E+001
90,8.1930376710536945E-001,9.4999999999999996E-001,9.5000001763488151E-001,3.9180659478982513E+001,4.5000000000000001E-001,4.5000030521551238E-001,4.7539827153097981E+001,3.0000000000000000E+001,3.0000000047590643E+001,2.7838199760942565E+001,3.0000000000000000E+000,3.0000011608025905E+000,1.0000000000000000E+003,4.0000000000000000E+001
91,8.1930363988009469E-001,9.4999999999999996E-001,9.4999999977324534E-001,3.9180686347075486E+001,4.5000000000000001E-001,4.5000032999011208E-001,4.7539823795710433E+001,3.0000000000000000E+001,2.9999999999851362E+001,2.7838202354259785E+001,3.0000000000000000E+000,3.0000006172502598E+000,1.0000000000000000E+003,4.0000000000000000E+001
92,8.1930349136250813E-001,9.4999999999999996E-001,9.4999999036744776E-001,3.9180705932295403E+001,4.5000000000000001E-001,4.5000032908864274E-001,4.7539819896785232E+001,3.0000000000000000E+001,2.9999999974883064E+001,2.7838201069748138E+001,3.0000000000000000E+000,3.0000001251498523E+000,1.0000000000000000E+003,4.0000000000000000E+001
93,8.1930337772480388E-001,9.4999999999999996E-001,9.4999998944497466E-001,3.9180718251615893E+001,4.5000000000000001E-001,4.5000030642799538E-001,4.7539816924925496E+001,3.0000000000000000E+001,2.9999999972447949E+001,2.7838197746492533E+001,3.0000000000000000E+000,2.9999998283886429E+000,1.0000000000000000E+003,4.0000000000000000E+001
94,8.1930333444424830E-001,9.4999999999999996E-001,9.4999999324843509E-001,3.9180724263874843E+001,4.5000000000000001E-001,4.5000026992904524E-001,4.7539815848216222E+001,3.0000000000000000E+001,2.9999999982682798E+001,2.7838194960352599E+001,3.0000000000000000E+000,2.9999997703086163E+000,1.0000000000000000E+003,4.0000000000000000E+001
95,8.1930333004541422E-001,9.4999999999999996E-001,9.4999999744092956E-001,3.9180726948573522E+001,4.5000000000000001E-001,4.5000022895312108E-001,4.7539815803496609E+001,3.0000000000000000E+001,2.9999999993890743E+001,2.7838193302806392E+001,3.0000000000000000E+000,2.9999998160679109E+000,1.0000000000000000E+003,4.0000000000000000E+001
96,8.1930335128463638E-001,9.4999999999999996E-001,9.5000000050141153E-001,3.9180726648172296E+001,4.5000000000000001E-001,4.5000018642017703E-001,4.7539816421094699E+001,3.0000000000000000E+001,3.0000000001931575E+001,2.7838192906906190E+001,3.0000000000000000E+000,2.9999999126100931E+000,1.0000000000000000E+003,4.0000000000000000E+001
97,8.1930337627032512E-001,9.4999999999999996E-001,9.5000000177293231E-001,3.9180724393696281E+001,4.5000000000000001E-001,4.5000014572447566E-001,4.7539817131691613E+001,3.0000000000000000E+001,3.0000000005218194E+001,2.7838193298504883E+001,3.0000000000000000E+000,2.9999999957541830E+000,1.0000000000000000E+003,4.0000000000000000E+001
98,8.1930339261438123E-001,9.4999999999999996E-001,9.5000000164552556E-001,3.9180721005493048E+001,4.5000000000000001E-001,4.5000010900731380E-001,4.7539817606414509E+001,3.0000000000000000E+001,3.0000000004807045E+001,2.7838193924191014E+001,3.0000000000000000E+000,3.0000000387979564E+000,1.0000000000000000E+003,4.0000000000000000E+001
99,8.1930339640779704E-001,9.4999999999999996E-001,9.5000000087970027E-001,3.9180717098672844E+001,4.5000000000000001E-001,4.5000007832433581E-001,4.7539817736654108E+001,3.0000000000000000E+001,3.0000000002690570E+001,2.7838194370306308E+001,3.0000000000000000E+000,3.0000000413282759E+000,1.0000000000000000E+003,4.0000000000000000E+001
100,8.1930339370020533E-001,9.4999999999999996E-001,9.5000000019675523E-001,3.9180713214839102E+001,4.5000000000000001E-001,4.5000005312599051E-001,4.7539817691861437E+001,3.0000000000000000E+001,3.0000000000828063E+001,2.7838194567291286E+001,3.0000000000000000E+000,3.0000000279974723E+000,1.0000000000000000E+003,4.0000000000000000E+001
101,8.1930438897165780E-001,9.4999999999999996E-001,9.5000002865091315E-001,2.7364076035226990E+001,5.0000000000000000E-001,4.6867116566804728E-001,4.7539843519065158E+001,3.0000000000000000E+001,3.0000000074091187E+001,2.7838212755506717E+001,3.0000000000000000E+000,3.0000010841180056E+000,1.0000000000000000E+003,4.0000000000000000E+001
102,8.1930381851515222E-001,9.4999999999999996E-001,9.4999997374219336E-001,3.0261707167899409E+001,5.0000000000000000E-001,4.8308706517550998E-001,4.7539828406604890E+001,3.0000000000000000E+001,2.9999999929788093E+001,2.7838214586463653E+001,3.0000000000000000E+000,3.0000004349601519E+000,1.0000000000000000E+003,4.0000000000000000E+001
103,8.1930327102551126E-001,9.4999999999999996E-001,9.4999995660071701E-001,3.2774432413367180E+001,5.0000000000000000E-001,4.9372337563077912E-001,4.7539813963208609E+001,3.0000000000000000E+001,2.9999999885212031E+001,2.7838205068594775E+001,3.0000000000000000E+000,2.9999995237683454E+000,1.0000000000000000E+003,4.0000000000000000E+001
104,8.1930294990967500E-001,9.4999999999999996E-001,9.4999996508525142E-001,3.4863184291592361E+001,5.0000000000000000E-001,5.0115102314206261E-001,4.7539805587342229E+001,3.0000000000000000E+001,2.9999999908430578E+001,2.7838193100607967E+001,3.0000000000000000E+000,2.9999990752344337E+000,1.0000000000000000E+003,4.0000000000000000E+001
105,8.1930287776201260E-001,9.4999999999999996E-001,9.4999998372973937E-001,3.6531106974737511E+001,5.0000000000000000E-001,5.0596120125377309E-001,4.7539803841711091E+001,3.0000000000000000E+001,2.9999999958291404E+001,2.7838184796340816E+001,3.0000000000000000E+000,2.9999991625148952E+000,1.0000000000000000E+003,4.0000000000000000E+001
106,8.1930297572709765E-001,9.4999999999999996E-001,9.5000000080524238E-001,3.7808790078629620E+001,5.0000000000000000E-001,5.0872238279732152E-001,4.7539806595104579E+001,3.0000000000000000E+001,3.0000000003632469E+001,2.7838182072301052E+001,3.0000000000000000E+000,2.9999995474924552E+000,1.0000000000000000E+003,4.0000000000000000E+001
107,8.1930313883534656E-001,9.4999999999999996E-001,9.5000001071524509E-001,3.8743078765006281E+001,5.0000000000000000E-001,5.0994899737487365E-001,4.7539811038362160E+001,3.0000000000000000E+001,3.0000000029688707E+001,2.7838183771453291E+001,3.0000000000000000E+000,2.9999999581463630E+000,1.0000000000000000E+003,4.0000000000000000E+001
108,8.1930328675708508E-001,9.4999999999999996E-001,9.5000001308112270E-001,3.9387740398850667E+001,5.0000000000000000E-001,5.1008053741250103E-001,4.7539815034438163E+001,3.0000000000000000E+001,3.0000000035599491E+001,2.7838187566073806E+001,3.0000000000000000E+000,3.0000002294011807E+000,1.0000000000000000E+003,4.0000000000000000E+001
109,8.1930338034567085E-001,9.4999999999999996E-001,9.5000001041874582E-001,3.9798021991865433E+001,5.0000000000000000E-001,5.0948267871318043E-001,4.7539817552042187E+001,3.0000000000000000E+001,3.0000000028173343E+001,2.7838191361496669E+001,3.0000000000000000E+000,3.0000003205315320E+000,1.0000000000000000E+003,4.0000000000000000E+001
110,8.1930341729633183E-001,9.4999999999999996E-001,9.5000000591342426E-001,4.0026202939288154E+001,5.0000000000000000E-001,5.0844544021132843E-001,4.7539818543084827E+001,3.0000000000000000E+001,3.0000000015942710E+001,2.7838193982749651E+001,3.0000000000000000E+000,3.0000002763682874E+000,1.0000000000000000E+003,4.0000000000000000E+001
111,8.1930341589925715E-001,9.4999999999999996E-001,9.5000000194643042E-001,4.0119045947598948E+001,5.0000000000000000E-001,5.0718943594347032E-001,4.7539818505205126E+001,3.0000000000000000E+001,3.0000000005248488E+001,2.7838195191568580E+001,3.0000000000000000E+000,3.0000001714401074E+000,1.0000000000000000E+003,4.0000000000000000E+001
112,8.1930339877307901E-001,9.4999999999999996E-001,9.4999999959570491E-001,4.0116526237447616E+001,5.0000000000000000E-001,5.0587470111385235E-001,4.7539818046875475E+001,3.0000000000000000E+001,2.9999999998932836E+001,2.7838195344522219E+001,3.0000000000000000E+000,3.0000000685900430E+000,1.0000000000000000E+003,4.0000000000000000E+001
113,8.1930338253677204E-001,9.4999999999999996E-001,9.4999999884870145E-001,4.0051380291186184E+001,5.0000000000000000E-001,5.0461037879371462E-001,4.7539817612906468E+001,3.0000000000000000E+001,2.9999999996928018E+001,2.7838194985942238E+001,3.0000000000000000E+000,3.0000000010059167E+000,1.0000000000000000E+003,4.0000000000000000E+001
114,8.1930337466085923E-001,9.4999999999999996E-001,9.4999999912165622E-001,3.9949408896118278E+001,5.0000000000000000E-001,5.0346494319647495E-001,4.7539817402164331E+001,3.0000000000000000E+001,2.9999999997652310E+001,2.7838194563315561E+001,3.0000000000000000E+000,2.9999999738533023E+000,1.0000000000000000E+003,4.0000000000000000E+001
115,8.1930337522230423E-001,9.4999999999999996E-001,9.4999999974744687E-001,3.9830000856944245E+001,5.0000000000000000E-001,5.0247538478614373E-001,4.7539817415871291E+001,3.0000000000000000E+001,2.9999999999315502E+001,2.7838194312288302E+001,3.0000000000000000E+000,2.9999999755627691E+000,1.0000000000000000E+003,4.0000000000000000E+001
116,8.1930338045480078E-001,9.4999999999999996E-001,9.5000000025228359E-001,3.9707337776975713E+001,5.0000000000000000E-001,5.0165578309783265E-001,4.7539817553129694E+001,3.0000000000000000E+001,3.0000000000653849E+001,2.7838194274369890E+001,3.0000000000000000E+000,2.9999999895367440E+000,1.0000000000000000E+003,4.0000000000000000E+001
117,8.1930338622305321E-001,9.4999999999999996E-001,9.5000000045261923E-001,3.9590780256566902E+001,5.0000000000000000E-001,5.0100375025722843E-001,4.7539817703801226E+001,3.0000000000000000E+001,3.0000000001179785E+001,2.7838194376059580E+001,3.0000000000000000E+000,3.0000000030414378E+000,1.0000000000000000E+003,4.0000000000000000E+001
118,8.1930338981614736E-001,9.4999999999999996E-001,9.5000000038058263E-001,3.9486210554439594E+001,5.0000000000000000E-001,5.0050621949409313E-001,4.7539817796135942E+001,3.0000000000000000E+001,3.0000000000982805E+001,2.7838194513817996E+001,3.0000000000000000E+000,3.0000000098388542E+000,1.0000000000000000E+003,4.0000000000000000E+001
119,8.1930339048651146E-001,9.4999999999999996E-001,9.5000000016857000E-001,3.9396607785919045E+001,5.0000000000000000E-001,5.0014423715250056E-001,4.7539817810805005E+001,3.0000000000000000E+001,3.0000000000417774E+001,2.7838194613005172E+001,3.0000000000000000E+000,3.0000000096178807E+000,1.0000000000000000E+003,4.0000000000000000E+001
120,8.1930338884933063E-001,9.4999999999999996E-001,9.4999999994921003E-001,3.9322945158013006E+001,5.0000000000000000E-001,4.9989609067310176E-001,4.7539817764716346E+001,3.0000000000000000E+001,2.9999999999837957E+001,2.7838194643930123E+001,3.0000000000000000E+000,3.0000000051551412E+000,1.0000000000000000E+003,4.0000000000000000E+001
121,8.1930338608038611E-001,9.4999999999999996E-001,9.4999999980283134E-001,3.9264780980938056E+001,5.0000000000000000E-001,4.9973975249455999E-001,4.7539817689403961E+001,3.0000000000000000E+001,2.9999999999455589E+001,2.7838194614433498E+001,3.0000000000000000E+000,2.9999999997778573E+000,1.0000000000000000E+003,4.0000000000000000E+001
122,8.1930338324883012E-001,9.4999999999999996E-001,9.4999999974957616E-001,3.9220771906028368E+001,5.0000000000000000E-001,4.9965448354884423E-001,4.7539817613338087E+001,3.0000000000000000E+001,2.9999999999322259E+001,2.7838194550862337E+001,3.0000000000000000E+000,2.9999999957847865E+000,1.0000000000000000E+003,4.0000000000000000E+001
123,8.1930338098990929E-001,9.4999999999999996E-001,9.4999999976843841E-001,3.9189072105495001E+001,5.0000000000000000E-001,4.9962180159834629E-001,4.7539817553283577E+001,3.0000000000000000E+001,2.9999999999380339E+001,2.7838194480496163E+001,3.0000000000000000E+000,2.9999999940069420E+000,1.0000000000000000E+003,4.0000000000000000E+001
124,8.1930337948411769E-001,9.4999999999999996E-001,9.4999999982323480E-001,3.9167630240582810E+001,5.0000000000000000E-001,4.9962596558502237E-001,4.7539817513829213E+001,3.0000000000000000E+001,2.9999999999532481E+001,2.7838194421495750E+001,3.0000000000000000E+000,2.9999999941397406E+000,1.0000000000000000E+003,4.0000000000000000E+001
125,8.1930337860492064E-001,9.4999999999999996E-001,9.4999999988219397E-001,3.9154367400908207E+001,5.0000000000000000E-001,4.9965395404679541E-001,4.7539817491395482E+001,3.0000000000000000E+001,2.9999999999693816E+001,2.7838194380649462E+001,3.0000000000000000E+000,2.9999999953449388E+000,1.0000000000000000E+003,4.0000000000000000E+001
126,8.1930337812236120E-001,9.4999999999999996E-001,9.4999999992792816E-001,3.9147418075006811E+001,5.0000000000000000E-001,4.9969590253492574E-001,4.7539817479702847E+001,3.0000000000000000E+001,2.9999999999818254E+001,2.7838194356417343E+001,3.0000000000000000E+000,2.9999999968303404E+000,1.0000000000000000E+003,4.0000000000000000E+001
127,8.1930337782520635E-001,9.4999999999999996E-001,9.4999999995556417E-001,3.9145100411002240E+001,5.0000000000000000E-001,4.9974419857899499E-001,4.7539817473021017E+001,3.0000000000000000E+001,2.9999999999893237E+001,2.7838194343528709E+001,3.0000000000000000E+000,2.9999999980698564E+000,1.0000000000000000E+003,4.0000000000000000E+001
128,8.1930337758447280E-001,9.4999999999999996E-001,9.4999999996875595E-001,3.9145991694445840E+001,5.0000000000000000E-001,4.9979339560199515E-001,4.7539817467853830E+001,3.0000000000000000E+001,2.9999999999928921E+001,2.7838194336458145E+001,3.0000000000000000E+000,2.9999999988695767E+000,1.0000000000000000E+003,4.0000000000000000E+001
129,8.1930337735520775E-001,9.4999999999999996E-001,9.4999999997415052E-001,3.9148936591934380E+001,5.0000000000000000E-001,4.9983984400579229E-001,4.7539817462966717E+001,3.0000000000000000E+001,2.9999999999943313E+001,2.7838194331432160E+001,3.0000000000000000E+000,2.9999999992770277E+000,1.0000000000000000E+003,4.0000000000000000E+001
130,8.1930337714582147E-001,9.4999999999999996E-001,9.4999999997742623E-001,3.9153034417675336E+001,5.0000000000000000E-001,4.9988132603942581E-001,4.7539817458558474E+001,3.0000000000000000E+001,2.9999999999951708E+001,2.7838194326816094E+001,3.0000000000000000E+000,2.9999999994460724E+000,1.0000000000000000E+003,4.0000000000000000E+001
131,8.1930337698198030E-001,9.4999999999999996E-001,9.4999999998160833E-001,3.9157613444719168E+001,5.0000000000000000E-001,4.9991671796503190E-001,4.7539817455296323E+001,3.0000000000000000E+001,2.9999999999962295E+001,2.7838194322512646E+001,3.0000000000000000E+000,2.9999999995276294E+000,1.0000000000000000E+003,4.0000000000000000E+001
132,8.1930337688185528E-001,9.4999999999999996E-001,9.4999999998723350E-001,3.9162198425951573E+001,5.0000000000000000E-001,4.9994569315921500E-001,4.7539817453645057E+001,3.0000000000000000E+001,2.9999999999976527E+001,2.7838194319075686E+001,3.0000000000000000E+000,2.9999999996145266E+000,1.0000000000000000E+003,4.0000000000000000E+001
133,8.1930337684659482E-001,9.4999999999999996E-001,9.4999999999338802E-001,3.9166475847912430E+001,5.0000000000000000E-001,4.9996847235396097E-001,4.7539817453623975E+001,3.0000000000000000E+001,2.9999999999992017E+001,2.7838194317014150E+001,3.0000000000000000E+000,2.9999999997351741E+000,1.0000000000000000E+003,4.0000000000000000E+001
134,8.1930337686271848E-001,9.4999999999999996E-001,9.4999999999882545E-001,3.9170260051408775E+001,5.0000000000000000E-001,4.9998562190211343E-001,4.7539817454868810E+001,3.0000000000000000E+001,3.0000000000005517E+001,2.7838194316462875E+001,3.0000000000000000E+000,2.9999999998751070E+000,1.0000000000000000E+003,4.0000000000000000E+001
135,8.1930337691002364E-001,9.4999999999999996E-001,9.5000000000269891E-001,3.9173462224803941E+001,5.0000000000000000E-001,4.9999789738794842E-001,4.7539817456840552E+001,3.0000000000000000E+001,3.0000000000014815E+001,2.7838194317175500E+001,3.0000000000000000E+000,3.0000000000049964E+000,1.0000000000000000E+003,4.0000000000000000E+001
136,8.1930337696922273E-001,9.4999999999999996E-001,9.5000000000478646E-001,3.9176063396370189E+001,5.0000000000000000E-001,5.0000612773699482E-001,4.7539817459031511E+001,3.0000000000000000E+001,3.0000000000019387E+001,2.7838194318692178E+001,3.0000000000000000E+000,3.0000000001013269E+000,1.0000000000000000E+003,4.0000000000000000E+001
137,8.1930337702657063E-001,9.4999999999999996E-001,9.5000000000537532E-001,3.9178091896135648E+001,5.0000000000000000E-001,5.0001113388118001E-001,4.7539817461084155E+001,3.0000000000000000E+001,3.0000000000020030E+001,2.7838194320533717E+001,3.0000000000000000E+000,3.0000000001550631E+000,1.0000000000000000E+003,4.0000000000000000E+001
138,8.1930337707494039E-001,9.4999999999999996E-001,9.5000000000499318E-001,3.9179605293521604E+001,5.0000000000000000E-001,5.0001367571570499E-001,4.7539817462819435E+001,3.0000000000000000E+001,3.0000000000018186E+001,2.7838194322334537E+001,3.0000000000000000E+000,3.0000000001706044E+000,1.0000000000000000E+003,4.0000000000000000E+001
139,8.1930337711251544E-001,9.4999999999999996E-001,9.5000000000416196E-001,3.9180676510856522E+001,5.0000000000000000E-001,5.0001442129897966E-001,4.7539817464200297E+001,3.0000000000000000E+001,3.0000000000015255E+001,2.7838194323890072E+001,3.0000000000000000E+000,3.0000000001599103E+000,1.0000000000000000E+003,4.0000000000000000E+001
140,8.1930337714045887E-001,9.4999999999999996E-001,9.5000000000325235E-001,3.9181383631483541E+001,5.0000000000000000E-001,5.0001393279945849E-001,4.7539817465267440E+001,3.0000000000000000E+001,3.0000000000012207E+001,2.7838194325135312E+001,3.0000000000000000E+000,3.0000000001360809E+000,1.0000000000000000E+003,4.0000000000000000E+001
141,8.1930337716094348E-001,9.4999999999999996E-001,9.5000000000245521E-001,3.9181802834381678E+001,5.0000000000000000E-001,5.0001266443060943E-001,4.7539817466089076E+001,3.0000000000000000E+001,3.0000000000009564E+001,2.7838194326092740E+001,3.0000000000000000E+000,3.0000000001092197E+000,1.0000000000000000E+003,4.0000000000000000E+001
142,8.1930337717585411E-001,9.4999999999999996E-001,9.5000000000181772E-001,3.9182003868627547E+001,5.0000000000000000E-001,5.0001096842435599E-001,4.7539817466722326E+001,3.0000000000000000E+001,3.0000000000007422E+001,2.7838194326819128E+001,3.0000000000000000E+000,3.0000000000849800E+000,1.0000000000000000E+003,4.0000000000000000E+001
143,8.1930337718646207E-001,9.4999999999999996E-001,9.5000000000131668E-001,3.9182047508635392E+001,5.0000000000000000E-001,5.0000910589473424E-001,4.7539817467207243E+001,3.0000000000000000E+001,3.0000000000005723E+001,2.7838194327370573E+001,3.0000000000000000E+000,3.0000000000652491E+000,1.0000000000000000E+003,4.0000000000000000E+001
144,8.1930337719341340E-001,9.4999999999999996E-001,9.5000000000090468E-001,3.9181984487278882E+001,5.0000000000000000E-001,5.0000726018535935E-001,4.7539817467567715E+001,3.0000000000000000E+001,3.0000000000004309E+001,2.7838194327787136E+001,3.0000000000000000E+000,3.0000000000496443E+000,1.0000000000000000E+003,4.0000000000000000E+001
145,8.1930337719708590E-001,9.4999999999999996E-001,9.5000000000054841E-001,3.9181855475170920E+001,5.0000000000000000E-001,5.0000555094654819E-001,4.7539817467817485E+001,3.0000000000000000E+001,3.0000000000003105E+001,2.7838194328092367E+001,3.0000000000000000E+000,3.0000000000369789E+000,1.0000000000000000E+003,4.0000000000000000E+001
146,8.1930337719789292E-001,9.4999999999999996E-001,9.5000000000023810E-001,3.9181691750594538E+001,5.0000000000000000E-001,5.0000404773682694E-001,4.7539817467971709E+001,3.0000000000000000E+001,3.0000000000002068E+001,2.7838194328300872E+001,3.0000000000000000E+000,3.0000000000262821E+000,1.0000000000000000E+003,4.0000000000000000E+001
147,8.1930337719637247E-001,9.4999999999999996E-001,9.4999999999997942E-001,3.9181516278947079E+001,5.0000000000000000E-001,5.0000278238706852E-001,4.7539817468048554E+001,3.0000000000000000E+001,3.0000000000001208E+001,2.7838194328424944E+001,3.0000000000000000E+000,3.0000000000170810E+000,1.0000000000000000E+003,4.0000000000000000E+001
148,8.1930337719310220E-001,9.4999999999999996E-001,9.4999999999977691E-001,3.9181344988653208E+001,5.0000000000000000E-001,5.0000175970944583E-001,4.7539817468064541E+001,3.0000000000000000E+001,3.0000000000000515E+001,2.7838194328478366E+001,3.0000000000000000E+000,3.0000000000093063E+000,1.0000000000000000E+003,4.0000000000000000E+001
149,8.1930337718873125E-001,9.4999999999999996E-001,9.4999999999963625E-001,3.9181188089838344E+001,5.0000000000000000E-001,5.0000096638837710E-001,4.7539817468041925E+001,3.0000000000000000E+001,3.0000000000000021E+001,2.7838194328477094E+001,3.0000000000000000E+000,3.0000000000030740E+000,1.0000000000000000E+003,4.0000000000000000E+001
150,8.1930337718388457E-001,9.4999999999999996E-001,9.4999999999955709E-001,3.9181051331590119E+001,5.0000000000000000E-001,5.0000037806969799E-001,4.7539817467996421E+001,3.0000000000000000E+001,2.9999999999999709E+001,2.7838194328438640E+001,3.0000000000000000E+000,2.9999999999985194E+000,1.0000000000000000E+003,4.0000000000000000E+001
151,8.1930337717893287E-001,9.4999999999999996E-001,9.4999999999952400E-001,3.9180937133347008E+001,5.0000000000000000E-001,4.9999996478115871E-001,4.7539817467940104E+001,3.0000000000000000E+001,2.9999999999999531E+001,2.7838194328378240E+001,3.0000000000000000E+000,2.9999999999955320E+000,1.0000000000000000E+003,4.0000000000000000E+001
