"time","Cntrl_PI_1.s_out.signal[1]","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_out.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_out.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_out.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
16,7.2692244070526968E-001,1.0000000000000000E+000,1.0004809794183738E+000,4.0503423144451546E+001,4.5000000000000001E-001,4.4926817484193254E-001,4.5394342587072536E+001,3.0000000000000000E+001,3.0001480881696054E+001,2.5046660910511719E+001,3.0000000000000000E+000,3.0306469723333733E+000,1.0000000000000000E+003,4.0000000000000000E+001
17,7.2474994302548901E-001,1.0000000000000000E+000,1.0000261384648301E+000,4.0004787663966603E+001,4.5000000000000001E-001,4.4790079239723923E-001,4.5329429937153712E+001,3.0000000000000000E+001,3.0000093936856082E+001,2.5196427750512662E+001,3.0000000000000000E+000,3.0197376880980409E+000,1.0000000000000000E+003,4.0000000000000000E+001
18,7.2140724888106411E-001,1.0000000000000000E+000,9.9979872876017239E-001,3.9628533839601786E+001,4.5000000000000001E-001,4.4715017023160020E-001,4.5229198398431741E+001,3.0000000000000000E+001,2.9999402109120187E+001,2.5187860701479789E+001,3.0000000000000000E+000,3.0061195100945923E+000,1.0000000000000000E+003,4.0000000000000000E+001
19,7.1890313459072153E-001,1.0000000000000000E+000,9.9977475533979354E-001,3.9358661604465397E+001,4.5000000000000001E-001,4.4685627954166757E-001,4.5154173258738673E+001,3.0000000000000000E+001,2.9999327215708583E+001,2.5106970446914104E+001,3.0000000000000000E+000,2.9969837406042221E+000,1.0000000000000000E+003,4.0000000000000000E+001
20,7.1783902928412324E-001,1.0000000000000000E+000,9.9985700249301501E-001,3.9176642953594140E+001,4.5000000000000001E-001,4.4688013013058958E-001,4.5122750177273851E+001,3.0000000000000000E+001,2.9999575484443351E+001,2.5025086799827065E+001,3.0000000000000000E+000,2.9938335231760909E+000,1.0000000000000000E+003,4.0000000000000000E+001
21,7.1789251985928559E-001,1.0000000000000000E+000,9.9995495852126159E-001,3.9064210347379344E+001,4.5000000000000001E-001,4.4710901827310967E-001,4.5125195213171615E+001,3.0000000000000000E+001,2.9999871936960396E+001,2.4976658285640696E+001,3.0000000000000000E+000,2.9948722471757514E+000,1.0000000000000000E+003,4.0000000000000000E+001
22,7.1844362939701734E-001,1.0000000000000000E+000,1.0000193338486971E+000,3.9004789175557178E+001,4.5000000000000001E-001,4.4745580420155540E-001,4.5142620577636571E+001,3.0000000000000000E+001,3.0000066197146861E+001,2.4964312031643580E+001,3.0000000000000000E+000,2.9974909777421539E+000,1.0000000000000000E+003,4.0000000000000000E+001
23,7.1899283897022548E-001,1.0000000000000000E+000,1.0000410186664626E+000,3.8984126871664635E+001,4.5000000000000001E-001,4.4785617958054896E-001,4.5159838518406865E+001,3.0000000000000000E+001,3.0000130659507846E+001,2.4974236572265511E+001,3.0000000000000000E+000,2.9997763299619193E+000,1.0000000000000000E+003,4.0000000000000000E+001
24,7.1930674379314374E-001,1.0000000000000000E+000,1.0000335901653392E+000,3.8990404719596732E+001,4.5000000000000001E-001,4.4826485761737056E-001,4.5169802069163836E+001,3.0000000000000000E+001,3.0000106928636910E+001,2.4990551268145961E+001,3.0000000000000000E+000,3.0009519652352754E+000,1.0000000000000000E+003,4.0000000000000000E+001
25,7.1937422359526382E-001,1.0000000000000000E+000,1.0000155742461694E+000,3.9014090945422822E+001,4.5000000000000001E-001,4.4865166415729196E-001,4.5172219893907524E+001,3.0000000000000000E+001,3.0000051411145652E+001,2.5003069192665929E+001,3.0000000000000000E+000,3.0011118387868136E+000,1.0000000000000000E+003,4.0000000000000000E+001
