"time","I@variable_resistance","U@resistance","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
1.58e-05,-1.2060445509804342E-01,-6.4291945393321352E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.6e-05,-1.3976263600196179E-01,-6.7775188826499431E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.62e-05,-1.5637033121934493E-01,-6.9923201210529689E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.64e-05,-1.7046889810718602E-01,-7.0757581672878285E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.66e-05,-1.8214154441329403E-01,-7.0321865541314246E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.68e-05,-1.9151004246644587E-01,-6.8679793580985935E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.7e-05,-1.9873090436129240E-01,-6.5913307201865612E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.72e-05,-2.0399112330041064E-01,-6.2120322721133379E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.74e-05,-2.0750356719179672E-01,-5.7412316368704710E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.76e-05,-2.0950210131174374E-01,-5.1911769761954245E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.78e-05,-2.1023663268153769E-01,-4.5749574404909437E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.8e-05,-2.0996801942410193E-01,-3.9062364222020540E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.82e-05,-2.0896303958762222E-01,-3.1989887802691697E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
