"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
0.38,1.7399832389439291E+000,3.7399832389439291E+000,2.3998323894392926E-001,6.2898575310233984E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.4,1.7769941735180064E+000,3.7769941735180064E+000,2.7699417351800626E-001,6.6044504749030530E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.42,1.8136943207824601E+000,3.8136943207824601E+000,3.1369432078246018E-001,6.9164017266509115E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.44,1.8500690011677143E+000,3.8500690011677143E+000,3.5006900116771422E-001,7.2255865099255712E-001,0,1.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.46,1.8861036652866034E+000,3.8861036652866034E+000,3.8610366528660334E-001,7.5318811549361286E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.48,1.9217838997539358E+000,3.9217838997539358E+000,4.2178389975393571E-001,7.8351631479084538E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.5,1.9570954329516548E+000,3.9570954329516548E+000,4.5709543295165478E-001,8.1353111800890654E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.52,1.9920241407372954E+000,3.9920241407372954E+000,4.9202414073729539E-001,8.4322051962670108E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.54,2.0265560520934534E+000,4.0265560520934534E+000,5.2655605209345335E-001,8.7257264427943537E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.56,2.0606773547160051E+000,4.0606773547160051E+000,5.6067735471600533E-001,9.0157575150860447E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.58,2.0943744005388472E+000,4.0943744005388467E+000,5.9437440053884716E-001,9.3021824045802015E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.6,2.1276337111929378E+000,4.1276337111929378E+000,6.2763371119293754E-001,9.5848865451399690E-001,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.62,2.1604419833974662E+000,4.1604419833974662E+000,6.6044198339746640E-001,9.8637568588784641E-001,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.64,2.1927860942809900E+000,4.1927860942809900E+000,6.9278609428098981E-001,1.0138681801388414E+000,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.66,2.2246531066304032E+000,4.2246531066304032E+000,7.2465310663040339E-001,1.0409551406358428E+000,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.68,2.2560302740656555E+000,4.2560302740656555E+000,7.5603027406565526E-001,1.0676257329558070E+000,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.7,2.2869050461381280E+000,4.2869050461381280E+000,7.8690504613812773E-001,1.0938692892174087E+000,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.72,2.3172650733506499E+000,4.3172650733506499E+000,8.1726507335065013E-001,1.1196753123480527E+000,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.74,2.3470982120971327E+000,4.3470982120971327E+000,8.4709821209713243E-001,1.1450334802825626E+000,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.9244623789194519E+000
0.76,2.3763925295198458E+000,4.3763925295198458E+000,8.7639252951984603E-001,1.1699336500918691E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.7473353861776282E+000
