"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
1.09,2.8525501153912902E+000,2.9441346936285560E+000,3.0037886430101679E+000,1.7999999999999949E+000
1.1,2.8634027946344238E+000,2.9041592037257353E+000,2.9638131531073473E+000,1.8999999999999950E+000
1.11,2.8445864469595774E+000,2.8635673775631574E+000,2.9232213269447693E+000,1.9999999999999951E+000
1.12,2.7961040436861748E+000,2.8223577294811100E+000,2.8820116788627219E+000,2.0999999999999952E+000
1.13,2.7209832346568965E+000,2.7805288713811245E+000,2.8401828207627364E+000,2.1999999999999953E+000
1.14,2.6249802520913055E+000,2.7380795129451720E+000,2.7977334623267840E+000,2.2999999999999954E+000
1.15,2.5160167026732938E+000,2.6950084618394197E+000,2.7546624112210316E+000,2.3999999999999955E+000
1.16,2.4034043785471044E+000,2.6513146239025143E+000,2.7109685732841262E+000,2.4999999999999956E+000
1.17,2.2969339680858933E+000,2.6069970033183627E+000,2.6666509526999747E+000,2.5999999999999956E+000
1.18,2.2059168697383598E+000,2.5620547027733829E+000,2.6217086521549948E+000,2.6999999999999957E+000
1.19,2.1382739028594799E+000,2.5650095166565943E+000,2.6246634660382062E+000,2.7029548138832071E+000
1.2,2.0997601188308552E+000,2.5675468781869717E+000,2.6272008275685836E+000,2.7054921754135846E+000
1.21,2.0934015933346268E+000,2.5696663866857152E+000,2.6293203360673272E+000,2.7076116839123281E+000
1.22,2.1191993304556807E+000,2.5713677074578629E+000,2.6310216568394749E+000,2.7093130046844758E+000
1.23,2.1741292625230901E+000,2.5726505718451427E+000,2.6323045212267546E+000,2.7105958690717555E+000
1.24,2.2524383456908255E+000,2.5735147772683962E+000,2.6331687266500081E+000,2.7114600744950090E+000
1.25,2.3462077673468231E+000,2.5739601872595688E+000,2.6336141366411807E+000,2.7119054844861816E+000
1.26,2.4461281346757500E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.27,2.5412337863052645E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.28,2.6221354857427577E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.29,2.6809140109720029E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.3,2.7118157104094949E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.31,2.7118157104094918E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.32,2.6809140109719944E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.33,2.6221354857427448E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.34,2.5412337863052485E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.35,2.4461281346757322E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.36,2.3461281346757321E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.37,2.2510224830462175E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.38,2.1701207836087244E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.39,2.1113422583794796E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.4,2.0804405589419881E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.41,2.0804405589419916E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.42,2.1113422583794890E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.43,2.1701207836087386E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.44,2.2510224830462353E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.45,2.3461281346757517E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.46,2.4461281346757517E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.47,2.5412337863052663E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.48,2.6221354857427590E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.49,2.6809140109720038E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
1.5,2.7118157104094918E+000,2.5739867314832598E+000,2.6336406808648718E+000,2.7119320287098727E+000
