"time","y_sum","y_product","y_triggeredAdd","y_multiSwitch"
4.63,5,15,4,6
4.65,5,15,4,6
4.67,5,15,4,6
4.69,5,15,4,6
4.71,5,15,4,6
4.73,5,15,4,6
4.75,4,12,4,6
4.77,4,12,4,6
4.79,4,12,4,6
4.81,4,12,4,6
4.83,4,12,4,6
4.85,4,12,4,6
4.87,4,12,4,6
4.89,4,12,4,6
4.91,4,12,4,6
4.93,4,12,4,6
4.95,4,12,4,6
4.97,4,12,4,6
4.99,4,12,4,6
5.01,4,12,5,4
5.03,4,12,5,4
5.05,4,12,5,4
5.07,4,12,5,4
5.09,4,12,5,4
5.11,4,12,5,4
5.13,4,12,5,4
5.15,4,12,5,4
5.17,4,12,5,4
5.19,4,12,5,4
5.21,4,12,5,4
5.23,4,12,5,4
5.25,4,12,5,4
5.27,3,9,5,4
5.29,3,9,5,4
5.31,3,9,5,4
5.33,3,9,5,4
5.35,3,9,5,4
5.37,3,9,5,4
5.39,3,9,5,4
5.41,3,9,5,4
5.43,3,9,5,4
5.45,3,9,5,4
5.47,3,9,5,4
5.49,3,9,5,4
5.51,3,9,5,6
5.53,3,9,5,6
5.55,3,9,5,6
5.57,3,9,5,6
5.59,3,9,5,6
5.61,3,9,5,2
5.63,3,9,5,2
5.65,3,9,5,2
5.67,3,9,5,2
5.69,3,9,5,2
5.71,3,9,5,2
5.73,3,9,5,2
5.75,3,9,5,2
5.77,3,9,5,2
5.79,3,9,5,2
5.81,3,9,5,2
5.83,3,9,5,2
5.85,2,6,5,2
5.87,2,6,5,2
5.89,2,6,5,2
5.91,2,6,5,2
5.93,2,6,5,2
5.95,2,6,5,2
5.97,2,6,5,2
5.99,2,6,5,2
6.01,2,6,6,4
6.03,2,6,6,4
6.05,2,6,6,4
6.07,2,6,6,4
6.09,2,6,6,4
6.11,2,6,6,4
6.13,2,6,6,4
6.15,2,6,6,4
6.17,2,6,6,4
6.19,2,6,6,4
6.21,2,6,6,4
6.23,2,6,6,4
6.25,2,6,6,4
6.27,2,6,6,4
6.29,2,6,6,4
6.31,2,6,6,4
6.33,2,6,6,4
6.35,2,6,6,4
6.37,2,6,6,4
6.39,2,6,6,4
6.41,2,6,6,4
6.43,2,6,6,4
6.45,2,6,6,4
6.47,2,6,6,4
6.49,2,6,6,4
6.51,2,6,6,6
6.53,2,6,6,6
6.55,2,6,6,6
6.57,1,3,6,6
6.59,1,3,6,6
6.61,1,3,6,6
6.63,1,3,6,6
6.65,1,3,6,6
6.67,1,3,6,6
6.69,1,3,6,6
6.71,1,3,6,6
6.73,1,3,6,6
6.75,1,3,6,6
6.77,1,3,6,6
6.79,1,3,6,6
6.81,1,3,6,6
6.83,1,3,6,6
6.85,1,3,6,6
6.87,1,3,6,6
6.89,1,3,6,6
6.91,1,3,6,6
6.93,1,3,6,6
6.95,1,3,6,6
6.97,1,3,6,6
6.99,1,3,6,6
7.01,1,3,7,4
7.03,1,3,7,4
7.05,1,3,7,4
7.07,1,3,7,4
7.09,1,3,7,4
7.11,1,3,7,4
7.13,1,3,7,4
7.15,1,3,7,4
7.17,1,3,7,4
7.19,1,3,7,4
7.21,1,3,7,4
7.23,1,3,7,4
7.25,1,3,7,4
7.27,1,3,7,4
7.29,1,3,7,4
7.31,1,3,7,4
7.33,1,3,7,4
7.35,1,3,7,4
7.37,1,3,7,4
7.39,1,3,7,4
7.41,1,3,7,4
7.43,1,3,7,4
7.45,1,3,7,4
7.47,1,3,7,4
7.49,1,3,7,4
7.51,1,3,7,6
7.53,1,3,7,6
7.55,1,3,7,6
7.57,1,3,7,6
7.59,1,3,7,6
7.61,1,3,7,2
7.63,1,3,7,2
7.65,1,3,7,2
7.67,1,3,7,2
7.69,1,3,7,2
7.71,1,3,7,2
7.73,1,3,7,2
7.75,1,3,7,2
7.77,1,3,7,2
7.79,1,3,7,2
7.81,1,3,7,2
7.83,1,3,7,2
7.85,1,3,7,2
7.87,1,3,7,2
7.89,1,3,7,2
7.91,1,3,7,2
7.93,1,3,7,2
7.95,1,3,7,2
7.97,1,3,7,2
7.99,1,3,7,2
8.01,1,3,8,4
8.03,1,3,8,4
8.05,1,3,8,4
8.07,1,3,8,4
8.09,1,3,8,4
8.11,1,3,8,4
8.13,1,3,8,4
8.15,1,3,8,4
8.17,1,3,8,4
8.19,1,3,8,4
8.21,1,3,8,4
8.23,1,3,8,4
8.25,1,3,8,4
8.27,1,3,8,4
8.29,1,3,8,4
8.31,1,3,8,4
8.33,1,3,8,4
8.35,1,3,8,4
8.37,1,3,8,4
8.39,1,3,8,4
8.41,1,3,8,4
8.43,1,3,8,4
8.45,2,6,8,4
8.47,2,6,8,4
8.49,2,6,8,4
8.51,2,6,8,6
8.53,2,6,8,6
8.55,2,6,8,6
8.57,2,6,8,6
8.59,2,6,8,6
8.61,2,6,8,6
8.63,2,6,8,6
8.65,2,6,8,6
8.67,2,6,8,6
8.69,2,6,8,6
8.71,2,6,8,6
8.73,2,6,8,6
8.75,2,6,8,6
8.77,2,6,8,6
8.79,2,6,8,6
8.81,2,6,8,6
8.83,2,6,8,6
8.85,2,6,8,6
8.87,2,6,8,6
8.89,2,6,8,6
8.91,2,6,8,6
8.93,2,6,8,6
8.95,2,6,8,6
8.97,2,6,8,6
8.99,2,6,8,6
9.01,2,6,9,4
9.03,2,6,9,4
9.05,2,6,9,4
9.07,2,6,9,4
9.09,2,6,9,4
9.11,2,6,9,4
9.13,2,6,9,4
9.15,2,6,9,4
9.17,3,9,9,4
9.19,3,9,9,4
9.21,3,9,9,4
9.23,3,9,9,4
9.25,3,9,9,4
9.27,3,9,9,4
9.29,3,9,9,4
9.31,3,9,9,4
9.33,3,9,9,4
9.35,3,9,9,4
9.37,3,9,9,4
9.39,3,9,9,4
9.41,3,9,9,4
9.43,3,9,9,4
9.45,3,9,9,4
9.47,3,9,9,4
9.49,3,9,9,4
9.51,3,9,9,6
9.53,3,9,9,6
9.55,3,9,9,6
9.57,3,9,9,6
9.59,3,9,9,6
9.61,3,9,9,2
9.63,3,9,9,2
9.65,3,9,9,2
9.67,3,9,9,2
9.69,3,9,9,2
9.71,3,9,9,2
9.73,3,9,9,2
9.75,4,12,9,2
9.77,4,12,9,2
9.79,4,12,9,2
9.81,4,12,9,2
9.83,4,12,9,2
9.85,4,12,9,2
9.87,4,12,9,2
9.89,4,12,9,2
9.91,4,12,9,2
9.93,4,12,9,2
9.95,4,12,9,2
9.97,4,12,9,2
9.99,4,12,9,2
10,4,12,10,4
