"time","J1_w","J2_w","J3_w","J4_w"
0.321,7.4416644064771118E+000,3.1241371200788768E+000,-3.5527136788005009E-015,-3.5346155247477288E-015
0.324,7.3946371260022365E+000,3.1517164480681226E+000,-3.1086244689504383E-015,-3.0894275966905355E-015
0.327,7.3455536451291170E+000,3.1792510729941990E+000,-3.5527136788005009E-015,-3.5323534848488172E-015
0.33,7.2946179493151551E+000,3.2067406034046027E+000,-3.1086244689504383E-015,-3.0869687802116608E-015
0.333,7.2420585700858711E+000,3.2341846484376342E+000,-3.1086244689504383E-015,-3.0854634346950240E-015
0.336,7.1881285850349110E+000,3.2615828178224024E+000,-3.1086244689504383E-015,-3.0836604527910475E-015
0.339,7.1328839847513397E+000,3.2889347234704145E+000,-3.9968028886505635E-015,-3.9703974004607449E-015
0.342,7.0766758993916472E+000,3.3162399759407974E+000,-4.4408920985006262E-015,-4.4131314105844542E-015
0.345,7.0197998361362508E+000,3.3434981869591969E+000,-3.9968028886505635E-015,-3.9677617639649452E-015
0.348,6.9625580253977892E+000,3.3707089689700513E+000,-3.5527136788005009E-015,-3.5225061410239162E-015
0.351,6.9052725340487848E+000,3.3978719350424282E+000,-3.5527136788005009E-015,-3.5214989910852414E-015
0.354,6.8480231646552596E+000,3.4249866997953293E+000,-4.8849813083506888E-015,-4.8529184190666981E-015
0.357,6.7910145526322125E+000,3.4520528781017132E+000,-5.3290705182007514E-015,-5.2963446835794267E-015
0.36,6.7346664376973839E+000,3.4790700847697984E+000,-4.4408920985006262E-015,-4.4077592540233064E-015
0.363,6.6792844534900775E+000,3.5060379357052938E+000,-4.8849813083506888E-015,-4.8517477123548835E-015
0.366,6.6251845743261235E+000,3.5329560474720627E+000,-4.4408920985006262E-015,-4.4079184439164076E-015
0.369,6.5725577309308969E+000,3.5598240376374499E+000,-4.4408920985006262E-015,-4.4085410740778700E-015
0.372,6.5212903730144021E+000,3.5866415252299899E+000,-4.4408920985006262E-015,-4.4094009983600702E-015
0.375,6.4718749986026118E+000,3.6134081284168555E+000,-3.9968028886505635E-015,-3.9665365533049191E-015
0.378,6.4245530506939916E+000,3.6401234666901296E+000,-4.4408920985006262E-015,-4.4122378406384043E-015
0.381,6.3795644410429970E+000,3.6667871602303301E+000,-3.9968028886505635E-015,-3.9701696459273435E-015
0.384,6.3371475501600703E+000,3.6933988299064051E+000,-4.4408920985006262E-015,-4.4167095863303208E-015
0.387,6.2969813259215419E+000,3.7199580986594958E+000,-4.4408920985006262E-015,-4.4193851306747186E-015
0.39,6.2594482045006314E+000,3.7464645883705225E+000,-4.4408920985006262E-015,-4.4223638602155859E-015
0.393,6.2246949295408056E+000,3.7729179221896274E+000,-4.4408920985006262E-015,-4.4256289330274702E-015
0.396,6.1928344562841344E+000,3.7993177240353933E+000,-3.9968028886505635E-015,-3.9850604506124306E-015
