"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
0.36988,-1.1771358955431469E-005,1.4700056325303441E+001,1.4701682687924492E+001,8.6000669860022469E+001,8.6001896981846912E+001,2.1814961611638869E-008,-5.5092965020542004E-010
0.37988,-1.1869727465532132E-005,1.4700060511755137E+001,1.4701676973223890E+001,8.6000664225040396E+001,8.6001701697270974E+001,2.4197460544486744E-008,-7.0956689347236945E-010
0.38988,-1.1855372740660614E-005,1.4700064737370720E+001,1.4701672193332922E+001,8.6000659391326465E+001,8.6001530066067588E+001,2.5810850585765586E-008,-8.4174622505707800E-010
0.39987,-1.1744476758598374E-005,1.4700068886708507E+001,1.4701668231461612E+001,8.6000654173088151E+001,8.6001379291610746E+001,2.6750950794591020E-008,-9.4976626003447421E-010
0.40987,-1.1551984851717068E-005,1.4700072879419489E+001,1.4701664969949499E+001,8.6000647685744624E+001,8.6001246456340652E+001,2.7112193019753040E-008,-1.0361856331800583E-009
0.41987,-1.1292170572671604E-005,1.4700076642793597E+001,1.4701662313559090E+001,8.6000639328583603E+001,8.6001129396786254E+001,2.6981149033183131E-008,-1.1031510991456078E-009
0.42986,-1.0978518288310312E-005,1.4700080122896203E+001,1.4701660174442040E+001,8.6000628733970302E+001,8.6001026154151020E+001,2.6440834000148302E-008,-1.1527886087804116E-009
0.43986,-1.0622419877539136E-005,1.4700083291766937E+001,1.4701658467993894E+001,8.6000615688207489E+001,8.6000934711537298E+001,2.5566338562769644E-008,-1.1872615554073113E-009
0.44986,-1.0235046931706171E-005,1.4700086124333575E+001,1.4701657125081452E+001,8.6000600159636349E+001,8.6000853588542086E+001,2.4427836419583090E-008,-1.2084545864004333E-009
0.45985,-9.8265452618471689E-006,1.4700088608358241E+001,1.4701656083441209E+001,8.6000582246473599E+001,8.6000781463107600E+001,2.3089976978651768E-008,-1.2181837027637587E-009
0.46985,-9.4046806140379989E-006,1.4700090748534540E+001,1.4701655285642470E+001,8.6000562084322112E+001,8.6000716981494762E+001,2.1606623031637440E-008,-1.2181484154195355E-009
0.47985,-8.9773366014343192E-006,1.4700092549850657E+001,1.4701654684692146E+001,8.6000539929828619E+001,8.6000659170846561E+001,2.0029056177314348E-008,-1.2098859807477238E-009
0.48984,-8.5513593563904986E-006,1.4700094025000491E+001,1.4701654239439709E+001,8.6000516094915312E+001,8.6000607174918841E+001,1.8402546954970012E-008,-1.1948338065901170E-009
0.49984,-8.1313087001591213E-006,1.4700095195884998E+001,1.4701653913563584E+001,8.6000490848493229E+001,8.6000560111937034E+001,1.6761308831727634E-008,-1.1742400044050795E-009
0.50984,-7.7220894075127297E-006,1.4700096083519787E+001,1.4701653677630578E+001,8.6000464545104748E+001,8.6000517370779519E+001,1.5138648416309078E-008,-1.1492632378533885E-009
0.51983,-7.3276949652638385E-006,1.4700096712623838E+001,1.4701653506801422E+001,8.6000437545717759E+001,8.6000478421570946E+001,1.3562360410944347E-008,-1.1209623220860544E-009
0.52983,-6.9501452917520236E-006,1.4700097111268054E+001,1.4701653380202281E+001,8.6000410121863212E+001,8.6000442705784778E+001,1.2050486550091618E-008,-1.0901714124506651E-009
0.53983,-6.5919361568513408E-006,1.4700097306303105E+001,1.4701653281416448E+001,8.6000382610355345E+001,8.6000409858086371E+001,1.0621232875855471E-008,-1.0577101032485569E-009
0.54982,-6.2548453886967444E-006,1.4700097325458769E+001,1.4701653197366232E+001,8.6000355326591261E+001,8.6000379566125972E+001,9.2883314109686730E-009,-1.0242877390308262E-009
0.55982,-5.9390825907049044E-006,1.4700097195899170E+001,1.4701653117743122E+001,8.6000328477802526E+001,8.6000351483336473E+001,8.0578182863226183E-009,-9.9040356564691301E-010
0.56982,-5.6453887461306640E-006,1.4700096943671429E+001,1.4701653035081414E+001,8.6000302324355630E+001,8.6000325402196736E+001,6.9365116885583172E-009,-9.5657555065250927E-010
0.57981,-5.3739957676025709E-006,1.4700096593940172E+001,1.4701652944132929E+001,8.6000277093005735E+001,8.6000301146894017E+001,5.9279413645285446E-009,-9.2323637404513237E-010
0.58981,-5.1239770692101465E-006,1.4700096169097050E+001,1.4701652841231677E+001,8.6000252903535227E+001,8.6000278503086932E+001,5.0302145744585395E-009,-8.9062941869355679E-010
0.59981,-4.8949394797322923E-006,1.4700095690689851E+001,1.4701652724515689E+001,8.6000229920737794E+001,8.6000257357671003E+001,4.2424619146435610E-009,-8.5904383156184445E-010
0.6098,-4.6861718612549692E-006,1.4700095178480471E+001,1.4701652593427438E+001,8.6000208274150935E+001,8.6000237614247709E+001,3.5616799272738318E-009,-8.2869179269307671E-010
0.6198,-4.4961649989735819E-006,1.4700094648589431E+001,1.4701652448003539E+001,8.6000187999899694E+001,8.6000219136352484E+001,2.9815101603269488E-009,-7.9964610935333684E-010
0.6298,-4.3239114504218191E-006,1.4700094116577043E+001,1.4701652289436145E+001,8.6000169172713711E+001,8.6000201862246527E+001,2.4966299820254396E-009,-7.7202535293144334E-010
0.63979,-4.1682413073979227E-006,1.4700093595940539E+001,1.4701652119539942E+001,8.6000151836646992E+001,8.6000185737108580E+001,2.1005498955627812E-009,-7.4589609006133269E-010
0.64979,-4.0274718493245727E-006,1.4700093096598652E+001,1.4701651940012370E+001,8.6000135961912676E+001,8.6000170667452082E+001,1.7851143474559024E-009,-7.2122087781963039E-010
0.65979,-3.9003729093360907E-006,1.4700092628124439E+001,1.4701651753311044E+001,8.6000121551555054E+001,8.6000156615727889E+001,1.5430642494101935E-009,-6.9801011755593768E-010
