"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0.64,4.4213921460649930E+00,3.4491897780392375E+00,2.3000000000000016E+00,0.0000000000000000E+00
0.65,4.4470751289751167E+00,3.4186124467586301E+00,2.4000000000000017E+00,0.0000000000000000E+00
0.66,4.4785623903681273E+00,3.3871251853656195E+00,2.5000000000000018E+00,0.0000000000000000E+00
0.67,4.5060760524587069E+00,3.3547171749045552E+00,2.6000000000000019E+00,0.0000000000000000E+00
0.68,4.5203171849840187E+00,3.3213777418167378E+00,2.7000000000000020E+00,0.0000000000000000E+00
0.69,4.5133770924041050E+00,3.2870963596258980E+00,2.8000000000000020E+00,0.0000000000000000E+00
0.7,4.4795125008670471E+00,3.2518626506004495E+00,2.9000000000000021E+00,0.0000000000000000E+00
0.71,4.4157087640752426E+00,3.2156663873922526E+00,3.0000000000000022E+00,0.0000000000000000E+00
0.72,4.3219759573783678E+00,3.1784974946516313E+00,3.1000000000000023E+00,0.0000000000000000E+00
0.73,4.2013488761823625E+00,3.1403460506183882E+00,3.2000000000000024E+00,0.0000000000000000E+00
0.74,4.0595909386746900E+00,3.1707741696534768E+00,3.2304281190350910E+00,0.0000000000000000E+00
0.75,3.9046309767770362E+00,3.2007013247875458E+00,3.2603552741691599E+00,0.0000000000000000E+00
0.76,3.7457880460003823E+00,3.2301227901758729E+00,3.2897767395574871E+00,0.0000000000000000E+00
0.77,3.5928601350665956E+00,3.2590339198280089E+00,3.3186878692096231E+00,0.0000000000000000E+00
0.78,3.4551659786022535E+00,3.2874301483414330E+00,3.3470840977230472E+00,0.0000000000000000E+00
0.79,3.3406337668109058E+00,3.3153069916224838E+00,3.3749609410040979E+00,0.0000000000000000E+00
0.8,3.2550259554294834E+00,3.3426600475944483E+00,3.4023139969760625E+00,0.0000000000000000E+00
0.81,3.2550259554294838E+00,3.3426600475944488E+00,3.4023139969760630E+00,0.0000000000000000E+00
0.82,3.2653265219086491E+00,3.3529606140736141E+00,3.4126145634552283E+00,0.0000000000000000E+00
0.83,3.2849193636517318E+00,3.3725534558166967E+00,3.4322074051983109E+00,0.0000000000000000E+00
0.84,3.3118865967975637E+00,3.3995206889625287E+00,3.4591746383441428E+00,0.0000000000000000E+00
0.85,3.3576502348383568E+00,3.4241916957568899E+00,3.4838456451385040E+00,0.0000000000000000E+00
0.86,3.4094051000614494E+00,3.4483142631453436E+00,3.5079682125269578E+00,0.0000000000000000E+00
0.87,3.4573701141919289E+00,3.4718845818948614E+00,3.5315385312764755E+00,0.0000000000000000E+00
0.88,3.4922431174613919E+00,3.4948989299788771E+00,3.5545528793604912E+00,0.0000000000000000E+00
0.89,3.5061121563183177E+00,3.5173536731650370E+00,3.5770076225466512E+00,0.0000000000000000E+00
0.9,3.4932306709077072E+00,3.5392452655890887E+00,3.5988992149707029E+00,0.0000000000000000E+00
0.91,3.4505807014562571E+00,3.5105702503148160E+00,3.5702241996964301E+00,9.9999999999994524E-02
0.92,3.3781689828885573E+00,3.4813252598799176E+00,3.5409792092615318E+00,1.9999999999999463E-01
0.93,3.2790269437635708E+00,3.4515070168277866E+00,3.5111609662094008E+00,2.9999999999999472E-01
0.94,3.1589146095315552E+00,3.4211123342250462E+00,3.4807662836066604E+00,3.9999999999999480E-01
0.95,3.0257573940225160E+00,3.3901381161648079E+00,3.4497920655464220E+00,4.9999999999999489E-01
0.96,2.8888709098410335E+00,3.3585813582555493E+00,3.4182353076371634E+00,5.9999999999999498E-01
0.97,2.7580496785315307E+00,3.3264391480955431E+00,3.3860930974771573E+00,6.9999999999999507E-01
0.98,2.6426089438196034E+00,3.2937086657327601E+00,3.3533626151143743E+00,7.9999999999999516E-01
0.99,2.5504733818355372E+00,3.2603871841101704E+00,3.3200411334917845E+00,8.9999999999999525E-01
1,2.4874019116256276E+00,3.2264720694963787E+00,3.2861260188779928E+00,9.9999999999999534E-01
1.01,2.4564244868153460E+00,3.1919607819015203E+00,3.2516147312831345E+00,1.0999999999999954E+00
