"time","Noise","Noise_Filt","Noise_Filt_Sat","Sine","Sine_Filt","Sine_Filt_Quantized"
1.321,1.0403944336369206E-001,-1.7992320335722886E-001,-1.7992320335722886E-001,1.9379255823420736E+000,1.4269922837739979E+000,1.4000000000000001E+000
1.341,1.0403944336369206E-001,-1.7992320335722886E-001,-1.7992320335722886E-001,1.9474256154455274E+000,1.4546956699426834E+000,1.5000000000000000E+000
1.361,1.8088512933941203E+000,5.5179368484897795E-002,5.5179368484897795E-002,1.9561467042681318E+000,1.4818699825445147E+000,1.5000000000000000E+000
1.381,1.8088512933941203E+000,5.5179368484897795E-002,5.5179368484897795E-002,1.9640853604906374E+000,1.5084941287906923E+000,1.5000000000000000E+000
1.401,1.0888472004717284E+000,1.8852630011961913E-001,1.8852630011961913E-001,1.9712384087564025E+000,1.5345479123750827E+000,1.5000000000000000E+000
1.421,1.0888472004717284E+000,1.8852630011961913E-001,1.8852630011961913E-001,1.9776029879414938E+000,1.5600120200809982E+000,1.6000000000000001E+000
1.441,1.0888472004717284E+000,1.8852630011961913E-001,1.8852630011961913E-001,1.9831765522990967E+000,1.5848680074990216E+000,1.6000000000000001E+000
1.461,4.7484693304977277E-001,2.3845585174485984E-001,2.3845585174485984E-001,1.9879568724777816E+000,1.6090982839808681E+000,1.6000000000000001E+000
1.481,4.7484693304977277E-001,2.3845585174485984E-001,2.3845585174485984E-001,1.9919420364132139E+000,1.6326860969464219E+000,1.6000000000000001E+000
1.501,-8.2917902382517072E-001,1.2288568117947041E-001,1.2288568117947041E-001,1.9951304500929541E+000,1.6556155156534502E+000,1.7000000000000002E+000
1.521,-8.2917902382517072E-001,1.2288568117947041E-001,1.2288568117947041E-001,1.9975208381940419E+000,1.6778714145320903E+000,1.7000000000000002E+000
1.541,-8.2917902382517072E-001,1.2288568117947041E-001,1.2288568117947041E-001,1.9991122445931084E+000,1.6994394561790422E+000,1.7000000000000002E+000
1.561,-6.5009694689386288E-001,3.5479278758764055E-002,3.5479278758764055E-002,1.9999040327488122E+000,1.7203060740995024E+000,1.7000000000000002E+000
1.581,-6.5009694689386288E-001,3.5479278758764055E-002,3.5479278758764055E-002,1.9998958859564484E+000,1.7404584552781959E+000,1.7000000000000002E+000
1.601,-3.3242722480314368E-001,-7.8480882795671503E-003,-7.8480882795671503E-003,1.9990878074746252E+000,1.7598845226544610E+000,1.8000000000000000E+000
1.621,-3.3242722480314368E-001,-7.8480882795671503E-003,-7.8480882795671503E-003,1.9974801205239610E+000,1.7785729175702099E+000,1.8000000000000000E+000
1.641,-3.3242722480314368E-001,-7.8480882795671503E-003,-7.8480882795671503E-003,1.9950734681578004E+000,1.7965129822536592E+000,1.8000000000000000E+000
1.661,-1.7816064915485508E+000,-2.3015649530915783E-001,-2.3015649530915783E-001,1.9918688130050017E+000,1.8136947423961343E+000,1.8000000000000000E+000
1.681,-1.7816064915485508E+000,-2.3015649530915783E-001,-2.3015649530915783E-001,1.9878674368848981E+000,1.8301088898738316E+000,1.8000000000000000E+000
1.701,3.0351354970508950E+000,1.6074326658766291E-001,1.6074326658766291E-001,1.9830709402945863E+000,1.8457467656613240E+000,1.8000000000000000E+000
1.721,3.0351354970508950E+000,1.6074326658766291E-001,1.6074326658766291E-001,1.9774812417687504E+000,1.8606003429787132E+000,1.9000000000000001E+000
1.741,3.0351354970508950E+000,1.6074326658766291E-001,1.6074326658766291E-001,1.9711005771122720E+000,1.8746622107096989E+000,1.9000000000000001E+000
1.761,1.3977045896671243E+000,3.2741917696667067E-001,3.2741917696667067E-001,1.9639314985059395E+000,1.8879255571234672E+000,1.9000000000000001E+000
1.781,1.3977045896671243E+000,3.2741917696667067E-001,3.2741917696667067E-001,1.9559768734856091E+000,1.9003841539291619E+000,1.9000000000000001E+000
1.801,-9.5854463302824899E-001,1.9123013898980579E-001,1.9123013898980579E-001,1.9472398837952285E+000,1.9120323406877755E+000,1.9000000000000001E+000
1.821,-9.5854463302824899E-001,1.9123013898980579E-001,1.9123013898980579E-001,1.9377240241141822E+000,1.9228650096026485E+000,1.9000000000000001E+000
1.841,-9.5854463302824899E-001,1.9123013898980579E-001,1.9123013898980579E-001,1.9274331006594663E+000,1.9328775907063038E+000,1.9000000000000001E+000
1.861,-1.3822317199037184E+000,8.8896670523502808E-003,8.8896670523502808E-003,1.9163712296632520E+000,1.9420660374580998E+000,1.9000000000000001E+000
1.881,-1.3822317199037184E+000,8.8896670523502808E-003,8.8896670523502808E-003,1.9045428357264484E+000,1.9504268127641873E+000,2.0000000000000000E+000
1.901,-2.1434791627189853E-001,-1.8348305834254564E-002,-1.8348305834254564E-002,1.8919526500489203E+000,1.9579568754284269E+000,2.0000000000000000E+000
