"time","J1_w","J2_w","J3_w","J4_w"
0.015,9.8824279057366979E+000,1.4999298915551632E-001,2.3314049521887082E-034,2.9582283945762216E-034
0.016,9.8769694402852437E+000,1.5999135960436603E-001,2.3314049521887082E-034,2.9582283945762216E-034
0.017,9.8717888413229922E+000,1.6998949530763460E-001,2.3314049521887082E-034,2.9582283945762216E-034
0.018,9.8668813703112299E+000,1.7998738047690108E-001,2.3314049521887082E-034,2.9582283945762216E-034
0.019,9.8622420194137828E+000,1.8998499932414006E-001,2.3314049521887082E-034,2.9582283945762216E-034
0.02,9.8578655164546980E+000,1.9998233606174678E-001,2.3314049521887082E-034,2.9582283945762216E-034
0.021,9.8537463301368060E+000,2.0997937490256191E-001,2.3314049521887082E-034,2.9582283945762216E-034
0.022,9.8498786755160026E+000,2.1997610005989657E-001,2.3314049521887082E-034,2.9582283945762216E-034
0.023,9.8462565197258272E+000,2.2997249574755724E-001,2.3314049521887082E-034,2.9582283945762216E-034
0.024,9.8428735879467499E+000,2.3996854617987062E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.025,9.8397233696141981E+000,2.4996423557170866E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.026,9.8367991248592581E+000,2.5995954813851346E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.027,9.8340938911756659E+000,2.6995446809632212E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.028,9.8316004903064993E+000,2.7994897966179177E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.029,9.8293115353438250E+000,2.8994306705222445E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.03,9.8272194380342146E+000,2.9993671448559200E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.031,9.8253164162829947E+000,3.0992990618056104E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.032,9.8235945018497830E+000,3.1992262635651780E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.033,9.8220455482277291E+000,3.2991485923359321E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.034,9.8206612386986745E+000,3.3990658903268761E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.035,9.8194330945563042E+000,3.4989779997549586E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.036,9.8183524834891518E+000,3.5988847628453208E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.037,9.8174106281151907E+000,3.6987860218315471E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.038,9.8165986146595952E+000,3.7986816189559136E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.039,9.8159074017671042E+000,3.8985713964696367E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.04,9.8153278294402977E+000,3.9984551966331228E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.041,9.8148506280949395E+000,4.0983328617162179E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.042,9.8144664277234845E+000,4.1982042339984560E-001,-3.7772437306440194E-032,-3.7575663586973019E-032
0.043,9.8141657671576841E+000,4.2980691557693085E-001,-1.2555212131008116E-032,-1.2332499805889498E-032
0.044,9.8139391034211592E+000,4.3979274693284326E-001,-1.2555212131008116E-032,-1.2332499805889498E-032
