"time","outputs[1]","outputs[2]"
0,2.5000000000000000E+01,2.0000000000000000E+01
0.02,2.5000000000000000E+01,2.0199735349703928E+01
0.04,2.5000000000000000E+01,2.0398915547261140E+01
0.06,2.5000000000000000E+01,2.0597542378260584E+01
0.08,2.5000000000000000E+01,2.0795617620745361E+01
0.1,2.5000000000000000E+01,2.0993143045259444E+01
0.12,2.5000000000000000E+01,2.1190120414893215E+01
0.14,2.5000000000000000E+01,2.1386551485329392E+01
0.16,2.5000000000000000E+01,2.1582438004887933E+01
0.18,2.5000000000000000E+01,2.1777781714570551E+01
0.2,2.5000000000000000E+01,2.1972584348105386E+01
0.22,2.5000000000000000E+01,2.2166847631990947E+01
0.24,2.5000000000000000E+01,2.2360573285539488E+01
0.26,2.5000000000000000E+01,2.2553763020920485E+01
0.28,2.5000000000000000E+01,2.2746418543203163E+01
0.3,2.5000000000000000E+01,2.2938541550399066E+01
0.32,2.5000000000000000E+01,2.3130133733504465E+01
0.34,2.5000000000000000E+01,2.3321196776541626E+01
0.36,2.5000000000000000E+01,2.3511732356600703E+01
0.38,2.5000000000000000E+01,2.3701742143880381E+01
0.4,2.5000000000000000E+01,2.3891227801728860E+01
0.42,2.5000000000000000E+01,2.4080190986683988E+01
0.44,2.5000000000000000E+01,2.4268633348513731E+01
0.46,2.5000000000000000E+01,2.4456556530255057E+01
0.48,2.5000000000000000E+01,2.4643962168254632E+01
0.5,2.5000000000000000E+01,2.4830851892206169E+01
0.52,2.5000000000000000E+01,2.5017227325190390E+01
0.54,2.5000000000000000E+01,2.5203090083713278E+01
0.56,2.5000000000000000E+01,2.5388441777743878E+01
0.58,2.5000000000000000E+01,2.5573284010751877E+01
0.6,2.5000000000000000E+01,2.5757618379745509E+01
0.62,2.5000000000000000E+01,2.5941446475308396E+01
0.64,2.5000000000000000E+01,2.5997864311963156E+01
0.66,2.5000000000000000E+01,2.5985879974491354E+01
0.68,2.5000000000000000E+01,2.5973919582937924E+01
0.7,2.5000000000000000E+01,2.5961983089456339E+01
0.72,2.5000000000000000E+01,2.5950070446295797E+01
0.74,2.5000000000000000E+01,2.5938181605801049E+01
0.76,2.5000000000000000E+01,2.5926316520412001E+01
0.78,2.5000000000000000E+01,2.5914475142663491E+01
0.8,2.5000000000000000E+01,2.5902657425185282E+01
0.82,2.5000000000000000E+01,2.5890863320701783E+01
0.84,2.5000000000000000E+01,2.5879092782031819E+01
0.86,2.5000000000000000E+01,2.5867345762088576E+01
0.88,2.5000000000000000E+01,2.5855622213879030E+01
0.9,2.5000000000000000E+01,2.5843922090504350E+01
0.92,2.5000000000000000E+01,2.5832245345159549E+01
0.94,2.5000000000000000E+01,2.5820591931132810E+01
0.96,2.5000000000000000E+01,2.5808961801805822E+01
0.98,2.5000000000000000E+01,2.5797354910653326E+01
1,2.5000000000000000E+01,2.5785771211243343E+01
1.021,2.5000000000000000E+01,2.5773633236272701E+01
1.041,2.5000000000000000E+01,2.5762096935167051E+01
1.061,2.5000000000000000E+01,2.5750583684757714E+01
1.081,2.5000000000000000E+01,2.5739093438987027E+01
1.101,2.5000000000000000E+01,2.5727626151889410E+01
1.121,2.5000000000000000E+01,2.5716181777591089E+01
1.141,2.5000000000000000E+01,2.5704760270310146E+01
1.161,2.5000000000000000E+01,2.5693361584355671E+01
1.181,2.5000000000000000E+01,2.5681985674128498E+01
1.201,2.5000000000000000E+01,2.5670632494120468E+01
1.221,2.5000000000000000E+01,2.5659301998914202E+01
1.241,2.5000000000000000E+01,2.5647994143183382E+01
1.261,2.5000000000000000E+01,2.5636708881691789E+01
1.281,2.5000000000000000E+01,2.5625446169293809E+01
1.301,2.5000000000000000E+01,2.5614205960934385E+01
1.321,2.5000000000000000E+01,2.5602988211648153E+01
1.341,2.5000000000000000E+01,2.5591792876559282E+01
1.361,2.5000000000000000E+01,2.5580619910882035E+01
1.381,2.5000000000000000E+01,2.5569469269920262E+01
1.401,2.5000000000000000E+01,2.5558340909066885E+01
1.421,2.5000000000000000E+01,2.5547234783803788E+01
1.441,2.5000000000000000E+01,2.5536150849702210E+01
1.461,2.5000000000000000E+01,2.5525089062421841E+01
1.481,2.5000000000000000E+01,2.5514049377711103E+01
1.501,2.5000000000000000E+01,2.5503031751406979E+01
1.521,2.5000000000000000E+01,2.5492036139434390E+01
1.541,2.5000000000000000E+01,2.5481062497806590E+01
1.561,2.5000000000000000E+01,2.5470110782624545E+01
1.581,2.5000000000000000E+01,2.5459180950077041E+01
1.601,2.5000000000000000E+01,2.5448272956440178E+01
1.621,2.5000000000000000E+01,2.5437386758077935E+01
1.641,2.5000000000000000E+01,2.5426522311440920E+01
1.661,2.5000000000000000E+01,2.5415679573067052E+01
1.681,2.5000000000000000E+01,2.5404858499581053E+01
1.701,2.5000000000000000E+01,2.5394059047694043E+01
1.721,2.5000000000000000E+01,2.5383281174204114E+01
1.741,2.5000000000000000E+01,2.5372524835995421E+01
1.761,2.5000000000000000E+01,2.5361789990038233E+01
1.781,2.5000000000000000E+01,2.5351076593388996E+01
1.801,2.5000000000000000E+01,2.5340384603189705E+01
1.821,2.5000000000000000E+01,2.5329713976668188E+01
1.841,2.5000000000000000E+01,2.5319064671137653E+01
1.861,2.5000000000000000E+01,2.5308436643996401E+01
1.881,2.5000000000000000E+01,2.5297829852728171E+01
1.901,2.5000000000000000E+01,2.5287244254901566E+01
1.921,2.5000000000000000E+01,2.5276679808170059E+01
1.941,2.5000000000000000E+01,2.5266136470271533E+01
1.961,2.5000000000000000E+01,2.5255614199028400E+01
1.981,2.5000000000000000E+01,2.5245112952347313E+01
2.001,2.5004166666666215E+01,2.5234632688219051E+01
2.021,2.5087499999999537E+01,2.5224173364718467E+01
2.041,2.5170833333332862E+01,2.5213734940003860E+01
2.061,2.5254166666666187E+01,2.5203317372317656E+01
2.081,2.5337499999999508E+01,2.5192920619985159E+01
2.101,2.5420833333332833E+01,2.5182544641415348E+01
2.121,2.5504166666666158E+01,2.5172189395100077E+01
2.141,2.5587499999999480E+01,2.5161854839613966E+01
2.161,2.5670833333332808E+01,2.5151540933614967E+01
2.181,2.5754166666666130E+01,2.5141247635843285E+01
2.201,2.5837499999999455E+01,2.5130974905121491E+01
2.221,2.5920833333332780E+01,2.5120722700354577E+01
2.241,2.6004166666666102E+01,2.5110490980529676E+01
2.261,2.6087499999999427E+01,2.5100279704715661E+01
2.281,2.6170833333332752E+01,2.5256575135651246E+01
2.301,2.6254166666666073E+01,2.5441779799401445E+01
2.321,2.6337499999999402E+01,2.5626475463171516E+01
2.341,2.6420833333332723E+01,2.5810663722114100E+01
2.361,2.6504166666666048E+01,2.5994346164967340E+01
2.381,2.6587499999999373E+01,2.6177524374092741E+01
2.401,2.6670833333332695E+01,2.6360199925511438E+01
2.421,2.6754166666666020E+01,2.6542374388939550E+01
2.441,2.6837499999999345E+01,2.6724049327825242E+01
2.461,2.6920833333332666E+01,2.6905226299383173E+01
2.481,2.7004166666665995E+01,2.7085906854630650E+01
2.501,2.7087499999999316E+01,2.7266092538422299E+01
2.521,2.7170833333332642E+01,2.7445784889484742E+01
2.541,2.7254166666665967E+01,2.7624985440451155E+01
2.561,2.7337499999999288E+01,2.7803695717895494E+01
2.581,2.7420833333332613E+01,2.7981917242366308E+01
2.601,2.7504166666665938E+01,2.8159651528420738E+01
2.621,2.7587499999999260E+01,2.8336900084657032E+01
2.641,2.7670833333332588E+01,2.8513664413748813E+01
2.661,2.7754166666665910E+01,2.8689946012476980E+01
2.681,2.7837499999999235E+01,2.8807770194022453E+01
2.701,2.7920833333332560E+01,2.8790171380427864E+01
2.721,2.8004166666665881E+01,2.8772607731042569E+01
2.741,2.8087499999999206E+01,2.8755079175604976E+01
2.761,2.8170833333332531E+01,2.8737585643993725E+01
2.781,2.8254166666665853E+01,2.8720127066227860E+01
2.801,2.8337499999999181E+01,2.8702703372466090E+01
2.821,2.8420833333332503E+01,2.8685314493006558E+01
2.841,2.8504166666665828E+01,2.8667960358286678E+01
2.861,2.8587499999999153E+01,2.8650640898883012E+01
2.881,2.8670833333332475E+01,2.8633356045510709E+01
2.901,2.8754166666665800E+01,2.8616105729023559E+01
2.921,2.8837499999999125E+01,2.8598889880413367E+01
2.941,2.8920833333332446E+01,2.8581708430809783E+01
2.961,2.9004166666665775E+01,2.8564561311480134E+01
2.981,2.9087499999999096E+01,2.8547448453828792E+01
3.001,2.9170833333332421E+01,2.8530369789397810E+01
3.021,2.9254166666665746E+01,2.8513325249865545E+01
3.041,2.9337499999999068E+01,2.8496314767047068E+01
3.061,2.9420833333332393E+01,2.8479338272893415E+01
3.081,2.9504166666665718E+01,2.8539787790638115E+01
3.101,2.9587499999999039E+01,2.8715998063057100E+01
3.121,2.9670833333332368E+01,2.8891727316222159E+01
3.141,2.9754166666665689E+01,2.9066977034367142E+01
3.161,2.9837499999999014E+01,2.9241748695935598E+01
3.181,2.9920833333332340E+01,2.9416043773612046E+01
3.201,3.0004166666665661E+01,2.9589863734353855E+01
3.221,3.0087499999998986E+01,2.9763210039422461E+01
3.241,3.0170833333332311E+01,2.9936084144414451E+01
3.261,3.0254166666665633E+01,3.0108487499292494E+01
3.281,3.0337499999998961E+01,3.0280421548415688E+01
3.301,3.0420833333332283E+01,3.0451887730570036E+01
3.321,3.0504166666665608E+01,3.0622887478998450E+01
3.341,3.0587499999998933E+01,3.0793422221431001E+01
3.361,3.0670833333332254E+01,3.0963493380114471E+01
3.381,3.0754166666665579E+01,3.1133102371841176E+01
3.401,3.0837499999998904E+01,3.1302250607979374E+01
3.421,3.0920833333332226E+01,3.1470939494500954E+01
3.441,3.1004166666665554E+01,3.1639170432011383E+01
3.461,3.1087499999998876E+01,3.1806944815777058E+01
3.481,3.1170833333332201E+01,3.1974264035755141E+01
3.501,3.1254166666665526E+01,3.2141129476619994E+01
3.521,3.1337499999998847E+01,3.2307542517792740E+01
3.541,3.1420833333332173E+01,3.2359140758061301E+01
3.561,3.1504166666665498E+01,3.2334445946923722E+01
3.581,3.1587499999998819E+01,3.2309800478516195E+01
3.601,3.1670833333332148E+01,3.2285204254246992E+01
3.621,3.1754166666665469E+01,3.2260657175721292E+01
3.641,3.1837499999998794E+01,3.2236159144740839E+01
3.661,3.1920833333332119E+01,3.2211710063304054E+01
3.681,3.2004166666665441E+01,3.2187309833604388E+01
3.701,3.2087499999998769E+01,3.2162958358031290E+01
3.721,3.2170833333332091E+01,3.2138655539169179E+01
3.741,3.2254166666665412E+01,3.2114401279796766E+01
3.761,3.2337499999998741E+01,3.2090195482887509E+01
3.781,3.2420833333332062E+01,3.2066038051608530E+01
3.801,3.2504166666665384E+01,3.2041928889320332E+01
3.821,3.2587499999998712E+01,3.2017867899576572E+01
3.841,3.2670833333332034E+01,3.1993854986123722E+01
3.861,3.2754166666665355E+01,3.1969890052900269E+01
3.881,3.2837499999998684E+01,3.1945973004036887E+01
3.901,3.2920833333332013E+01,3.1922103743856098E+01
3.921,3.3004166666665327E+01,3.2079581913612287E+01
3.941,3.3087499999998656E+01,3.2246161803092207E+01
3.961,3.3170833333331984E+01,3.2412290160381133E+01
3.981,3.3254166666665306E+01,3.2577968356391182E+01
4.001,3.3337499999998627E+01,3.2743197756852055E+01
4.021,3.3420833333331991E+01,3.2907979722339917E+01
4.041,3.3504166666665355E+01,3.3072315608302915E+01
4.061,3.3587499999998712E+01,3.3236206765088866E+01
4.081,3.3670833333332077E+01,3.3399654537971571E+01
4.101,3.3754166666665441E+01,3.3562660267177080E+01
4.121,3.3837499999998798E+01,3.3725225287910121E+01
4.141,3.3920833333332155E+01,3.3887350930379853E+01
4.161,3.4004166666665519E+01,3.4049038519825501E+01
4.181,3.4087499999998883E+01,3.4210289376542903E+01
4.201,3.4170833333332240E+01,3.4371104815908552E+01
4.221,3.4254166666665604E+01,3.4531486148406145E+01
4.241,3.4337499999998968E+01,3.4691434679650968E+01
4.261,3.4420833333332325E+01,3.4850951710414677E+01
4.281,3.4504166666665682E+01,3.5010038536650427E+01
4.301,3.4587499999999054E+01,3.5168696449517199E+01
4.321,3.4670833333332411E+01,3.5326926735404356E+01
4.341,3.4754166666665768E+01,3.5484730675955007E+01
4.361,3.4837499999999132E+01,3.5642109548091184E+01
4.381,3.4920833333332496E+01,3.5799064624037214E+01
4.401,3.5004166666665853E+01,3.5955597171342845E+01
4.421,3.5087499999999217E+01,3.6055282684902750E+01
4.441,3.5170833333332581E+01,3.6023202608398151E+01
4.461,3.5254166666665938E+01,3.5991186631130631E+01
4.481,3.5337499999999295E+01,3.5959234625023612E+01
4.501,3.5420833333332659E+01,3.5927346462256082E+01
4.521,3.5504166666666023E+01,3.5895522015262713E+01
4.541,3.5587499999999380E+01,3.5863761156733062E+01
4.561,3.5670833333332745E+01,3.5832063759610492E+01
4.581,3.5754166666666109E+01,3.5800429697093080E+01
4.601,3.5837499999999466E+01,3.5768858842631801E+01
4.621,3.5920833333332823E+01,3.5737351069930639E+01
4.641,3.6004166666666187E+01,3.5705906252945738E+01
