"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0.0048002,5.3078266038431514E+002,1.1388997194394115E+003,-1.1384640626364562E+003,-4.3565680295528469E-001,5.3705895232477837E+002,-5.0700856856563178E+001,-4.8635809546821514E+002,7.9492554236968199E+003
0.0050002,5.3885284096315479E+002,1.0678356897718018E+003,-1.0673457869815629E+003,-4.8990279023890393E-001,5.4498693460013260E+002,-2.7541827229464161E+001,-5.1744510737066844E+002,7.3979153814352376E+003
0.0052002,5.4569757885523074E+002,9.5495835342423925E+002,-9.5441613806921453E+002,-5.4221535502475138E-001,5.5160585204329323E+002,-4.6949774018645485E+000,-5.4691087464142879E+002,6.5352406989366655E+003
0.0054002,5.5078714660809021E+002,8.0844940969378661E+002,-7.9044728112182861E+002,-1.8002128571957989E+001,5.5638493212682715E+002,-7.7244438010552585E-001,-5.5561248774672163E+002,5.4259145701441512E+003
0.0056002,5.5380436726517962E+002,6.4448770837553968E+002,-5.5991742554997359E+002,-8.4570282825566110E+001,5.5900765558708235E+002,-4.7534666737772113E-001,-5.5853230891970452E+002,4.2373887350681907E+003
0.0058002,5.5452484638244835E+002,4.6408876515183647E+002,-2.6359055286613682E+002,-2.0049821228569962E+002,5.5925140792421212E+002,-6.3092277488294712E-002,-5.5918831564672382E+002,3.1072285531715361E+003
0.0060002,5.5281852681541443E+002,3.1701055934537055E+002,-2.0370479618874252E-001,-3.1680685454918182E+002,3.8057811492644362E+002,1.7687311503310855E+002,-5.5745122995955217E+002,2.2554736589254471E+003
0.0062002,5.5034753956658756E+002,3.1771742230462183E+002,-1.4312531866977951E-001,-3.1757429698595206E+002,3.4905359187578586E+002,2.0592813008083078E+002,-5.5498172195661664E+002,2.2420277343421599E+003
0.0064002,5.4797525901678284E+002,3.3110802197816656E+002,-8.1980990905766438E-002,-3.3102604098726079E+002,3.1730868067743808E+002,2.3532760779076267E+002,-5.5263628846820075E+002,2.2997199689870172E+003
0.0066002,5.4584429252283826E+002,3.5316055967527302E+002,-2.0513121624202057E-002,-3.5314004655364880E+002,2.8553131743629257E+002,2.6501817529898938E+002,-5.5054949273528200E+002,2.4092865614090238E+003
0.0068002,5.4404218052416263E+002,3.7965525213624591E+002,4.1035703576859220E-002,-3.7969628783982279E+002,2.5388234530450063E+002,2.9491808991702231E+002,-5.4880043522152300E+002,2.5499794080801939E+003
0.0070002,5.4259947946741045E+002,4.0628304810442933E+002,1.0242257960333313E-001,-4.0638547068403267E+002,2.2249418597492757E+002,3.2491686800073785E+002,-5.4741105397566548E+002,2.6989990076027952E+003
0.0072002,5.4148930798853655E+002,4.2875597836112740E+002,1.6340524050053915E-001,-4.2891938360162794E+002,1.9147024380484177E+002,3.5487564771045800E+002,-5.4634589151529974E+002,2.8316931314894878E+003
0.0074002,5.4062836138752493E+002,4.4291663242095490E+002,2.2374301556624510E-001,-4.4314037543652114E+002,1.6088504447232791E+002,3.8462828378136487E+002,-5.4551332825369275E+002,2.9225485704712605E+003
0.0076002,5.3987936613110287E+002,4.4484428294454267E+002,2.8319777916797434E-001,-4.4512748072371062E+002,1.3078509344084273E+002,4.1398315580631305E+002,-5.4476824924715584E+002,2.9468982277971509E+003
0.0078002,5.3905491355956360E+002,4.3095526181312806E+002,3.4153489051608960E-001,-4.3129679670364413E+002,1.0119042329822480E+002,4.4272565534886343E+002,-5.4391607864708817E+002,2.8831688353047093E+003
0.0080002,5.3792258087663970E+002,3.9809532770474863E+002,3.9852411968402074E-001,-3.9849385182443262E+002,7.2096783603880368E+001,4.7062130181162229E+002,-5.4271808541550263E+002,2.7154156971368698E+003
0.0082002,5.3621121855318506E+002,3.4362195072603072E+002,4.5394055621991725E-001,-3.4407589128225061E+002,4.3478412563060004E+001,4.9741942272307949E+002,-5.4089783528613953E+002,2.4358384178328693E+003
0.0084002,5.3361825711290612E+002,2.6547467090449726E+002,5.0756549676611751E-001,-2.6598223640126338E+002,1.5291316961104911E+001,5.2285732129221162E+002,-5.3814863825331645E+002,2.0469512753631182E+003
0.0086002,5.2982447368265900E+002,1.5899940443307923E+002,7.0217767729371490E+000,-1.6602118120601639E+002,1.5197747568265640E-001,5.3399644881971540E+002,-5.3414842629539817E+002,1.5622965094134606E+003
0.0088002,5.2468036698663491E+002,5.6937817812270453E-001,6.5520401165937315E+001,-6.6089779344060020E+001,-6.4950958036888551E-002,5.2881091967585826E+002,-5.2874596871782137E+002,1.1020353986334562E+003
0.0090002,5.1890995078119545E+002,3.0276742552415215E-001,7.6051350681674478E+001,-7.6354118107198630E+001,-1.1014679099372415E+002,5.2306131027872334E+002,-4.1291451928499913E+002,1.0375020722811039E+003
0.0092002,5.1346689534414509E+002,2.4365912459455785E-001,1.1409061947785428E+002,-1.1433427860244883E+002,-1.3701745841380307E+002,5.1769428508104500E+002,-3.8067682666724193E+002,1.1737967053019945E+003
0.0094002,5.0869010261015967E+002,1.8358921241744497E-001,1.7524910793119361E+002,-1.7543269714361105E+002,-1.6472518133944970E+002,5.1303975868537327E+002,-3.4831457734592351E+002,1.4286518164948034E+003
0.0096002,5.0485472098045915E+002,1.2279475749286917E-001,2.5447839898374670E+002,-2.5460119374123957E+002,-1.9328395103408843E+002,5.0936278235568079E+002,-3.1607883132159236E+002,1.7944919475200686E+003
0.0098002,5.0216558833351547E+002,6.1515687760049786E-002,3.4630302682327579E+002,-3.4636454251103584E+002,-2.2267074680217129E+002,5.0685724288001859E+002,-2.8418649607784727E+002,2.2595522499851354E+003
0.01,5.0075319719753332E+002,5.5406041724381794E-005,4.4485749571568704E+002,-4.4485755112172876E+002,-2.5279324787607067E+002,5.0564190184927168E+002,-2.5284865397320104E+002,2.8041094913761590E+003
0.0102,5.0066644517188286E+002,-6.1466535092904451E-002,5.4443194109246190E+002,-5.4437047455736899E+002,-2.8361041686311421E+002,5.0575423716685037E+002,-2.2214382030373616E+002,3.4009036866140027E+003
0.0104,5.0188021269435558E+002,-1.2274589589480911E-001,6.3901726028532255E+002,-6.3889451438942774E+002,-3.1495156503614419E+002,5.0715711143170620E+002,-1.9220554639556195E+002,4.0115965409221071E+003
0.0106,5.0428928220223042E+002,-1.8354083472286220E-001,7.2284528086843068E+002,-7.2266174003370782E+002,-3.4663739473179623E+002,5.0973377120007910E+002,-1.6309637646828287E+002,4.5903819694651547E+003
0.0108,5.0771328761733287E+002,-2.4361142172813288E-001,7.9043435838133826E+002,-7.9019074695961012E+002,-3.7845227652790476E+002,5.1329288771649851E+002,-1.3484061118859375E+002,5.0865660824913912E+003
0.011,5.1190144483955856E+002,-3.0272058574735183E-001,8.3672425512444033E+002,-8.3642153453869298E+002,-4.1014722281092725E+002,5.1757355715421977E+002,-1.0742633434329244E+002,5.4489666267845150E+003
0.0112,5.1653901737676802E+002,-3.6063504991443551E-001,8.5720106523190157E+002,-8.5684043018198713E+002,-4.4144371331513662E+002,5.2225201608114844E+002,-8.0808302766011820E+001,5.6311696838374919E+003
0.0114,5.2125536546977185E+002,-4.1712625229797595E-001,8.4800939655439140E+002,-8.4759227030209343E+002,-4.7203829217757954E+002,5.2694991493134796E+002,-5.4911622753768427E+001,5.5970772262360624E+003
0.0116,5.2563339176675277E+002,-4.7197124793058265E-001,8.0604931228424050E+002,-8.0557734103630992E+002,-5.0160783872204132E+002,5.3124395754272405E+002,-2.9636118820682668E+001,5.3261224702656491E+003
0.0118,5.2922016556830761E+002,-5.2495358867076902E-001,7.2905588219369940E+002,-7.2853092860502863E+002,-5.2981539905304453E+002,5.3467668448225641E+002,-4.8612854292118755E+000,4.8175359327933202E+003
0.012,5.3157287460651764E+002,-1.9176575584273110E+001,6.2494805983799222E+002,-6.0577148425371911E+002,-5.3621592745313797E+002,5.3680252177521288E+002,-5.8659432207502959E-001,4.1085711377804364E+003
