"time","I@variable_resistance","U@resistance","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
6.2e-005,-3.0504774760614614E-006,7.1369201053526918E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.22e-005,-3.0320778682692865E-006,7.1753435493000248E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.24e-005,-2.9582384135251484E-006,7.0766911824516603E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.26e-005,-2.8369438682974456E-006,6.8373690384781698E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.28e-005,-2.6775600620457789E-006,6.4583152304370204E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.3e-005,-2.4903782677411894E-006,5.9450379806486398E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.32e-005,-2.2861360830300563E-006,5.3074688732445665E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.34e-005,-2.0755359023419644E-006,4.5596392058596242E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.36e-005,-1.8687816488837414E-006,3.7191946745752480E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.38e-005,-1.6751531284092739E-006,2.8067701996961856E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.4e-005,-1.5026352683255989E-006,1.8452522272283063E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.42e-005,-1.3576167068776779E-006,8.5896005796411135E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.44e-005,-1.2446688842672839E-006,-1.2721927306787745E-001,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.46e-005,-1.1664128641140710E-006,-1.0887069616813572E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.48e-005,-1.1234780718841763E-006,-2.0020831684467151E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.5e-005,-1.1153808616068168E-006,-2.8458798296891121E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
