"time","TRes"
0.196,2.9508379954591845E+002
0.198,2.9510326221759749E+002
0.2,2.9512271949326953E+002
0.202,2.9514217137465823E+002
0.204,2.9516161786348664E+002
0.206,2.9518105896147694E+002
0.208,2.9520049467035068E+002
0.21,2.9521992499182863E+002
0.212,2.9523934992763094E+002
0.214,2.9525876947947694E+002
0.216,2.9527818364908535E+002
0.218,2.9529759243817404E+002
0.22,2.9531699584846029E+002
0.222,2.9533639388166063E+002
0.224,2.9535578653949079E+002
0.226,2.9537517382366593E+002
0.228,2.9539455573590038E+002
0.23,2.9541393227790780E+002
0.232,2.9543330345140112E+002
0.234,2.9545266925809261E+002
0.236,2.9547202969969379E+002
0.238,2.9549138477791541E+002
0.24,2.9551073449446761E+002
0.242,2.9553007885105978E+002
0.244,2.9554941784940064E+002
0.246,2.9556875149119810E+002
0.248,2.9558807977815945E+002
0.25,2.9560740271199120E+002
0.252,2.9562672029439921E+002
0.254,2.9564603252708861E+002
0.256,2.9566533941176385E+002
0.258,2.9568464095012865E+002
0.26,2.9570393714388598E+002
0.262,2.9572322799473818E+002
0.264,2.9574251350438681E+002
0.266,2.9576179367453278E+002
0.268,2.9578106850687630E+002
0.27,2.9580033800311679E+002
0.272,2.9581960216495310E+002
0.274,2.9583886099408329E+002
0.276,2.9585811449220472E+002
0.278,2.9587736266101405E+002
0.28,2.9589660550220725E+002
0.282,2.9591584301747957E+002
0.284,2.9593507520852557E+002
0.286,2.9595430207703913E+002
0.288,2.9597352362471344E+002
0.29,2.9599273985324089E+002
0.292,2.9601195076431327E+002
0.294,2.9603115635962166E+002
0.296,2.9605035664085636E+002
0.298,2.9606955160970710E+002
0.3,2.9608874126786282E+002
0.302,2.9610792561701174E+002
0.304,2.9612710465884146E+002
0.306,2.9614627839503885E+002
0.308,2.9616544682729005E+002
0.31,2.9618460995728060E+002
0.312,2.9620376778669521E+002
0.314,2.9622292031721804E+002
0.316,2.9624206755053240E+002
0.318,2.9626120948832101E+002
0.32,2.9628034613226589E+002
0.322,2.9629947748404834E+002
0.324,2.9631860354534899E+002
0.326,2.9633772431784774E+002
0.328,2.9635683980322381E+002
0.33,2.9637595000315571E+002
0.332,2.9639505491932130E+002
0.334,2.9641415455339774E+002
0.336,2.9643324890706151E+002
0.338,2.9645233798198836E+002
0.34,2.9647142177985336E+002
0.342,2.9649050030233093E+002
0.344,2.9650957355109472E+002
0.346,2.9652864152781780E+002
0.348,2.9654770423417244E+002
0.35,2.9656676167183031E+002
0.352,2.9658581384246236E+002
0.354,2.9660486074773883E+002
0.356,2.9662390238932926E+002
0.358,2.9664293876890258E+002
0.36,2.9666196988812698E+002
0.362,2.9668099574867000E+002
0.364,2.9670001635219842E+002
0.366,2.9671903170037842E+002
0.368,2.9673804179487547E+002
0.37,2.9675704663735428E+002
0.372,2.9677604622947899E+002
0.374,2.9679504057291302E+002
0.376,2.9681402966931910E+002
0.378,2.9683301352035920E+002
0.38,2.9685199212769476E+002
0.382,2.9687096549298644E+002
0.384,2.9688993361789420E+002
0.386,2.9690889650407740E+002
0.388,2.9692785415319469E+002
0.39,2.9694680656690394E+002
0.392,2.9696575374686250E+002
0.394,2.9698469569472695E+002
0.396,2.9700363241215319E+002
0.398,2.9702256390079651E+002
0.4,2.9704149016231145E+002
0.402,2.9706041119835186E+002
0.404,2.9707932701057098E+002
0.406,2.9709823760062136E+002
0.408,2.9711714297015482E+002
0.41,2.9713604312082254E+002
0.412,2.9715493805427502E+002
0.412,2.9715493805427502E+002
0.414,2.9717382777216210E+002
0.416,2.9719271227613291E+002
0.418,2.9721159156783597E+002
0.42,2.9723046564891905E+002
0.422,2.9724933452102925E+002
0.424,2.9726819818581311E+002
0.426,2.9728705664491633E+002
0.428,2.9730590989998404E+002
0.43,2.9732475795266072E+002
0.432,2.9734360080459010E+002
0.434,2.9736243845741529E+002
0.436,2.9738127091277875E+002
0.438,2.9740009817232215E+002
0.44,2.9741892023768662E+002
0.442,2.9743773711051261E+002
0.444,2.9745654879243983E+002
0.446,2.9747535528510736E+002
0.448,2.9749415659015358E+002
0.45,2.9751295270921628E+002
0.452,2.9753174364393249E+002
0.454,2.9755052939593861E+002
0.456,2.9756930996687038E+002
0.458,2.9758808535836289E+002
0.46,2.9760685557205056E+002
0.462,2.9762562060956708E+002
0.464,2.9764438047254555E+002
0.466,2.9766313516261840E+002
0.468,2.9768188468141739E+002
0.47,2.9770062903057351E+002
0.472,2.9771936821171727E+002
0.474,2.9773810222647836E+002
0.476,2.9775683107648587E+002
0.478,2.9777555476336823E+002
0.48,2.9779427328875323E+002
0.482,2.9781298665426795E+002
0.484,2.9783169486153884E+002
0.486,2.9785039791219168E+002
0.488,2.9786909580785158E+002
0.49,2.9788778855014300E+002
0.492,2.9790647614068973E+002
0.494,2.9792515858111494E+002
0.496,2.9794383587304105E+002
0.498,2.9796250801808992E+002
0.5,2.9798117501788272E+002
0.502,2.9799983687403994E+002
0.504,2.9801849358818140E+002
0.506,2.9803714516192633E+002
0.508,2.9805579159689324E+002
0.51,2.9807443289470001E+002
0.512,2.9809306905696383E+002
0.514,2.9811170008530132E+002
0.516,2.9813032598132833E+002
0.518,2.9814894674666016E+002
0.52,2.9816756238291134E+002
0.522,2.9818617289169589E+002
0.524,2.9820477827462707E+002
0.526,2.9822337853331749E+002
0.528,2.9824197366937915E+002
0.53,2.9826056368442340E+002
0.532,2.9827914858006091E+002
0.534,2.9829772835790163E+002
0.536,2.9831630301955505E+002
0.538,2.9833487256662983E+002
0.54,2.9835343700073400E+002
0.542,2.9837199632347506E+002
0.544,2.9839055053645973E+002
0.546,2.9840909964129418E+002
0.548,2.9842764363958383E+002
0.55,2.9844618253293351E+002
0.552,2.9846471632294742E+002
0.554,2.9848324501122909E+002
0.556,2.9850176859938136E+002
0.558,2.9852028708900650E+002
0.56,2.9853880048170606E+002
0.562,2.9855730877908098E+002
0.564,2.9857581198273158E+002
0.566,2.9859431009425742E+002
0.568,2.9861280311525758E+002
0.57,2.9863129104733042E+002
0.572,2.9864977389207360E+002
0.574,2.9866825165108418E+002
0.576,2.9868672432595861E+002
0.578,2.9870519191829266E+002
0.58,2.9872365442968146E+002
0.582,2.9874211186171948E+002
0.584,2.9876056421600060E+002
0.586,2.9877901149411798E+002
0.588,2.9879745369766425E+002
0.59,2.9881589082823126E+002
0.592,2.9883432288741034E+002
0.594,2.9885274987679207E+002
0.596,2.9887117179796650E+002
0.598,2.9888958865252295E+002
0.6,2.9890800044205020E+002
0.602,2.9892640716813628E+002
0.604,2.9894480883236861E+002
0.606,2.9896320543633402E+002
0.608,2.9898159698161868E+002
0.61,2.9899998346980811E+002
0.612,2.9901836490248718E+002
0.614,2.9903674128124015E+002
0.616,2.9905511260765064E+002
0.618,2.9907347888330162E+002
0.62,2.9909184010977543E+002
0.622,2.9911019628865375E+002
0.624,2.9912854742151768E+002
0.626,2.9914689350994769E+002
0.628,2.9916523455552351E+002
0.628,2.9916523455552351E+002
0.63,2.9916403150881706E+002
0.632,2.9916282870271999E+002
0.634,2.9916162613718410E+002
0.636,2.9916042381216135E+002
0.638,2.9915922172760361E+002
0.64,2.9915801988346277E+002
0.642,2.9915681827969075E+002
0.644,2.9915561691623947E+002
0.646,2.9915441579306088E+002
0.648,2.9915321491010695E+002
0.65,2.9915201426732960E+002
0.652,2.9915081386468080E+002
0.654,2.9914961370211250E+002
0.654,2.9914961370211250E+002
0.656,2.9914841377957674E+002
0.658,2.9914721409702548E+002
0.66,2.9914601465441075E+002
0.662,2.9914481545168451E+002
0.664,2.9914361648879884E+002
0.666,2.9914241776570572E+002
0.668,2.9914121928235721E+002
0.67,2.9914002103870541E+002
0.672,2.9913882303470234E+002
0.674,2.9913762527030008E+002
0.676,2.9913642774545065E+002
0.678,2.9913523046010619E+002
0.68,2.9913403341421883E+002
0.682,2.9913283660774061E+002
0.684,2.9913164004062372E+002
0.686,2.9913044371282024E+002
0.688,2.9912924762428230E+002
0.69,2.9912805177496210E+002
0.692,2.9912685616481178E+002
0.694,2.9912566079378348E+002
0.696,2.9912446566182939E+002
0.698,2.9912327076890165E+002
