"time","J1_w","J2_w","J3_w","J4_w"
0.252,7.8546249622259889E+000,2.4786538091920320E+000,2.2058644272025911E-032,2.1543452357657751E-032
0.253,7.8550999840218738E+000,2.4881590546804295E+000,1.6052795140508465E-032,1.5556217643043925E-032
0.254,7.8555542694196649E+000,2.4976603889286690E+000,1.6052795140475018E-032,1.5556217643077373E-032
0.255,7.8559780084286324E+000,2.5071577969328467E+000,1.6052795140475018E-032,1.5556217643077373E-032
0.256,7.8563614250721709E+000,2.5166512636952589E+000,1.6052795140475018E-032,1.5556217643077373E-032
0.257,7.8566947870502908E+000,2.5261407742244262E+000,1.6052795140475018E-032,1.5556217643077373E-032
0.258,7.8569684153589883E+000,2.5356263135351158E+000,1.6052795140475018E-032,1.5556217643077373E-032
0.259,7.8571726938570237E+000,2.5451078666483666E+000,1.6052795140475018E-032,1.5556217643077373E-032
0.26,7.8572980787706488E+000,2.5545854185915120E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.261,7.8573351081269083E+000,2.5640589543982033E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.262,7.8572744111062178E+000,2.5735284591084349E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.263,7.8571067173049691E+000,2.5829939177685661E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.264,7.8568228658990291E+000,2.5924553154313461E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.265,7.8564138146990992E+000,2.6019126371559360E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.266,7.8558706490889847E+000,2.6113658680079341E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.267,7.8551845908379594E+000,2.6208149930593989E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.268,7.8543470067785259E+000,2.6302599973888716E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.269,7.8533494173410165E+000,2.6397008660814016E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.27,7.8521835049365958E+000,2.6491375842285683E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.271,7.8508411221804071E+000,2.6585701369285055E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.272,7.8493142999467445E+000,2.6679985092859253E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.273,7.8475952552482866E+000,2.6774226864121409E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.274,7.8456763989316425E+000,2.6868426534250900E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.275,7.8435503431815867E+000,2.6962583954493593E+000,2.2328013127949713E-032,2.1867104884845473E-032
0.276,7.8412099088266052E+000,2.7056698976162066E+000,-2.8205180104064275E-032,-2.8632319000943413E-032
0.277,7.8386481324385135E+000,2.7150771450635851E+000,-2.8205180104064275E-032,-2.8632319000943413E-032
0.278,7.8358582732191682E+000,2.7244801229361673E+000,-2.8205180104064275E-032,-2.8632319000943413E-032
0.279,7.8328338196674547E+000,2.7338788163853676E+000,-2.8205180104064275E-032,-2.8632319000943413E-032
0.28,7.8295684960199843E+000,2.7432732105693662E+000,-2.8205180104064275E-032,-2.8632319000943413E-032
0.281,7.8260562684591433E+000,2.7526632906531328E+000,-2.8205180104064275E-032,-2.8632319000943413E-032
0.282,7.8222913510823489E+000,2.7620490418084485E+000,-2.8205180104064275E-032,-2.8632319000943413E-032
0.283,7.8182682116266555E+000,2.7714304492139314E+000,-2.8205180104064275E-032,-2.8632319000943413E-032
0.284,7.8139815769430312E+000,2.7808074980550588E+000,-2.7349192565478253E-032,-2.7843458095722400E-032
0.285,7.8094264382149170E+000,2.7901801735241905E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.286,7.8045980559159096E+000,2.7995484608205929E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.287,7.7994919645016916E+000,2.8089123451504614E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.288,7.7941039768315568E+000,2.8182718117269445E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.289,7.7884301883151803E+000,2.8276268457701668E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.29,7.7824669807805478E+000,2.8369774325072528E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.291,7.7762110260591992E+000,2.8463235571723495E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.292,7.7696592892852907E+000,2.8556652050066509E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.293,7.7628090319051708E+000,2.8650023612584192E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.294,7.7556578143945440E+000,2.8743350111830108E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.295,7.7482034986805157E+000,2.8836631400428976E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.296,7.7404442502661253E+000,2.8929867331076906E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.297,7.7323785400552953E+000,2.9023057756541637E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.298,7.7240051458763679E+000,2.9116202529662765E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.299,7.7153231537027391E+000,2.9209301503351983E+000,-2.7349192565478247E-032,-2.7843458095722400E-032
0.3,7.7063319585693879E+000,2.9302354530593302E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.301,7.6970312651843891E+000,2.9395361464443295E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.302,7.6874210882348057E+000,2.9488322158031313E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.303,7.6775017523866698E+000,2.9581236464559733E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.303,7.6775017523866698E+000,2.9581236464559733E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.304,7.6672738919790397E+000,2.9674104237304184E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.304,7.6672738919790397E+000,2.9674104237304184E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.305,7.6567384504124387E+000,2.9766925329613776E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.305,7.6567384504124387E+000,2.9766925329613776E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.306,7.6458966792322798E+000,2.9859699594911335E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.306,7.6458966792322798E+000,2.9859699594911335E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.307,7.6347501369081918E+000,2.9952426886693631E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.308,7.6233006873104285E+000,3.0045107058531615E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.309,7.6115504978848776E+000,3.0137739964070644E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.31,7.5995020375284774E+000,3.0230325457030718E+000,-2.7167384778728095E-032,-2.7895843390209731E-032
0.311,7.5871580741671290E+000,3.0322863391206702E+000,-2.7736696098706248E-032,-2.7895843390209731E-032
0.312,7.5745216720384896E+000,3.0415353620468575E+000,-3.0623633186130245E-032,-3.1051287011093781E-032
0.313,7.5615961886823362E+000,3.0507795998761633E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.314,7.5483852716414770E+000,3.0600190380106747E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.315,7.5348928548764444E+000,3.0692536618600572E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.316,7.5211231548975270E+000,3.0784834568415795E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.317,7.5070806666179521E+000,3.0877084083801356E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.318,7.4927701589323163E+000,3.0969285019082680E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.319,7.4781966700246043E+000,3.1061437228661903E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.32,7.4633655024104630E+000,3.1153540567018108E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.321,7.4482822177185932E+000,3.1245594888707551E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.322,7.4329526312164287E+000,3.1337600048363892E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.323,7.4173828060854881E+000,3.1429555900698429E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.324,7.4015790474520626E+000,3.1521462300500316E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.325,7.3855478961791263E+000,3.1613319102636805E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.326,7.3692961224255953E+000,3.1705126162053467E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.327,7.3528307189792859E+000,3.1796883333774426E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.328,7.3361588943701657E+000,3.1888590472902578E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.329,7.3192880657706816E+000,3.1980247434619837E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
