"time","valves_mv1","valves_mv2","valves_mv3","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","egsCarSpeed","egsGear","egsTargetGear","tShiftStart"
1.41,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,5.7999999999999996E-001,1.0000000000000000E+000,0.0000000000000000E+000,4.1999999999999998E-001,1.0601000000000001E+001,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
1.48,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.4000000000000000E-001,1.0000000000000000E+000,0.0000000000000000E+000,5.6000000000000005E-001,1.4660000000000000E+001,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
1.55,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.9999999999999999E-001,1.0000000000000000E+000,0.0000000000000000E+000,6.9999999999999996E-001,1.6701000000000001E+001,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
1.62,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000000000000E-001,1.0000000000000000E+000,0.0000000000000000E+000,8.3999999999999997E-001,1.8827000000000002E+001,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
1.68,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.0000000000000001E-002,1.0000000000000000E+000,0.0000000000000000E+000,9.5999999999999996E-001,2.0558000000000000E+001,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
1.75,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.2486000000000001E+001,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
1.82,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.4324999999999999E+001,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
1.88,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.5806000000000001E+001,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
1.95,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.7568000000000001E+001,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.02,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,2.9221000000000000E+001,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
