"time","Resistor_1.R","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0.0267,1,267.6907704,-270.9474953,3.25672486
0.0268,1,262.5859848,-275.6093131,13.02332831
0.0269,1,257.2220586,-279.9991379,22.77707931
0.027,1,251.6042853,-284.1126373,32.50835208
0.0271,1,245.7382088,-287.9457519,42.20754303
0.0272,1,239.6296185,-291.4946987,51.86508023
0.0273,1,233.2845427,-294.7559755,61.47143286
0.0274,1,226.7092431,-297.7263637,71.0171206
0.0275,1,219.9102089,-300.402932,80.49272303
0.0276,1,212.8941499,-302.7830388,89.88888885
0.0277,1,205.6679901,-304.8643353,99.19634519
0.0278,1,198.2388608,-306.6447675,108.4059067
0.0279,1,190.6140937,-308.1225784,117.5084847
0.028,1,182.8012135,-309.2963095,126.495096
0.0281,1,174.8079305,-310.1648024,135.3568719
0.0282,1,166.6421332,-310.7272002,144.0850669
0.0283,1,158.3118803,-310.9829477,152.6710674
0.0284,1,149.8253926,-310.9317926,161.1063999
0.0285,1,141.1910454,-310.5737853,169.3827399
0.0286,1,132.4173597,-309.9092792,177.4919195
0.0287,1,123.512994,-308.9389301,185.4259361
0.0288,1,114.4867359,-307.6636956,193.1769597
0.0289,1,105.3474932,-306.0848341,200.7373409
0.029,1,96.10428525,-304.2039038,208.0996186
0.0291,1,86.76623398,-302.0227611,215.2565271
0.0292,1,77.34255491,-299.5435583,222.2010034
0.0293,1,67.84254807,-296.7687422,228.9261941
0.0294,1,58.27558884,-293.7010511,235.4254623
0.0295,1,48.65111863,-290.3435126,241.692394
0.0296,1,38.97863564,-286.6994401,247.7208045
0.0297,1,29.26768544,-282.7724299,253.5047445
0.0298,1,19.52785157,-278.5663574,259.0385059
0.0299,1,9.768746073,-274.0853736,264.3166275
0.03,1,1.23E-11,-269.3339006,269.3339006
0.0301,1,-9.768746073,-264.3166275,274.0853736
0.0302,1,-19.52785157,-259.0385059,278.5663574
0.0303,1,-29.26768544,-253.5047445,282.7724299
0.0304,1,-38.97863564,-247.7208045,286.6994401
0.0305,1,-48.65111863,-241.692394,290.3435126
