"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0.0034,4.8102193615374387E+002,7.1308248579332690E+002,-7.1306202146564362E+002,-2.0464327683275919E-002,4.8644710919195745E+002,-2.3299138052218711E+002,-2.5345572866977034E+002,4.4498146441436202E+003
0.0036,4.8470617825822444E+002,8.4084471624596688E+002,-8.4076278443361889E+002,-8.1931812348043032E-002,4.9038680666591915E+002,-2.0422745619307284E+002,-2.8615935047284631E+002,5.3697537175599955E+003
0.0038,4.9001598488680827E+002,9.5567308559030732E+002,-9.5553000898769858E+002,-1.4307660260872568E-001,4.9592619803920343E+002,-1.7642472617700912E+002,-3.1950147186219431E+002,6.2612295631092611E+003
0.004,4.9673785653362791E+002,1.0513320630844235E+003,-1.0511284064319700E+003,-2.0365665245348175E-001,5.0283931342597452E+002,-1.4959122865802203E+002,-3.5324808476795249E+002,7.0546760679931276E+003
0.0042,5.0457606212158146E+002,1.1221579278108586E+003,-1.1218944949112504E+003,-2.6343289960814720E-001,5.1081909514914628E+002,-1.2369296605418145E+002,-3.8712612909496482E+002,7.6791877675029473E+003
0.0044002,5.1317208956237243E+002,1.1631676187791568E+003,-1.1628453910979115E+003,-3.2222768124537837E-001,5.1949706590309415E+002,-9.8634531215178413E+001,-4.2086253468791574E+002,8.0695138041269511E+003
0.0046002,5.2208064264205973E+002,1.1699452228335872E+003,-1.1695655313574355E+003,-3.7969147615175081E-001,5.2841909889650913E+002,-7.4363621526830912E+001,-4.5405547736967821E+002,8.1712558456093902E+003
0.0048002,5.3083045421843553E+002,1.1390462619995426E+003,-1.1386106051973729E+003,-4.3565680216976016E-001,5.3710703914813917E+002,-5.0724900661006188E+001,-4.8638213848713292E+002,7.9506361336222499E+003
0.0050002,5.3890287924456686E+002,1.0679135738152902E+003,-1.0674236710484683E+003,-4.8990276682185124E-001,5.4503712854942273E+002,-2.7566935912647295E+001,-5.1747019263677544E+002,7.3986945331989755E+003
0.0052002,5.4574929033491662E+002,9.5495588729504755E+002,-9.5441367195673956E+002,-5.4221533830793034E-001,5.5165755848731953E+002,-4.7208389822965273E+000,-5.4693671950502301E+002,6.5353627154982350E+003
0.0054002,5.5083551782266522E+002,8.0833089990180679E+002,-7.9035741533754640E+002,-1.7973484564260346E+001,5.5643309486929184E+002,-7.7238315838985727E-001,-5.5566071171090198E+002,5.4252659877669475E+003
0.0056002,5.5384581138984936E+002,6.4427197104456229E+002,-5.5976249172038706E+002,-8.4509479324175231E+001,5.5904872895807398E+002,-4.7525253714366045E-001,-5.5857347642093032E+002,4.2362019627222126E+003
0.0058002,5.5456139906885983E+002,4.6379272690170239E+002,-2.6337388363153821E+002,-2.0041884327016422E+002,5.5928744783054617E+002,-6.2954977406434409E-002,-5.5922449285313974E+002,3.1057455566128501E+003
0.0060002,5.5285125890116956E+002,3.1678623820505680E+002,-2.0370519753379995E-001,-3.1658253300752301E+002,3.8059445728820191E+002,1.7688905604940811E+002,-5.5748351333761002E+002,2.2543828085434025E+003
0.0062002,5.5037993967414263E+002,3.1738397761515523E+002,-1.4312573219831487E-001,-3.1724085188295692E+002,3.4906966521707494E+002,2.0594378989317113E+002,-5.5501345511024601E+002,2.2403598585935856E+003
0.0064002,5.4800416168305401E+002,3.3067739535922135E+002,-8.1980992049988266E-002,-3.3059541436717137E+002,3.1732270192759353E+002,2.3534162789669540E+002,-5.5266432982428887E+002,2.2975068797555014E+003
0.0066002,5.4586604169723569E+002,3.5268801235755581E+002,-2.0513123341192433E-002,-3.5266749923421463E+002,2.8554172031339220E+002,2.6502857645909683E+002,-5.5057029677248897E+002,2.4067887487493203E+003
0.0068002,5.4405060369441912E+002,3.7915500293689337E+002,4.1035704153723172E-002,-3.7919603864104710E+002,2.5388605634407466E+002,2.9492180153346101E+002,-5.4880785787753564E+002,2.5472421332192225E+003
0.0070002,5.4259078503182445E+002,4.0578085757478021E+002,1.0242259780927984E-001,-4.0588328017258948E+002,2.2248932747282814E+002,3.2491202770460347E+002,-5.4740135517743158E+002,2.6961509052053116E+003
0.0072002,5.4146342887666765E+002,4.2829251005149899E+002,1.6340528416941219E-001,-4.2845591533566841E+002,1.9145681897250381E+002,3.5486226654703677E+002,-5.4631908551954052E+002,2.8289745208213599E+003
0.0074002,5.4058674237328455E+002,4.4253617169138300E+002,2.2374308704342386E-001,-4.4275991477842643E+002,1.6086381880788824E+002,3.8460712959417538E+002,-5.4547094840206364E+002,2.9202401530260613E+003
0.0076002,5.3982421454923519E+002,4.4458738926612762E+002,2.8319787006415603E-001,-4.4487058713619177E+002,1.3075721536354808E+002,4.1395536862529093E+002,-5.4471258398883901E+002,2.9452644684607812E+003
0.0078002,5.3898905821518315E+002,4.3085556528650568E+002,3.4153497698943042E-001,-4.3119710026349509E+002,1.0115735275879251E+002,4.4269267128285838E+002,-5.4385002404165084E+002,2.8824204220856373E+003
0.0080002,5.3784940540821299E+002,3.9817795363682444E+002,3.9852415736839947E-001,-3.9857647779419284E+002,7.2060259726502466E+001,4.7058481561866085E+002,-5.4264507534516338E+002,2.7156807738556272E+003
0.0082002,5.3613398606609235E+002,3.4391251410554884E+002,4.5394058340023824E-001,-3.4436645468894909E+002,4.3440073369674451E+001,4.9738111071004226E+002,-5.4082118407971666E+002,2.4371931310286095E+003
0.0084002,5.3354077338757565E+002,2.6599258356292825E+002,5.0756557919516954E-001,-2.6650014914212340E+002,1.5253051873537771E+001,5.2281913863377906E+002,-5.3807219050731680E+002,2.0493669679239947E+003
0.0086002,5.2975247590665617E+002,1.5966967207632786E+002,7.0729210319439231E+000,-1.6674259310827179E+002,1.5259659844781481E-001,5.3392522374309692E+002,-5.3407782034154468E+002,1.5654072316694624E+003
