"Time","Losses","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]"
0.0,480.0,565.685424949238,0.0,0.0,0.0,0.0,0.0,0.0
0.00001,799.4332673744509,565.3515261508998,0.002027450702695166,-0.5666962001333226,0.5646687494306274,284.3618254180089,-565.682474781975,281.3206493639661
0.00002,798.8671641066755,565.0176277226876,0.00407950656896805,-0.5677139553391919,0.5636344487702238,285.89673095407994,-565.6742020547078,279.7774711006279
0.000029683448337944342,798.319464371667,564.6942991898164,0.006066567058187977,-0.5686942991900166,0.5626277321318286,287.3804331241023,-565.6610156609225,278.28058253682025
0.000029683448337944342,798.3194643715535,564.6942991898164,0.006066567058187977,-0.5686942991900166,0.5626277321318286,287.38043312400225,-565.6610156608225,278.28058253682025
0.000030000000000000004,798.2854081914286,564.6837295927638,0.006145389370142196,-0.568753993688249,0.5626086043181068,287.41455955171705,-565.6461670256992,278.23160747398225
0.00004,797.7194489087072,564.3498325732073,0.009518186068194434,-0.5724021445607801,0.5628839584925857,288.9340133730089,-565.6168995852045,276.68288621219557
0.00005,797.1705344596382,564.0159371362812,0.01290509878977164,-0.5760731405738836,0.563168041784112,290.4605260202218,-565.591997517392,275.13147149717014
0.00006000000000000001,796.6271372652529,563.6820433370882,0.016286203195951865,-0.5797270486098857,0.5634408454139338,291.9841353115133,-565.5614564205042,273.57732110899093
0.00007000000000000001,796.0892591611911,563.3481511720555,0.019661548336245116,-0.5833640395754882,0.5637024912392431,293.50486577002266,-565.5253372215216,272.02047145149896
0.00008,795.5568286104973,563.0142606564324,0.023031098414118767,-0.586984071328002,0.5639529729138832,295.0226995050663,-565.4836367549485,270.46093724988225
0.00009,795.029777938309,562.6803717880013,0.026394823258552913,-0.5905871139849161,0.5641922907263632,296.5376214299954,-565.4363551639005,268.8987337339051
0.0001,794.50803986791,562.3464845624867,0.02975269363869526,-0.5941731391392346,0.5644204455005394,298.0496169272177,-565.3834928581398,267.33387593092203
0.00011,793.9915473864197,562.012598975245,0.03310468121708221,-0.5977421195399468,0.5646374383228646,299.5586718256524,-565.3250503785437,265.7663785528912
0.00012000000000000002,793.4802334680335,561.6787150205197,0.036450752792011376,-0.6012940232099652,0.5648432704179538,301.06476952153815,-565.2610283345093,264.19625881297117
0.00013000000000000002,792.974031252103,561.3448326922952,0.039790878734017876,-0.6048288217117593,0.5650379429777415,302.56789519710605,-565.191427318968,262.62353212186184
0.00013590536235941116,792.6774741112376,561.1476638404604,0.04176054016552844,-0.606908204006189,0.5651476638406605,303.4541437634928,-565.1477056010589,261.69356183756605
0.00013590536235941116,792.6774741111249,561.1476638404604,0.04176054016552844,-0.606908204006189,0.5651476638406605,303.4541437634928,-565.1477056009588,261.693561837466
0.00014000000000000001,792.3571967523261,561.0109521732153,0.04302438228015526,-0.6100941768684647,0.5670697945883094,304.0177123098649,-565.0109993152353,260.9932870053704
0.00015000000000000001,791.6414264930564,560.6770798883393,0.04609931629723851,-0.6328167327911272,0.5867174164938886,305.38826623237367,-564.6771700682386,259.28890383586497
0.00016,791.0191455319284,560.34322908525,0.0491737913599648,-0.6763850353726946,0.6272112440127298,306.7586222643016,-564.3434039948963,257.58478173059467
0.00017,790.4884921951143,560.0094136753166,0.052247781018168626,-0.7403230421814717,0.6880752611633031,308.1287736601949,-564.0097140544923,255.8809403942974
0.00018,790.0476225047357,559.6756470967571,0.05532125536657495,-0.8241584680803095,0.7688372127137345,309.49871171422654,-563.676112740678,254.1774010264515
0.00019,789.6946993942033,559.3419424206936,0.05839418301609833,-0.9274200955879527,0.8690259125718544,310.868426796185,-563.3426121821471,252.47418538596213
0.0002,789.4278781982722,559.0083124550051,0.061466534704166076,-1.0496341218600653,0.9881675871558993,312.23791020490836,-563.0092242391775,250.7713140342691
0.00021,789.2453122567485,558.6747696931708,0.06453827954672664,-1.1903257356227022,1.1257874560759755,313.607152270287,-562.6759604556323,249.06880818534532
0.00022,789.1451559681501,558.3413262908806,0.06760938881471734,-1.3490199289063578,1.2814105400916405,314.97614423061486,-562.3428320371912,247.36668780657638
0.00023,789.1255622623772,558.0079940807899,0.07067982691316721,-1.5252410881387937,1.4545612612256265,316.3448737291094,-562.0098498652953,245.6649761361859
0.00024000000000000003,789.1846816526136,557.6747845889516,0.0737495717166512,-1.7185124923150954,1.6447629205984442,317.7133349893523,-561.6770245125554,243.96368952320313
0.00025,789.3206608423392,557.3417090261877,0.07681858593839541,-1.9283565368516475,1.8515379509132521,319.08151449575234,-561.3443662346002,242.26285173884784
0.00026000000000000003,789.5316451331223,557.008778284729,0.07988684787216993,-2.1542948775712683,2.0744080296990983,320.44940636295553,-561.0118849669731,240.56247860401754
0.00027,789.8157755264367,556.6760029337787,0.08295430899095546,-2.3958485853928906,2.312894276401935,321.8169911331144,-560.6795903210473,238.86259918793286
0.00028000000000000003,790.1711946693938,556.3433932214169,0.08602097279781473,-2.6525381538882296,2.566517181090415,323.18427520228425,-560.3474915858671,237.16321638358284
0.00029,790.5960339432664,556.01095907757,0.08908674798054861,-2.9238833409373624,2.8347965929568137,324.5512173990773,-560.0155977309471,235.4643803318698
0.00030000000000000003,791.0884365709704,555.678710113744,0.092151717453552,-3.2094033170768275,3.1172515996232755,325.9178635056053,-559.6839174060333,233.76605390042795
0.00031,791.6465131502938,555.34665562041,0.0952156420554977,-3.5086165181315927,3.413400876076095,327.2840981048671,-559.3524589386897,232.0683608338226
