"time","V","X"
0.044,-7.7329302390501509E-002,1.9982238836643618E+000
0.045,-7.8860051731119665E-002,1.9981457887925789E+000
0.046,-8.0381638417889464E-002,1.9980661678951956E+000
0.047,-8.1894114343976185E-002,1.9979850294299499E+000
0.048,-8.3397540098165482E-002,1.9979023832626028E+000
0.049,-8.4891968365817569E-002,1.9978182379643181E+000
0.05,-8.6377456402561864E-002,1.9977326028418216E+000
0.051,-8.7854057684149708E-002,1.9976454865798359E+000
0.052,-8.9321827405435594E-002,1.9975568981347664E+000
0.053,-9.0780822625613031E-002,1.9974668467575354E+000
0.054,-9.2231093887519683E-002,1.9973753406355477E+000
0.055,-9.3672696219571250E-002,1.9972823886757463E+000
0.056,-9.5105685038100934E-002,1.9971879998406501E+000
0.057,-9.6530105572729827E-002,1.9970921814395002E+000
0.058,-9.7946015988261095E-002,1.9969949428651816E+000
0.059,-9.9353469800859989E-002,1.9968962927521483E+000
0.06,-1.0075251751967582E-001,1.9967962392433021E+000
0.061,-1.0214321163009403E-001,1.9966947907938140E+000
0.062,-1.0352560349648998E-001,1.9965919556718246E+000
0.063,-1.0489974555256597E-001,1.9964877423112126E+000
0.064,-1.0626568882297256E-001,1.9963821589128321E+000
0.065,-1.0762348419525837E-001,1.9962752136493385E+000
0.066,-1.0897318228246182E-001,1.9961669146433161E+000
0.067,-1.1031483341890157E-001,1.9960572699666648E+000
0.068,-1.1164848766297661E-001,1.9959462876412142E+000
0.069,-1.1297419479259463E-001,1.9958339756379972E+000
0.07,-1.1429200432987527E-001,1.9957203418818226E+000
0.071,-1.1560196550439795E-001,1.9956053942447263E+000
0.072,-1.1690412727653883E-001,1.9954891405502935E+000
0.073,-1.1819853833427657E-001,1.9953715885731780E+000
0.074,-1.1948524709271673E-001,1.9952527460391121E+000
0.075,-1.2076430171124218E-001,1.9951326206280702E+000
0.076,-1.2203575007020244E-001,1.9950112199701844E+000
0.077,-1.2329963977662686E-001,1.9948885516468668E+000
0.078,-1.2455601818002308E-001,1.9947646231937122E+000
0.079,-1.2580493235946241E-001,1.9946394420982851E+000
0.08,-1.2704642912965838E-001,1.9945130158012887E+000
0.081,-1.2828055504246524E-001,1.9943853516969132E+000
0.082,-1.2950735638587318E-001,1.9942564571327401E+000
0.083,-1.3072687918679429E-001,1.9941263394103199E+000
0.084,-1.3193916921129298E-001,1.9939950057852893E+000
0.085,-1.3314427196570638E-001,1.9938624634676514E+000
0.086,-1.3434223269767107E-001,1.9937287196220292E+000
0.087,-1.3553309639716296E-001,1.9935937813679301E+000
0.088,-1.3671690779753409E-001,1.9934576557799981E+000
0.089,-1.3789371137655573E-001,1.9933203498882728E+000
0.09,-1.3906355135745244E-001,1.9931818706784419E+000
0.091,-1.4022647170996644E-001,1.9930422250920981E+000
0.092,-1.4138251615139852E-001,1.9929014200269910E+000
0.093,-1.4253172814764598E-001,1.9927594623372757E+000
0.094,-1.4367415091428479E-001,1.9926163588337698E+000
0.095,-1.4480982741760304E-001,1.9924721162841987E+000
0.096,-1.4593880037567111E-001,1.9923267414134471E+000
0.097,-1.4706111225939328E-001,1.9921802409038036E+000
0.098,-1.4817680529358640E-001,1.9920326213952122E+000
0.099,-1.4928592145799602E-001,1.9918838894855071E+000
0.1,-1.5038850248843011E-001,1.9917340517306725E+000
0.101,-1.5148458987737362E-001,1.9915831146450069E+000
0.102,-1.5257422487620151E-001,1.9914310847015610E+000
0.103,-1.5365744849477872E-001,1.9912779683321293E+000
0.104,-1.5473430150457465E-001,1.9911237719278387E+000
0.105,-1.5580482443604868E-001,1.9909685018387593E+000
0.106,-1.5686905757967815E-001,1.9908121643741383E+000
0.107,-1.5792704099925467E-001,1.9906547658047122E+000
0.108,-1.5897881451949916E-001,1.9904963123606554E+000
0.109,-1.6002441772619971E-001,1.9903368102316585E+000
0.11,-1.6106388996838525E-001,1.9901762655673525E+000
0.111,-1.6209727037629407E-001,1.9900146844803976E+000
0.112,-1.6312459784196801E-001,1.9898520730432498E+000
0.113,-1.6414591101894768E-001,1.9896884372881667E+000
0.114,-1.6516124834430504E-001,1.9895237832109669E+000
0.115,-1.6617064844045140E-001,1.9893581168335652E+000
0.116,-1.6717415002016833E-001,1.9891914441888789E+000
0.117,-1.6817178893966364E-001,1.9890237708623701E+000
0.118,-1.6916360343518699E-001,1.9888551028076176E+000
0.119,-1.7014963138015249E-001,1.9886854459189562E+000
0.12,-1.7112990922627497E-001,1.9885148058669539E+000
0.121,-1.7210447326099348E-001,1.9883431882942681E+000
0.122,-1.7307336169009144E-001,1.9881705991391485E+000
0.123,-1.7403660933887449E-001,1.9879970438121530E+000
0.124,-1.7499425310825559E-001,1.9878225280438957E+000
0.125,-1.7594632957717329E-001,1.9876470575124754E+000
0.126,-1.7689287323577169E-001,1.9874706375695872E+000
0.127,-1.7783392016462740E-001,1.9872932738114446E+000
0.128,-1.7876950517602472E-001,1.9871149716353347E+000
0.129,-1.7969966638805218E-001,1.9869357369483869E+000
0.13,-1.8062443680813103E-001,1.9867555748635974E+000
0.131,-1.8154385240051329E-001,1.9865744909498164E+000
0.132,-1.8245794242047916E-001,1.9863924897357048E+000
0.133,-1.8336674463578409E-001,1.9862095770652921E+000
0.134,-1.8427029364080030E-001,1.9860257582891812E+000
0.135,-1.8516862204916082E-001,1.9858410384497629E+000
0.136,-1.8606176470755922E-001,1.9856554229326215E+000
0.137,-1.8694975505655204E-001,1.9854689169039610E+000
0.138,-1.8783262625359459E-001,1.9852815254843359E+000
0.139,-1.8871041090302804E-001,1.9850932537071029E+000
0.14,-1.8958314223859452E-001,1.9849041067008597E+000
0.141,-1.9045085273401019E-001,1.9847140894751152E+000
0.142,-1.9131357467846974E-001,1.9845232070091239E+000
0.143,-1.9217134043092426E-001,1.9843314642911249E+000
0.144,-1.9302418246297404E-001,1.9841388663249071E+000
0.145,-1.9387213164152198E-001,1.9839454178653722E+000
0.146,-1.9471522029379001E-001,1.9837511238906578E+000
0.147,-1.9555347937263556E-001,1.9835559891656240E+000
0.148,-1.9638694156647765E-001,1.9833600187204876E+000
0.149,-1.9721563705700004E-001,1.9831632171981084E+000
0.15,-1.9803959612640840E-001,1.9829655892553884E+000
0.151,-1.9885885144965823E-001,1.9827671399153666E+000
0.152,-1.9967343348633071E-001,1.9825678738588202E+000
0.153,-2.0048336937754196E-001,1.9823677952555536E+000
0.154,-2.0128869101309105E-001,1.9821669090033507E+000
0.155,-2.0208942773589761E-001,1.9819652196073418E+000
0.156,-2.0288561162984720E-001,1.9817627319917284E+000
0.157,-2.0367727201233218E-001,1.9815594506545300E+000
0.158,-2.0446443489095278E-001,1.9813553795850980E+000
0.159,-2.0524713162499073E-001,1.9811505235921618E+000
0.16,-2.0602539051153437E-001,1.9809448870135002E+000
0.161,-2.0679924271876243E-001,1.9807384746253633E+000
0.162,-2.0756871568275778E-001,1.9805312906307830E+000
0.163,-2.0833383556394902E-001,1.9803233390365140E+000
0.164,-2.0909463336244574E-001,1.9801146245889933E+000
0.165,-2.0985113777445560E-001,1.9799051516803685E+000
0.166,-2.1060337551556710E-001,1.9796949243985333E+000
0.167,-2.1135137265897713E-001,1.9794839467321896E+000
0.168,-2.1209515885430091E-001,1.9792722232158000E+000
0.169,-2.1283476180838520E-001,1.9790597580853151E+000
0.17,-2.1357020773651236E-001,1.9788465553476187E+000
0.171,-2.1430152469429142E-001,1.9786326192896651E+000
0.172,-2.1502873905546660E-001,1.9784179539402875E+000
0.173,-2.1575187848421454E-001,1.9782025635242377E+000
0.174,-2.1647096763198856E-001,1.9779864518052985E+000
0.175,-2.1718603500633332E-001,1.9777696231347421E+000
0.176,-2.1789710714896665E-001,1.9775520815625101E+000
0.177,-2.1860420840314068E-001,1.9773338308022608E+000
