"time","Noise","Noise_Filt","Noise_Filt_Sat","Sine","Sine_Filt","Sine_Filt_Quantized"
0,5.0419341316903010E-001,6.3024176646128832E-002,6.3024176646128832E-002,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.02,5.0419341316903010E-001,6.3024176646128832E-002,6.3024176646128832E-002,3.7997713707934651E-002,2.0155764566426818E-005,0.0000000000000000E+000
0.04,5.0419341316903010E-001,6.3024176646128832E-002,6.3024176646128832E-002,7.7980228503682220E-002,1.7102014534922590E-004,0.0000000000000000E+000
0.06,3.3752485631197140E+000,4.8177903820378787E-001,4.8177903820378787E-001,1.1793155224775083E-001,5.7984191877292655E-004,0.0000000000000000E+000
0.08,3.3752485631197140E+000,4.8177903820378787E-001,4.8177903820378787E-001,1.5783570494332008E-001,1.3626174425713893E-003,0.0000000000000000E+000
0.1,3.3752485631197140E+000,4.8177903820378787E-001,4.8177903820378787E-001,1.9767672546136000E-001,2.6245406824633812E-003,0.0000000000000000E+000
0.12,-1.2125881533069673E+000,3.0611656713022739E-001,3.0611656713022739E-001,2.3743867792486992E-001,4.4604544150858771E-003,0.0000000000000000E+000
0.14,-1.2125881533069673E+000,3.0611656713022739E-001,3.0611656713022739E-001,2.7710565808301668E-001,6.9553009737146594E-003,0.0000000000000000E+000
0.16,1.8177243492157451E+000,5.1802628242568427E-001,5.0000000000000000E-001,3.1666179967262315E-001,1.0184571036449189E-002,0.0000000000000000E+000
0.18,1.8177243492157451E+000,5.1802628242568427E-001,5.0000000000000000E-001,3.5609128076446150E-001,1.4214749084140254E-002,0.0000000000000000E+000
0.2,1.8177243492157451E+000,5.1802628242568427E-001,5.0000000000000000E-001,3.9537833009181456E-001,1.9103754277399673E-002,0.0000000000000000E+000
0.22,2.7746249747157992E-001,5.2680778048834753E-001,5.0000000000000000E-001,4.3450723335877173E-001,2.4901375618575847E-002,0.0000000000000000E+000
0.24,2.7746249747157992E-001,5.2680778048834753E-001,5.0000000000000000E-001,4.7346233952573785E-001,3.1649700375648612E-002,0.0000000000000000E+000
0.26,-5.4855954788778227E-001,4.3189744797795721E-001,4.3189744797795721E-001,5.1222806706964064E-001,3.9383534850647502E-002,0.0000000000000000E+000
0.28,-5.4855954788778227E-001,4.3189744797795721E-001,4.3189744797795721E-001,5.5078891021633225E-001,4.8130816675502466E-002,0.0000000000000000E+000
0.3,-5.4855954788778227E-001,4.3189744797795721E-001,4.3189744797795721E-001,5.8912944514269150E-001,5.7913017913276438E-002,0.0000000000000000E+000
0.32,-1.3007991262323269E+000,2.4770268480001800E-001,2.4770268480001800E-001,6.2723433614594803E-001,6.8745538332602524E-002,1.0000000000000001E-001
0.34,-1.3007991262323269E+000,2.4770268480001800E-001,2.4770268480001800E-001,6.6508834177775933E-001,8.0638088307958627E-002,1.0000000000000001E-001
0.36,1.9489999778399403E-001,2.5968005028301638E-001,2.5968005028301638E-001,7.0267632094058585E-001,9.3595060878276293E-002,1.0000000000000001E-001
0.38,1.9489999778399403E-001,2.5968005028301638E-001,2.5968005028301638E-001,7.3998323894392870E-001,1.0761589257141611E-001,1.0000000000000001E-001
0.4,1.9489999778399403E-001,2.5968005028301638E-001,2.5968005028301638E-001,7.7699417351800570E-001,1.2269541267238462E-001,1.0000000000000001E-001
0.42,8.1612375239030188E-001,3.4871151681765328E-001,3.4871151681765328E-001,8.1369432078245973E-001,1.3882418067894656E-001,1.0000000000000001E-001
0.44,8.1612375239030188E-001,3.4871151681765328E-001,3.4871151681765328E-001,8.5006900116771356E-001,1.5598881174964568E-001,1.0000000000000001E-001
0.46,3.5654631241534979E-001,3.7584423002868933E-001,3.7584423002868933E-001,8.8610366528660267E-001,1.7417229000632850E-001,2.0000000000000001E-001
0.48,3.5654631241534979E-001,3.7584423002868933E-001,3.7584423002868933E-001,9.2178389975393515E-001,1.9335426960621718E-001,2.0000000000000001E-001
0.5,3.5654631241534979E-001,3.7584423002868933E-001,3.7584423002868933E-001,9.5709543295165411E-001,2.1351136354754999E-001,2.0000000000000001E-001
0.52,7.2283651033176133E-001,4.4740658231872510E-001,4.4740658231872510E-001,9.9202414073729472E-001,2.3461742021794796E-001,2.0000000000000001E-001
