"time","J1_w","J2_w","J3_w","J4_w"
0,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.003,9.9709420317557207E+000,2.9999981030353950E-002,3.1225022567582528E-016,3.1113750818250729E-016
0.006,9.9447010760873784E+000,5.9999696817929049E-002,1.6583956430338276E-015,1.6562056103471068E-015
0.009,9.9212441963364206E+000,8.9998721000355886E-002,4.8572257327350599E-016,4.8248286061199245E-016
0.012,9.9005137503182681E+000,1.1999662722510074E-001,-2.9143354396410359E-016,-2.9570888695689040E-016
0.015,9.8824279057366997E+000,1.4999298915551762E-001,1.3322676295501878E-015,1.3263233862046776E-015
0.018,9.8668813703112317E+000,1.7998738047690210E-001,1.0547118733938987E-015,1.0483247627920020E-015
0.021,9.8537463301368078E+000,2.0997937490256291E-001,1.0269562977782698E-015,1.0200661670624669E-015
0.024,9.8428735879467517E+000,2.3996854617987218E-001,1.6098233857064770E-015,1.6020209154631816E-015
0.027,9.8340938911756659E+000,2.6995446809632284E-001,7.7715611723760958E-016,7.6893417216406841E-016
0.03,9.8272194380342164E+000,2.9993671448559311E-001,1.1657341758564144E-015,1.1572273621953547E-015
0.033,9.8220455482277291E+000,3.2991485923359321E-001,5.5511151231257827E-017,4.6884364764697879E-017
0.036,9.8183524834891518E+000,3.5988847628453158E-001,-4.4408920985006262E-016,-4.5279152632877489E-016
0.039,9.8159074017671024E+000,3.8985713964696167E-001,-1.8318679906315083E-015,-1.8405630176543208E-015
0.042,9.8144664277234828E+000,4.1982042339984460E-001,-8.3266726846886741E-016,-8.4123150184447206E-016
0.045,9.8137768211626977E+000,4.4977790169859233E-001,4.4408920985006262E-016,4.3567558161207544E-016
0.048,9.8135792241452915E+000,4.7972914878112505E-001,-5.5511151231257827E-017,-6.3658446014362223E-017
0.051,9.8136099668404295E+000,5.0967373897392498E-001,-1.7763568394002505E-015,-1.7842626849612893E-015
0.054,9.8136034116502397E+000,5.3961124669808669E-001,-1.1102230246251565E-015,-1.1180533811812288E-015
0.057,9.8132943147993537E+000,5.6954124647535487E-001,-1.6653345369377348E-015,-1.6728468155766502E-015
0.06,9.8124201844279675E+000,5.9946331293418353E-001,-2.4424906541753444E-015,-2.4498966195911050E-015
0.063,9.8107236142577499E+000,6.2937702081577562E-001,-3.4416913763379853E-015,-3.4489494074967545E-015
0.066,9.8079545721167793E+000,6.5928194498012793E-001,-4.6629367034256575E-015,-4.6701769257458383E-015
0.069,9.8038726230103297E+000,6.8917766041207251E-001,-7.1054273576010019E-015,-7.1127678407414293E-015
0.072,9.7982490670053313E+000,7.1906374222732161E-001,-7.9936057773011271E-015,-8.0011743040828828E-015
0.075,9.7908689729524312E+000,7.4893976567849840E-001,-8.3266726846886741E-015,-8.3343336487110029E-015
