"time","level","level2","level3"
3.73,8.9166650772094727E+000,8.9166650772094727E+000,0.0000000000000000E+000
3.85,9.2499980926513672E+000,9.2499980926513672E+000,0.0000000000000000E+000
3.97,9.7499971389770508E+000,9.7499971389770508E+000,0.0000000000000000E+000
4.09,1.0083330154418945E+001,1.0083330154418945E+001,0.0000000000000000E+000
4.21,1.0583329200744629E+001,1.0583329200744629E+001,0.0000000000000000E+000
4.33,1.0916662216186523E+001,1.0916662216186523E+001,0.0000000000000000E+000
4.45,1.1249994277954102E+001,1.1249994277954102E+001,0.0000000000000000E+000
4.57,1.1749994277954102E+001,1.1749994277954102E+001,0.0000000000000000E+000
4.69,1.2083326339721680E+001,1.2083326339721680E+001,0.0000000000000000E+000
4.81,1.2583326339721680E+001,1.2583326339721680E+001,0.0000000000000000E+000
4.93,1.2916659355163574E+001,1.2916659355163574E+001,0.0000000000000000E+000
5.05,1.3249994277954102E+001,1.3249994277954102E+001,0.0000000000000000E+000
5.17,1.3749995231628418E+001,1.3749995231628418E+001,0.0000000000000000E+000
5.29,1.4083330154418945E+001,1.4083330154418945E+001,0.0000000000000000E+000
5.41,1.4583331108093262E+001,1.4583331108093262E+001,0.0000000000000000E+000
5.53,1.4916666030883789E+001,1.4916666030883789E+001,0.0000000000000000E+000
5.65,1.5250000000000000E+001,1.5250000000000000E+001,0.0000000000000000E+000
5.77,1.5750001907348633E+001,1.5750001907348633E+001,0.0000000000000000E+000
5.89,1.6083335876464844E+001,1.6083335876464844E+001,0.0000000000000000E+000
6.01,1.6583337783813477E+001,1.6583337783813477E+001,0.0000000000000000E+000
6.13,1.6916671752929688E+001,1.6916671752929688E+001,0.0000000000000000E+000
6.25,1.7250005722045898E+001,1.7250005722045898E+001,0.0000000000000000E+000
6.37,1.7750007629394531E+001,1.7750007629394531E+001,0.0000000000000000E+000
6.49,1.8083341598510742E+001,1.8083341598510742E+001,0.0000000000000000E+000
6.61,1.8583343505859375E+001,1.8583343505859375E+001,0.0000000000000000E+000
6.73,1.8916677474975586E+001,1.8916677474975586E+001,0.0000000000000000E+000
6.85,1.9250011444091797E+001,1.9250011444091797E+001,0.0000000000000000E+000
6.97,1.9750013351440430E+001,1.9750013351440430E+001,0.0000000000000000E+000
7.09,2.0083347320556641E+001,2.0083347320556641E+001,0.0000000000000000E+000
7.21,2.0583349227905273E+001,2.0583349227905273E+001,0.0000000000000000E+000
7.33,2.0916683197021484E+001,2.0916683197021484E+001,0.0000000000000000E+000
7.45,2.1250019073486328E+001,2.1250019073486328E+001,0.0000000000000000E+000
7.57,2.1750019073486328E+001,2.1750019073486328E+001,0.0000000000000000E+000
7.69,2.2083354949951172E+001,2.2083354949951172E+001,0.0000000000000000E+000
7.81,2.2583354949951172E+001,2.2583354949951172E+001,0.0000000000000000E+000
7.93,2.2916690826416016E+001,2.2916690826416016E+001,0.0000000000000000E+000
8.05,2.3250024795532227E+001,2.3250024795532227E+001,0.0000000000000000E+000
8.17,2.3750026702880859E+001,2.3750026702880859E+001,0.0000000000000000E+000
8.29,2.4083360671997070E+001,2.4083360671997070E+001,0.0000000000000000E+000
8.41,2.4583362579345703E+001,2.4583362579345703E+001,0.0000000000000000E+000
8.53,2.4916696548461914E+001,2.4916696548461914E+001,0.0000000000000000E+000
8.65,2.5250030517578125E+001,2.5250030517578125E+001,0.0000000000000000E+000
8.77,2.5750030517578125E+001,2.5750030517578125E+001,0.0000000000000000E+000
8.89,2.6083362579345703E+001,2.6083362579345703E+001,0.0000000000000000E+000
9.01,2.6583358764648438E+001,2.6583358764648438E+001,0.0000000000000000E+000
9.13,2.6916690826416016E+001,2.6916690826416016E+001,0.0000000000000000E+000
