"time","p1@general_hydraulic_chamber","p1@hydraulic_4","q@volumesensor","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
0.00288,1.7967667372030090E+002,1.2616930023908189E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00294,1.7813915002391829E+002,2.0567397179457072E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.003,1.7752990519136907E+002,2.4283955676113499E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00306,1.7890638933780505E+002,1.8421858595922765E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00312,1.8033374565425208E+002,1.1973474653778925E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00318,1.7993993911701784E+002,1.4815746622209946E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00324,1.7859468011628545E+002,2.2028709461243955E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.0033,1.7855326820429315E+002,2.2856111456278839E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00336,1.8002814101230993E+002,1.6517230999491241E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00342,1.8096365129901943E+002,1.2570944062217991E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00348,1.8023412459701163E+002,1.6914498950450249E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00354,1.7920943814025983E+002,2.2648429097639519E+002,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
