"time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
0.7895,-1.0062953326299973E-004,3.3559972243715016E+001,6.7112030286043677E+001,2.9433413077021298E-003,5.7278716740988278E-003
0.7995,-1.0064969688680715E-004,3.3560733061617036E+001,6.7113550907493803E+001,2.9275569083840880E-003,5.6948656105236806E-003
0.809,-1.0066463723771203E-004,3.3561450784097104E+001,6.7114985161389114E+001,3.1108430381382446E-003,6.0651290930845425E-003
0.819,-1.0067553982561755E-004,3.3562203566517766E+001,6.7116489521884446E+001,3.0951303302281241E-003,6.0326147578413369E-003
0.829,-1.0068139528093435E-004,3.3562952223454197E+001,6.7117985643301566E+001,3.0794214291413047E-003,6.0003605103937652E-003
0.839,-1.0068236488342614E-004,3.3563696760836784E+001,6.7119473590390015E+001,3.0637083289126732E-003,5.9683728493248323E-003
0.849,-1.0067880371877388E-004,3.3564437190611130E+001,6.7120953425063007E+001,3.0479890180661329E-003,5.9366522118855514E-003
0.859,-1.0067120071734533E-004,3.3565173529834624E+001,6.7122425206154446E+001,3.0322662079594886E-003,5.9051942699557269E-003
0.869,-1.0066012590715615E-004,3.3565905799732469E+001,6.7123888989362868E+001,3.0165461266044025E-003,5.8739911573945092E-003
0.879,-1.0064618571805351E-004,3.3566634024766060E+001,6.7125344827343014E+001,3.0008374193881693E-003,5.8430325870757471E-003
0.889,-1.0062998660969035E-004,3.3567358231754227E+001,6.7126792769907553E+001,2.9851501838752403E-003,5.8123068303721492E-003
0.899,-1.0061210685024110E-004,3.3568078449076502E+001,6.7128232864305176E+001,2.9694951534955383E-003,5.7818015443816817E-003
0.909,-1.0059307593128171E-004,3.3568794705977055E+001,6.7129665155545126E+001,2.9538830347466405E-003,5.7515044425263673E-003
0.919,-1.0057336086566350E-004,3.3569507031979164E+001,6.7131089686742499E+001,2.9383239942973871E-003,5.7214038124613342E-003
0.929,-1.0055335846079825E-004,3.3570215456412690E+001,6.7132506499463588E+001,2.9228272862731330E-003,5.6914888914136874E-003
0.939,-1.0053339258974658E-004,3.3570920008051232E+001,6.7133915634055725E+001,2.9074010056273636E-003,5.6617501134513804E-003
0.949,-1.0051371546545731E-004,3.3571620714851200E+001,6.7135317129949186E+001,2.8920519508062181E-003,5.6321792458945419E-003
0.959,-1.0049451196221896E-004,3.3572317603782437E+001,6.7136711025924129E+001,2.8767855775989615E-003,5.6027694333560252E-003
0.969,-1.0047590610012999E-004,3.3573010700737271E+001,6.7138097360337184E+001,2.8616060258938036E-003,5.5735151680814665E-003
0.979,-1.0045796890651506E-004,3.3573700030505115E+001,6.7139476171307237E+001,2.8465162017379253E-003,5.5444122044688848E-003
0.989,-1.0044072697997299E-004,3.3574385616798978E+001,6.7140847496860076E+001,2.8315178984981149E-003,5.5154574342700657E-003
0.999,-1.0042417120123819E-004,3.3575067482320961E+001,6.7142211375035089E+001,2.8166119427252001E-003,5.4866487370747175E-003
1.009,-9.8623974052358229E-005,3.3577890215671594E+001,6.7141331707696679E+001,6.2668168388573475E-002,-5.4385487623584527E-002
1.019,1.4977740866068076E-004,3.3648130348507500E+001,6.7066482536281356E+001,7.5348996109928090E-001,-7.4488215090948318E-001
1.029,2.2619032213264624E-003,3.3915456534791026E+001,6.6753463273434249E+001,2.1727178343075804E+000,-2.1628882692773286E+000
1.039,9.0000602159206727E-003,3.4334606903203863E+001,6.6196230132003251E+001,3.2260229641056100E+000,-3.2087221527938241E+000
1.049,2.1889742803944030E-002,3.4782409322674184E+001,6.5493497568832169E+001,4.2662746016473596E+000,-4.2352865796531223E+000
1.059,4.1627601989291274E-002,3.5229513648813850E+001,6.4663835206802830E+001,5.2667679885105541E+000,-5.2132208625285132E+000
1.069,6.8577303683370699E-002,3.5648747396070014E+001,6.3730721630002030E+001,6.2017687213530257E+000,-6.1141116881844386E+000
1.079,1.0280055499824957E-001,3.6019936395312882E+001,6.2716895557741573E+001,7.0608566185614734E+000,-6.9254662484296814E+000
1.089,1.4412498925720527E-001,3.6330046644962046E+001,6.1642720136177019E+001,7.8408361061555469E+000,-7.6428167360183199E+000
1.099,1.9221150270209986E-001,3.6572050689665367E+001,6.0525837687640795E+001,8.5426645926049396E+000,-8.2666799424878619E+000
1.109,2.4661158355296275E-001,3.6743600923294096E+001,5.9381220749687699E+001,9.1698047587066061E+000,-8.8008328279811092E+000
1.119,3.0681313634783597E-001,3.6845800687865008E+001,5.8221371885051198E+001,9.7271740841994774E+000,-9.2511228038692739E+000
