"time","Out1"
6.12,-1.6344864861784483E-001
6.14,-1.4368623849047837E-001
6.16,-1.2386635578350669E-001
6.18,-1.0399692818575094E-001
6.2,-8.4085903203328094E-002
6.22,-6.4141244980754311E-002
6.24,-4.4170931115393407E-002
6.26,-2.4182949466524235E-002
6.28,-4.1852949603034722E-003
6.3,1.5814033608098226E-002
6.32,3.5807036773907647E-002
6.34,5.5785717602428293E-002
6.36,7.5742084887707603E-002
6.38,9.5668156348912806E-002
6.4,1.1555596182313682E-001
6.42,1.3539754645335716E-001
6.44,1.5518497387027269E-001
6.46,1.7491032936674547E-001
6.48,1.9456572306357811E-001
6.5,2.1414329306536034E-001
6.52,2.3363520860512219E-001
6.54,2.5303367317653652E-001
6.56,2.7233092765241751E-001
6.58,2.9151925338826806E-001
6.6,3.1059097530963475E-001
6.62,3.2953846498203532E-001
6.64,3.4835414366223061E-001
6.66,3.6703048532962090E-001
6.68,3.8556001969655379E-001
6.7,4.0393533519633967E-001
6.72,4.2214908194777961E-001
6.74,4.4019397469501964E-001
6.76,4.5806279572155634E-001
6.78,4.7574839773722677E-001
6.8,4.9324370673702955E-001
6.82,5.1054172483063254E-001
6.84,5.2763553304143529E-001
6.86,5.4451829407406804E-001
6.88,5.6118325504921807E-001
6.9,5.7762375020469192E-001
6.92,5.9383320356163105E-001
6.94,6.0980513155481586E-001
6.96,6.2553314562600526E-001
6.98,6.4101095477927483E-001
7,6.5623236809733121E-001
7.02,6.7119129721779680E-001
7.04,6.8588175876847313E-001
7.06,7.0029787676060995E-001
7.08,7.1443388493922300E-001
7.1,7.2828412908951812E-001
7.12,7.4184306929850297E-001
7.14,7.5510528217087725E-001
7.16,7.6806546299831913E-001
7.18,7.8071842788129775E-001
7.2,7.9305911580256383E-001
7.22,8.0508259065148935E-001
7.24,8.1678404319844544E-001
7.26,8.2815879301843065E-001
7.28,8.3920229036317828E-001
7.3,8.4991011798099503E-001
7.32,8.6027799288360296E-001
7.34,8.7030176805927761E-001
7.36,8.7997743413159712E-001
7.38,8.8930112096313985E-001
7.4,8.9826909920348719E-001
7.42,9.0687778178091449E-001
7.44,9.1512372533717179E-001
7.46,9.2300363160478094E-001
7.48,9.3051434872629890E-001
7.5,9.3765287251501872E-001
7.52,9.4441634765660387E-001
7.54,9.5080206885117613E-001
7.56,9.5680748189539966E-001
7.58,9.6243018470412767E-001
7.6,9.6766792827120518E-001
7.62,9.7251861756904090E-001
7.64,9.7698031238659089E-001
7.66,9.8105122810541634E-001
7.68,9.8472973641350803E-001
7.7,9.8801436595658887E-001
7.72,9.9090380292663605E-001
7.74,9.9339689158738675E-001
7.76,9.9549263473661753E-001
7.78,9.9719019410501164E-001
7.8,9.9848889069145541E-001
7.82,9.9938820503463000E-001
7.84,9.9988777742078894E-001
7.86,9.9998740802763852E-001
7.88,9.9968705700426452E-001
7.9,9.9898684448707153E-001
7.92,9.9788705055173044E-001
7.94,9.9638811510115166E-001
7.96,9.9449063768952983E-001
7.98,9.9219537728253038E-001
8,9.8950325195371291E-001
8.02,9.8641533851731744E-001
8.04,9.8293287209754465E-001
8.06,9.7905724563453012E-001
8.08,9.7479000932718474E-001
8.1,9.7013287001313575E-001
8.12,9.6508769048601439E-001
8.14,9.5965648875036347E-001
8.16,9.5384143721446202E-001
8.18,9.4764486182139140E-001
8.2,9.4106924111868906E-001
8.22,9.3411720526696218E-001
8.24,9.2679153498785904E-001
8.26,9.1909516045181683E-001
8.28,9.1103116010603302E-001
8.3,9.0260275944312740E-001
8.32,8.9381332971098792E-001
8.34,8.8466638656431651E-001
8.36,8.7516558865841443E-001
8.38,8.6531473618576826E-001
8.4,8.5511776935602424E-001
8.42,8.4457876681995636E-001
8.44,8.3370194403806086E-001
8.46,8.2249165159442839E-001
8.48,8.1095237345656745E-001
8.5,7.9908872518187857E-001
8.52,7.8690545207149143E-001
8.54,7.7440742727220890E-001
8.56,7.6159964982731254E-001
8.58,7.4848724267701217E-001
8.6,7.3507545060933821E-001
8.62,7.2136963816229616E-001
8.64,7.0737528747812306E-001
8.66,6.9309799611050382E-001
8.68,6.7854347478562405E-001
8.7,6.6371754511795611E-001
8.72,6.4862613728169050E-001
8.74,6.3327528763874563E-001
8.76,6.1767113632430348E-001
8.78,6.0181992479083735E-001
8.8,5.8572799331161374E-001
8.82,5.6940177844466811E-001
8.84,5.5284781045826747E-001
8.86,5.3607271071888962E-001
8.88,5.1908318904276518E-001
8.9,5.0188604101204093E-001
8.92,4.8448814525663664E-001
8.94,4.6689646070288571E-001
8.96,4.4911802379005700E-001
8.98,4.3115994565587296E-001
9,4.1302940929214937E-001
9.02,3.9473366667169446E-001
9.04,3.7628003584761643E-001
9.06,3.5767589802619976E-001
9.08,3.3892869461452119E-001
9.1,3.2004592424398592E-001
9.12,3.0103513977097535E-001
9.14,2.8190394525580481E-001
9.16,2.6265999292120129E-001
9.18,2.4331098009151589E-001
9.2,2.2386464611389717E-001
9.22,2.0432876926265514E-001
9.24,1.8471116362805540E-001
9.26,1.6501967599078721E-001
9.28,1.4526218268335578E-001
9.3,1.2544658643965434E-001
9.32,1.0558081323397595E-001
9.34,8.5672809110729428E-002
9.36,6.5730537006127535E-002
9.38,4.5761973563118702E-002
9.4,2.5775105940836152E-002
9.42,5.7779286198407749E-003
9.44,-1.4221559795564514E-002
9.46,-3.4215359776669854E-002
9.48,-5.4195474070063254E-002
9.5,-7.4153910896425340E-002
9.52,-9.4082687147134511E-002
9.54,-1.1397383157740398E-001
9.56,-1.3381938799467336E-001
9.58,-1.5361141844097964E-001
9.6,-1.7334200636803457E-001
9.62,-1.9300325980373825E-001
9.64,-2.1258731450886303E-001
9.66,-2.3208633712264409E-001
9.68,-2.5149252829601942E-001
9.7,-2.7079812581126550E-001
9.72,-2.8999540768678067E-001
9.74,-3.0907669526577519E-001
9.76,-3.2803435628763117E-001
9.78,-3.4686080794070534E-001
9.8,-3.6554851989535248E-001
9.821,-3.8501312076777938E-001
9.841,-4.0339311216875662E-001
9.861,-4.2161175170336962E-001
9.881,-4.3966175215871656E-001
9.901,-4.5753589377527870E-001
9.921,-4.7522702713472820E-001
9.941,-4.9272807601959995E-001
9.961,-5.1003204024368409E-001
9.981,-5.2713199845200753E-001
10,-5.4402111088928340E-001
