"Time","Losses","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]"
0.08445000000000001,4692.138015290399,526.0725615948512,723.7530979106574,-723.4164339204332,-0.336663990224274,531.5186695354512,-97.42717132376174,-434.0914982116894
0.08446000000000001,4693.121973275256,526.2207225614806,723.698957571678,-723.3594045480852,-0.3395530235927857,531.6667190361588,-96.05667794534452,-435.61004109081426
0.08447,4693.67423344237,526.3688250278063,723.5811542514714,-723.2387155432132,-0.34243870825816797,531.8145827141933,-94.68776600882973,-437.1268167053636
0.08448000000000001,4693.791848036856,526.5168264128448,723.3992690767757,-723.0539480624288,-0.34532101434678514,531.9622171509404,-93.32042874174311,-438.6417884091973
0.08449000000000001,4693.471945691572,526.6646838591049,723.1528872860928,-722.804687377224,-0.34819990886873203,532.1095786595057,-91.95466079560651,-440.1549178638992
0.0845,4692.711739119092,526.812354214844,722.8415985818156,-722.4905232137123,-0.35107536810325946,532.256623267662,-90.59045204469277,-441.6661712229693
0.08451,4691.508521427652,526.9597940378746,722.4649971654572,-722.1110498024375,-0.35394736301977114,532.4033067217417,-89.22779487748079,-443.175511844261
0.08452000000000001,4689.859659029116,527.1069596929339,722.0226802828349,-721.6658644186949,-0.35681586414002364,532.5495845810912,-87.86668181278009,-444.68290276831107
0.08453000000000001,4687.762604735591,527.2538072455734,721.514249918081,-721.1545690746167,-0.35968084346431234,532.6954121153467,-86.50710448527525,-446.18830763007145
0.08454,4685.214894949733,527.4002924994883,720.9393122889115,-720.57677001573,-0.3625422731816338,532.8407443407561,-85.14905430860586,-447.69169003215023
0.08455,4682.2141498467845,527.5463710048539,720.2974777734811,-719.9320776487547,-0.3654001247264683,532.9855360283691,-83.79252295107068,-449.19301307729836
0.08456000000000001,4678.758073133207,527.69199807705,719.5883606759195,-719.2201063062085,-0.3682543697109659,533.1297417222925,-82.43750187866254,-450.69223984362986
0.08457,4674.844465299216,527.8371286921329,718.8115810262312,-718.4404760458513,-0.3711049803800321,533.2733156387606,-81.0839820770596,-452.189333561701
0.08458,4670.471209156101,527.981717627672,717.966762340647,-717.5928104121155,-0.37395192853157366,533.4162118024954,-79.73195465968354,-453.68425714281176
0.08459000000000001,4665.636281655854,528.1257193705659,717.0535332335576,-716.676738047958,-0.3767951855995239,533.5583839577441,-78.38141078170565,-455.1769731760384
0.08460000000000001,4660.337745884989,528.2690882046807,716.071526018713,-715.691891294891,-0.3796347238220034,533.6997856531204,-77.03234109838644,-456.667444554734
0.08461,4654.573759092462,528.4117781504217,715.0203777988231,-714.6379072832158,-0.38247051560734857,533.8403701833554,-75.68473605293678,-458.15563413041855
0.08462,4648.3425688944035,528.5537430061884,713.899729825664,-713.5144272932544,-0.3853025324097508,533.9800906294737,-74.33858645878792,-459.6415041706858
0.08463000000000001,4641.642518560053,528.6949363190258,712.7092280801495,-712.321097334135,-0.3881307460145263,534.1188998306039,-72.99388284285988,-461.12501698774406
0.08464,4634.472045842661,528.8353114092909,711.4485229159167,-711.0575677865576,-0.39095512935915033,534.2567504079315,-71.65061504702135,-462.6061353609101
0.08465,4626.8296852736585,528.9748213565684,710.1172693742237,-709.7234937195241,-0.39377565469959736,534.3935947512462,-70.30877313819394,-464.08482161305216
0.08466000000000001,4618.714066341556,529.1134190247598,708.7151268628581,-708.3185345706172,-0.39659229224088327,534.5293850433892,-68.96834810530515,-465.56103693808404
0.08467000000000001,4610.123919409698,529.2510570370073,707.2417596190236,-706.8423546038282,-0.39940501519536364,534.6640732361,-67.62932931806029,-467.0347439180396
0.08468,4601.058072820224,529.3876878138482,705.6968361752225,-705.2946223759837,-0.40221379923874484,534.7976110871004,-66.29170481747929,-468.50590626962116
0.08469,4591.515453105146,529.5232635396131,704.0800299513398,-703.6750113402642,-0.4050186110756384,534.9299501276911,-64.95546701692331,-469.9744831107678
0.08470000000000001,4581.495090344262,529.6577361855508,702.391018978803,-701.9831995542606,-0.40781942454234954,535.061041685306,-63.62060466196988,-471.44043702333613
0.08471000000000001,4570.996117068193,529.7910575129468,700.6294858813604,-700.2188696653114,-0.41061621604901527,535.1908368865991,-62.28710511088923,-472.90373177570984
0.08472,4560.017765980354,529.9231790720274,698.795118005474,-698.381709050561,-0.4134089549130786,535.3192866566178,-60.954959167498885,-474.3643274891189
0.08473000000000001,4548.559372946793,530.0540522083254,696.8876073600243,-696.4714097500378,-0.4161976099864938,535.4463417250415,-59.62415777067696,-475.82218395436456
0.08474000000000001,4536.6203828614125,530.1836280620246,694.9066507225747,-694.4876685622795,-0.41898216029511703,535.5719526257287,-58.29468667443513,-477.27726595129354
0.08475,4524.200344187457,530.3118575633845,692.8519498757823,-692.4301872996241,-0.4217625761582055,535.6960696926326,-56.96653588613634,-478.7295338064963
0.08476,4511.298911580232,530.4386914388656,690.723211499034,-690.2986726732508,-0.42453882578322505,535.8186430657033,-55.6396963720386,-480.1789466936648
0.08477000000000001,4497.91584815144,530.5640802406348,688.5201466401172,-688.0928357527888,-0.427310887328406,535.9396227193247,-54.31415404022937,-481.6254686790954
0.08478000000000001,4484.051020083386,530.687974342001,686.2424708325566,-685.812392100008,-0.4300787325486284,536.0589584580007,-52.989897915534925,-483.0690605424658
0.08479,4469.70440315823,530.8103239190712,683.8899046638483,-683.4570623319623,-0.43284233188594723,536.1765998991432,-51.666917585648434,-484.50968231349475
0.0848,4454.876082637533,530.9310789708941,681.4621733577175,-681.0265716985189,-0.43560165919865296,536.2924964923749,-50.34520084624921,-485.94729564612567
0.08481000000000001,4439.566251239451,531.0501893297869,678.9590066012953,-678.5206499130923,-0.43835668820303814,536.4065975295144,-49.02473548511318,-487.38186204440126
0.08482,4423.77522172983,531.1676045906196,676.3801405167111,-675.9390331266125,-0.44110739009859196,536.5188520778063,-47.70551043613261,-488.8133416416736
0.08483,4407.50341266579,531.2832742107686,673.7253151510814,-673.2814614133489,-0.443853737732491,536.6292090748498,-46.3875137445325,-490.24169533031727
0.08484000000000001,4390.751360863115,531.3971474477222,670.9942762522289,-670.5476805462853,-0.4465957059436111,536.737617269756,-45.07073236544278,-491.66688490431324
0.08485000000000001,4373.519709451301,531.5091734211129,668.1867736980645,-667.7374404312877,-0.4493332667767904,536.8440252820436,-43.755154586217884,-493.08887069582573
0.08486,4355.8092170889595,531.6193010720821,665.3025627014433,-664.8504963101915,-0.452066391251825,536.948381563411,-42.44076912282344,-494.5076124405876
0.08487,4337.620755991583,531.7274791928813,662.3414030960276,-661.8866080416689,-0.45479505435881573,537.0506344259054,-41.1275626362451,-495.92307178966036
0.08488000000000001,4318.955314591642,531.8336564079785,659.3030599684536,-658.8455407378342,-0.4575192306193211,537.1507320242963,-39.81552194310109,-497.33521008119527
0.08489000000000001,4299.81399339084,531.9377811921157,656.1873032520492,-655.7270643621581,-0.46023888989116957,537.2486223733263,-38.5046361218636,-498.74398625146273
0.0849,4280.198010689668,532.0398018619211,652.9939080709611,-652.5309540668097,-0.46295400415134963,537.3442533400037,-37.19489311755643,-500.1493602224472
0.08491000000000001,4260.108703641265,532.1396665954253,649.7226543638108,-649.2569898096616,-0.4656645541491293,537.4375726623596,-35.886276424570895,-501.5512962377886
0.08492000000000001,4239.547521380721,532.237323418144,646.3733273172619,-645.9049568097672,-0.46837050749462855,537.5285279364198,-34.57877603587605,-502.9497519005437
0.08493,4218.516031554629,532.3327202154125,642.9457171643407,-642.4746453292914,-0.47107183504933076,537.6170666281192,-33.27238025371224,-504.344686374407
0.08494,4197.015923043426,532.425804734742,639.4396191714802,-638.9658506553843,-0.47376851609595466,537.703136075628,-31.96707310581553,-505.7360629698125
0.08495000000000001,4175.048998945531,532.5165245908539,635.8548336861736,-635.378373164231,-0.47646052194258026,537.7866834944962,-30.662842545935234,-507.123840948561
0.08496000000000001,4152.617179549545,532.6048272655355,632.1911661712411,-631.7120183499002,-0.47914782134089573,537.8676559775735,-29.359677744667806,-508.50797823290566
0.08497,4129.722508520948,532.6906601136855,628.4484272230733,-627.9665968303993,-0.4818303926738964,537.9460005010783,-28.057562998635603,-509.88843750244274
0.08498000000000001,4106.367148115467,532.7739703647135,624.626432585113,-624.1419243720387,-0.4845082130742859,538.0216639260364,-26.756483172010974,-511.2651807540254
0.08499000000000001,4082.55337451077,532.8547051275028,620.7250031453642,-620.2378218969698,-0.4871812483944303,538.094593003247,-25.45642871402788,-512.6381642892192
0.085,4058.283587391411,532.9328113927194,616.7439649602474,-616.2541154877385,-0.4898494725087953,538.1647343756216,-24.15738600892189,-514.0073483666997
0.08501,4033.56030952941,533.0082360384906,612.6831492700135,-612.190636404333,-0.4925128656804881,538.2320345838943,-22.85933819551667,-515.3726963883778
0.08502000000000001,4008.386179101959,533.0809258304799,608.5423924932034,-608.0472210946295,-0.4951713985737669,538.2964400667018,-21.56227316101581,-516.734166905686
0.08503000000000001,3982.7639545796696,533.1508274286348,604.3215362557474,-603.823711213988,-0.49782504175947895,538.35789716738,-20.2661787916785,-518.0917183757015
0.08504,3956.6965180800034,533.2178873877829,600.0204273962019,-599.5199536239803,-0.5004737722215575,538.4163521345636,-18.97103971986712,-519.4453124146964
0.08505,3930.1868719565746,533.2820521634438,595.6389179820128,-595.1358004160064,-0.5031175660063648,538.4717511280386,-17.676841002305423,-520.7949101257332
0.08506000000000001,3903.2381356558326,533.3432681135178,591.1768653112614,-590.671108919367,-0.5057563918943401,538.52404022044,-16.383571285106996,-522.140468935333
0.08507,3875.8535523456676,533.4014815027771,586.63413193361,-586.1257417092055,-0.5083902244044245,538.5731654017729,-15.091216303816168,-523.4819490979569
0.08508,3848.036488130576,533.4566385078487,582.0105856642882,-581.4995666223571,-0.5110190419311964,538.6190725844242,-13.799759817348445,-524.8193127670759
0.08509000000000001,3819.7904270851063,533.5086852170429,577.3060995783611,-576.7924567612905,-0.513642817070635,538.6617076029897,-12.509188445025643,-526.1525191579641
0.08510000000000001,3791.1189725471895,533.5575676371936,572.5205520322586,-572.0042905131389,-0.5162615191196392,538.7010162211552,-11.219490420256534,-527.4815258008987
0.08511,3762.02585403659,533.6032316944857,567.6538266723287,-567.1349515446816,-0.5188751276470811,538.7369441325268,-9.9306488054184,-528.8062953271084
0.08512,3732.5149191294813,533.6456232411614,562.7058124455117,-562.1843288288866,-0.521483616625163,538.7694369673757,-8.642649429558787,-530.1267875378169
0.08513000000000001,3702.5901339618417,533.6846880555906,557.6764035996412,-557.1523166438297,-0.5240869558114382,538.7984402927058,-7.355480197417933,-531.4429600952878
0.08514000000000001,3672.255589794488,533.7203718478523,552.5654997043755,-552.0388145809341,-0.5266851234414289,538.8238996178662,-6.069124745920249,-532.754774871946
0.08515,3641.515498048259,533.7526202640549,547.37300565666,-546.843727559787,-0.5292780968730003,538.8457603988908,-4.783567124161436,-534.0621932747293
0.08516000000000001,3610.374183977803,533.7813788879731,542.0988316787377,-541.5669658376546,-0.5318658410831328,538.8639680401425,-3.4987975458501523,-535.3651704942924
0.08517000000000001,3578.836098147969,533.8065932467749,536.7428933419403,-536.2084450112072,-0.5344483307331132,538.8784679000669,-2.2148013595787006,-536.6636665404883
0.08518,3546.9058221167097,533.8282088117677,531.3051115733338,-530.7680860123181,-0.5370255610156754,538.8892052919392,-0.9315536256199266,-537.9576516663193
0.08518314205835892,3536.7929113960618,533.8342488301291,529.5796190664562,-529.0417848176255,-0.5378342488306782,538.8917935079708,-0.5285034217907878,-538.3632900861801
0.08518314205835892,3536.7929113957675,533.8342488301291,529.5796190664562,-529.0417848176255,-0.5378342488306782,538.8917935079708,-0.5285034220653415,-538.3632900859054
0.08519,3513.714854078302,533.8461736975269,525.8020933436699,-525.2291334509613,-0.5729598927085305,538.8961281820195,-0.5246556489025807,-538.371472533117
0.08520000000000001,3479.9757166474465,533.8604640388081,520.2844973191441,-519.5407899877371,-0.7437073314069994,538.8992125664383,-0.5187965638597234,-538.3804160025786
0.08521000000000001,3446.1372645287674,533.8710723472815,514.755702757086,-513.6995432820182,-1.0561594750678758,538.8984508237975,-0.5126428711640756,-538.3858079526333
0.08522,3412.2048254750266,533.8779909997189,509.2155831584055,-507.7053855495046,-1.510197608900872,538.8938351966007,-0.5061946817459102,-538.3876405148548
0.08523,3378.1840081580144,533.8812123991506,503.6640144082039,-501.55831070567046,-2.10570370253345,538.8853579576942,-0.49945210755106473,-538.3859058501432
0.08524000000000001,3344.080697866607,533.8807288956962,498.10087399450947,-495.25831474787884,-2.8425592466306173,538.8730113306983,-0.4924152630859453,-538.3805960676123
0.08525,3309.9010514041793,533.8765327554845,492.5260401678751,-488.8053954520294,-3.7206447158456895,538.8567874577841,-0.48508426565183527,-538.3717031921324
0.08526,3275.6514985950553,533.8686161515664,486.9393922652563,-482.1995527751824,-4.7398394900739245,538.8366783913123,-0.47745923582579053,-538.3592191554865
0.08527000000000001,3241.3387411289723,533.8569711730094,481.3408106143734,-475.4407886556345,-5.9000219587389475,538.8126761026322,-0.4695402971566409,-538.3431358054754
0.08528000000000001,3206.969751739025,533.8415898348331,475.73017649570653,-468.52910685023124,-7.2010696454752825,538.7847724918167,-0.4613275758772488,-538.3234449159395
0.08529,3172.5517747976473,533.8224640680095,470.10737231949366,-461.46451322509625,-8.642859094397402,538.7529593781308,-0.45282120130957537,-538.3001381768211
0.0853,3138.0923252190028,533.7995857276276,464.47228154311927,-454.2470155780005,-10.225265965118734,538.7172285079346,-0.4440213055916047,-538.273207202343
0.08531000000000001,3103.59918828793,533.7729465896143,458.82478873234123,-446.8766237398932,-11.948164992448014,538.6775715515685,-0.4349280238194524,-538.2426435277489
0.08532000000000001,3069.0804188787442,533.7425383547204,453.1647795301921,-439.3533494986174,-13.811430031574707,538.6339801072307,-0.42554149392549334,-538.2084386133052
0.08533,3034.5443409932413,533.708352648658,447.49214067749693,-431.6772066188761,-15.814934058620844,538.586445701156,-0.4158618566983705,-538.1705838444575
0.08534000000000001,2999.9995473042372,533.6703810220702,441.8067600369141,-423.84821086770603,-17.9585491692081,538.534959787634,-0.4058892558092566,-538.1290705318247
0.08535000000000001,2965.454898640902,533.6286149510236,436.10852661022034,-415.8663800273194,-20.242146582900947,538.4795137495324,-0.39562383782060806,-538.0838899117118
0.08536,2930.9195234277313,533.5830458378681,430.39733055041495,-407.7317338986966,-22.665596651718356,538.4200988991724,-0.38506575218127637,-538.0350331469913
0.08537,2896.402817102932,533.5336650120885,424.67306317257965,-399.44429430412293,-25.228768868456733,538.3567064791937,-0.37421515122048277,-537.9824913279732
0.08538000000000001,2861.9144415370124,533.4804637311742,418.9356169671553,-391.00408509218556,-27.93153187496975,538.289327663442,-0.36307219014497605,-537.926255473297
0.08539000000000001,2827.464324444386,533.4234331814667,413.1848856143973,-382.41113214444397,-30.773753469953284,538.2179535578389,-0.3516370270375546,-537.8663165308013
0.0854,2793.0626587669085,533.3625644788199,407.4207639961982,-373.6654633813787,-33.755300614819525,538.1425752010578,-0.33990982285672544,-537.802665378201
