"time","der_p","der_T"
0.226,0.0000000000000000E+000,0.0000000000000000E+000
0.228,0.0000000000000000E+000,0.0000000000000000E+000
0.23,0.0000000000000000E+000,0.0000000000000000E+000
0.232,0.0000000000000000E+000,0.0000000000000000E+000
0.234,0.0000000000000000E+000,0.0000000000000000E+000
0.236,0.0000000000000000E+000,0.0000000000000000E+000
0.238,0.0000000000000000E+000,0.0000000000000000E+000
0.24,0.0000000000000000E+000,0.0000000000000000E+000
0.242,0.0000000000000000E+000,0.0000000000000000E+000
0.244,0.0000000000000000E+000,0.0000000000000000E+000
0.246,0.0000000000000000E+000,0.0000000000000000E+000
0.248,0.0000000000000000E+000,0.0000000000000000E+000
0.25,0.0000000000000000E+000,0.0000000000000000E+000
0.252,0.0000000000000000E+000,0.0000000000000000E+000
0.254,0.0000000000000000E+000,0.0000000000000000E+000
0.256,0.0000000000000000E+000,0.0000000000000000E+000
0.258,0.0000000000000000E+000,0.0000000000000000E+000
0.26,0.0000000000000000E+000,0.0000000000000000E+000
0.262,0.0000000000000000E+000,0.0000000000000000E+000
0.264,0.0000000000000000E+000,0.0000000000000000E+000
0.266,0.0000000000000000E+000,0.0000000000000000E+000
0.268,0.0000000000000000E+000,0.0000000000000000E+000
0.27,0.0000000000000000E+000,0.0000000000000000E+000
0.272,0.0000000000000000E+000,0.0000000000000000E+000
0.274,0.0000000000000000E+000,0.0000000000000000E+000
0.276,0.0000000000000000E+000,0.0000000000000000E+000
0.278,0.0000000000000000E+000,0.0000000000000000E+000
0.28,0.0000000000000000E+000,0.0000000000000000E+000
0.282,0.0000000000000000E+000,0.0000000000000000E+000
0.284,0.0000000000000000E+000,0.0000000000000000E+000
0.286,0.0000000000000000E+000,0.0000000000000000E+000
0.288,0.0000000000000000E+000,0.0000000000000000E+000
0.29,0.0000000000000000E+000,0.0000000000000000E+000
0.292,0.0000000000000000E+000,0.0000000000000000E+000
0.294,0.0000000000000000E+000,0.0000000000000000E+000
0.296,0.0000000000000000E+000,0.0000000000000000E+000
0.298,0.0000000000000000E+000,0.0000000000000000E+000
0.3,-1.0231815394945443E-012,-1.1990408665951691E-014
0.302,-8.9746333011651132E+000,-1.1376242869675657E-001
0.304,-1.7299918145781248E+001,-2.2568304293645081E-001
0.306,-2.4983375462250706E+001,-3.3577128327650352E-001
0.308,-3.2032526128929362E+001,-4.4403658943789526E-001
0.31,-3.8454890974138834E+001,-5.5048840030529300E-001
0.312,-4.4257990776164661E+001,-6.5513615392711266E-001
0.314,-4.9449346263272105E+001,-7.5798928751561223E-001
0.316,-5.4036478113699559E+001,-8.5905723744701878E-001
0.318,-5.8026906955679465E+001,-9.5834943926160487E-001
0.32,-6.1428153367426717E+001,-1.0558753276637729E+000
0.322,-6.4247737877151735E+001,-1.1516443365220599E+000
0.324,-6.6493180963078885E+001,-1.2456658988694265E+000
0.326,-6.8172003053429762E+001,-1.3379494469032021E+000
0.328,-6.9291724526467874E+001,-1.4285044119850965E+000
0.33,-6.9859865710437134E+001,-1.5173402246414929E+000
0.332,-6.9883946883650765E+001,-1.6044663145634437E+000
0.334,-6.9371488274408421E+001,-1.6898921106066995E+000
0.336,-6.8330010061078610E+001,-1.7736270407919932E+000
0.338,-6.6767032372075164E+001,-1.8556805323047891E+000
0.34,-6.4690075285823923E+001,-1.9360620114957137E+000
0.342,-6.2106658830862898E+001,-2.0147809038805140E+000
0.344,-5.9024302985732106E+001,-2.0918466341401558E+000
0.346,-5.5450527679100219E+001,-2.1672686261208152E+000
0.348,-5.1392852789668041E+001,-2.2410563028341417E+000
0.35,-4.6858798146236836E+001,-2.3132190864571749E+000
0.352,-4.1855883527644778E+001,-2.3837663983327055E+000
0.354,-3.6391628662891662E+001,-2.4527076589689041E+000
0.356,-3.0473553231026472E+001,-2.5200522880398735E+000
0.358,-2.4109176861196943E+001,-2.5858097043855608E+000
0.36,-1.7306019132714027E+001,-2.6499893260119558E+000
0.362,-1.0071599574920128E+001,-2.7126005700907445E+000
0.364,-2.4134376673022189E+000,-2.7736528529599358E+000
0.366,5.6609471604697319E+000,-2.8331555901238592E+000
0.368,1.4144035528651102E+001,-2.8911181962527852E+000
0.37,2.3028308107362818E+001,-2.9475500851835932E+000
0.372,3.2306245616520300E+001,-3.0024606699197598E+000
0.374,4.1970328825951924E+001,-3.0558593626310788E+000
0.376,5.2013038555333765E+001,-3.1077555746541181E+000
0.378,6.2426855674183798E+001,-3.1581587164920539E+000
0.38,7.3204261101819725E+001,-3.2070781978150200E+000
0.382,8.4337735807387389E+001,-3.2545234274602142E+000
0.384,9.5819760809854529E+001,-3.3005038134315701E+000
0.386,1.0764281717803988E+002,-3.3450287629001165E+000
0.388,1.1979938603057644E+002,-3.3881076822042102E+000
0.39,1.3228194853586461E+002,-3.4297499768494877E+000
0.392,1.4508298591214253E+002,-3.4699650515091132E+000
0.394,1.5819497942740452E+002,-3.5087623100232541E+000
0.396,1.7161041039943063E+002,-3.5461511554002412E+000
0.398,1.8532176019582249E+002,-3.5821409898154313E+000
0.4,1.9932151023391998E+002,-3.6167412146122118E+000
0.402,2.1360214198087266E+002,-3.6499612303019524E+000
0.404,2.2815613695355466E+002,-3.6818104365636168E+000
0.406,2.4297597671859779E+002,-3.7122982322443274E+000
0.408,2.5805414289247238E+002,-3.7414340153592938E+000
0.41,2.7338311714127002E+002,-3.7692271830917345E+000
0.412,2.8895538118095072E+002,-3.7956871317934793E+000
0.414,3.0476341677708211E+002,-3.8208232569845464E+000
