"Time [s]","Inertia.w [rad/s]","Piston.r_0[2] [m]"
0,0,0.399999925000011
1E-006,9.40383143976429E-006,0.39999992500001
6E-006,5.64230018455651E-005,0.399999924999967
1.6E-005,0.000150461391313737,0.399999924999812
2.6E-005,0.000244499922272335,0.399999924999516
3.6E-005,0.000338538683153029,0.399999924999079
4.6E-005,0.000432577762387704,0.3999999249985
5.6E-005,0.000526617248408543,0.399999924997781
6.6E-005,0.000620657229648113,0.39999992499692
7.6E-005,0.000714697794539447,0.399999924995919
8.6E-005,0.000808739031516126,0.399999924994776
9.6E-005,0.000902781029012362,0.399999924993492
0.000106,0.000996823875463085,0.399999924992068
0.000116,0.00109086765930402,0.399999924990502
0.000126,0.00118491246897178,0.399999924988795
0.000136,0.00127895839290393,0.399999924986947
0.000146,0.00137300551953909,0.399999924984958
0.000156,0.00146705393731702,0.399999924982827
0.000166,0.00156110373467868,0.399999924980556
0.000176,0.00165515500006633,0.399999924978144
0.000186,0.00174920782192362,0.39999992497559
0.000196,0.00184326228869565,0.399999924972895
0.000206,0.00193731848882908,0.399999924970059
0.000216,0.00203137651077218,0.399999924967082
0.000226,0.00212543644297497,0.399999924963964
0.000236,0.00221949837388922,0.399999924960704
0.000246,0.00231356239196861,0.399999924957303
0.000256,0.00240762858566878,0.399999924953761
0.000266,0.0025016970434474,0.399999924950078
0.000276,0.00259576785376428,0.399999924946254
0.000286,0.00268984110508146,0.399999924942288
0.000296,0.00278391688586324,0.399999924938181
0.000306,0.00287799528457631,0.399999924933933
0.000316,0.00297207638968984,0.399999924929543
0.000326,0.00306616028967553,0.399999924925013
0.000336,0.00316024707300771,0.39999992492034
0.000346,0.00325433682816341,0.399999924915527
0.000356,0.00334842964362249,0.399999924910572
0.000366,0.00344252560786763,0.399999924905475
0.000376,0.00353662480938453,0.399999924900238
0.000386,0.00363072733666191,0.399999924894858
0.000396,0.00372483327819159,0.399999924889338
0.000406,0.00381894272246865,0.399999924883676
0.000416,0.00391305575799143,0.399999924877872
0.000426,0.00400717247326166,0.399999924871927
0.000436000000000001,0.00410129295678453,0.39999992486584
0.000446000000000001,0.00419541729706876,0.399999924859612
0.000456000000000001,0.00428954558262672,0.399999924853242
0.000466000000000001,0.00438367790197446,0.399999924846731
0.000476000000000001,0.00447781434363185,0.399999924840078
0.000486000000000001,0.00457195499612263,0.399999924833283
0.000496000000000001,0.00466609994797449,0.399999924826347
0.000506000000000001,0.00476024928771917,0.399999924819269
0.000516000000000001,0.00485440310389253,0.399999924812049
0.000526000000000001,0.00494856148503465,0.399999924804687
0.000536000000000001,0.00504272451968989,0.399999924797184
0.000546000000000001,0.00513689229640699,0.399999924789539
0.000556000000000001,0.00523106490373916,0.399999924781752
0.000566000000000001,0.00532524243024413,0.399999924773823
0.000576000000000001,0.00541942496448429,0.399999924765752
0.000586000000000001,0.0055136125950267,0.399999924757539
0.000596000000000001,0.00560780541044323,0.399999924749184
0.000606000000000001,0.00570200349931064,0.399999924740687
0.000616000000000001,0.00579620695021061,0.399999924732049
0.000626000000000001,0.00589041585172991,0.399999924723268
0.000636000000000001,0.0059846302924604,0.399999924714345
0.000646000000000001,0.00607885036099916,0.39999992470528
0.000656000000000001,0.00617307614594857,0.399999924696072
0.000666000000000001,0.00626730773591636,0.399999924686723
0.000676000000000001,0.00636154521951576,0.399999924677231
0.000686000000000001,0.00645578868536549,0.399999924667597
0.000696000000000001,0.00655003822208994,0.399999924657821
0.000706000000000001,0.00664429391831919,0.399999924647902
0.000716000000000001,0.00673855586268912,0.399999924637841
0.000726000000000001,0.00683282414384146,0.399999924627638
0.000736000000000001,0.00692709885042393,0.399999924617292
0.000746000000000001,0.00702138007109027,0.399999924606804
0.000756000000000001,0.00711566789450037,0.399999924596173
0.000766000000000001,0.0072099624093203,0.399999924585399
0.000776000000000001,0.00730426370422244,0.399999924574483
0.000786000000000001,0.00739857186788554,0.399999924563424
0.000796000000000001,0.00749288698899481,0.399999924552223
0.000806000000000001,0.007587209156242,0.399999924540879
0.000816000000000002,0.00768153845832548,0.399999924529392
0.000826000000000002,0.00777587498395035,0.399999924517762
0.000836000000000002,0.00787021882182849,0.399999924505989
0.000846000000000002,0.00796457006067864,0.399999924494074
0.000856000000000002,0.00805892878922652,0.399999924482015
0.000866000000000002,0.00815329509620489,0.399999924469813
0.000876000000000002,0.00824766907035364,0.399999924457469
0.000886000000000002,0.00834205080041984,0.399999924444981
0.000896000000000002,0.00843644037515789,0.39999992443235
0.000906000000000002,0.00853083788332956,0.399999924419576
0.000916000000000002,0.00862524341370405,0.399999924406659
0.000926000000000002,0.00871965705505815,0.399999924393598
0.000936000000000002,0.00881407889617623,0.399999924380394
0.000946000000000002,0.0089085090258504,0.399999924367047
0.000956000000000002,0.00900294753288056,0.399999924353556
0.000966000000000002,0.00909739450607449,0.399999924339922
0.000976000000000002,0.00919185003424791,0.399999924326144
0.000986000000000002,0.0092863142062246,0.399999924312223
0.000996000000000002,0.00938078711083648,0.399999924298158
0.001006,0.00947526883692366,0.399999924283949
0.001016,0.00956975947333456,0.399999924269597
0.001026,0.00966425910892596,0.3999999242551
0.001036,0.00975876783256312,0.39999992424046
0.001046,0.00985328573311984,0.399999924225676
0.001056,0.00994781289947855,0.399999924210748
0.001066,0.0100423494205304,0.399999924195676
0.001076,0.0101368953851753,0.39999992418046
0.001086,0.0102314508823221,0.3999999241651
0.001096,0.0103260160008886,0.399999924149595
0.001106,0.0104205908298015,0.399999924133947
0.001116,0.010515175457997,0.399999924118153
