"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0.0322002,5.3125679802200057E+002,-8.7994415673011531E+001,3.0370115147636562E+002,-2.1570673580335409E+002,-5.3564742268492921E+002,5.3577513487734745E+002,-1.2771219241824383E-001,2.2111968763069808E+003
0.0324002,5.2783830437212214E+002,-1.9902196795105360E+002,1.9930515394317794E+002,-2.8318599212435874E-001,-5.3223556742014455E+002,4.0771092136510617E+002,1.2452464605503837E+002,1.6147259930073976E+003
0.0326002,5.2396339596638200E+002,-2.2577089530727005E+002,2.2599462633559821E+002,-2.2373102832815775E-001,-5.2841410511052379E+002,3.7607267858474307E+002,1.5234142652578072E+002,1.7190423900972814E+003
0.0328002,5.2057963318121813E+002,-2.7200378295041378E+002,2.7216717605078992E+002,-1.6339310037614033E-001,-5.2512275443783165E+002,3.4425800910345447E+002,1.8086474533437718E+002,1.9293389341139816E+003
0.0330002,5.1791578582404782E+002,-3.3299868888475140E+002,3.3310109921925556E+002,-1.0241033450415273E-001,-5.2258084111552489E+002,3.1249563901495486E+002,2.1008520210057003E+002,2.2319481229152852E+003
0.0332002,5.1613518958397901E+002,-4.0368360166984911E+002,4.0372462507167785E+002,-4.1023401828713633E-002,-5.2094155673397427E+002,2.8098249979302432E+002,2.3995905694094995E+002,2.6096612194508361E+003
0.0334002,5.1533192628701272E+002,-4.7876441631333478E+002,4.7874389088186285E+002,2.0525431471931994E-002,-5.2028839497388662E+002,2.4988147148827184E+002,2.7040692348561481E+002,3.0396123300792306E+003
0.0336002,5.1552874444131203E+002,-5.5285749743364931E+002,5.5277550417337761E+002,8.1993260271738172E-002,-5.2063333728083728E+002,2.1931999750796044E+002,3.0131333977287682E+002,3.4923208825000215E+003
0.0338002,5.1667676120682984E+002,-6.2062382130971298E+002,6.2048068381058056E+002,1.4313749913241150E-001,-5.2191682311836576E+002,1.8938959042429914E+002,3.3252723269406670E+002,3.9320710119762998E+003
0.0340002,5.1865694656905816E+002,-6.7690166336233028E+002,6.7669794652265296E+002,2.0371683967731885E-001,-5.2400949951249709E+002,1.6014622805927115E+002,3.6386327145322593E+002,4.3186457935249591E+003
0.0342002,5.2128335025917863E+002,-7.1683484002473028E+002,7.1657134782180492E+002,2.6349220292540054E-001,-5.2671570444797044E+002,1.3161161901531523E+002,3.9510408543265521E+002,4.6102717835443145E+003
0.0344002,5.2430799273608250E+002,-7.3599362269221513E+002,7.3567139500938845E+002,3.2222768282668507E-001,-5.2977859966719166E+002,1.0377529730657301E+002,4.2600330236061865E+002,4.7674812758163307E+003
0.0346002,5.2742730419776228E+002,-7.3048561386274719E+002,7.3010592238547144E+002,3.7969147727569291E-001,-5.3288683141987485E+002,7.6597487226542171E+001,4.5628934419333274E+002,4.7574809140660927E+003
0.0348002,5.3028996094436184E+002,-6.9705410765901740E+002,6.9661845085608900E+002,4.3565680292844722E-001,-5.3568256353035258E+002,5.0012662472768994E+001,4.8566990105758350E+002,4.5585378911142652E+003
0.0350002,5.3250593723380496E+002,-6.3316174331637410E+002,6.3267184052616142E+002,4.8990279021272443E-001,-5.3777069654101365E+002,2.3933708212994503E+001,5.1383698832801917E+002,4.1638670114498909E+003
0.0352002,5.3365660886043941E+002,-5.3716990852256708E+002,5.3640306163459286E+002,7.6684688797428091E-001,-5.3872910544488218E+002,5.3563567911095333E-001,5.3819346976577128E+002,3.5825243110860756E+003
0.0354002,5.3338610479543547E+002,-4.2444650710911492E+002,3.9054029897832527E+002,3.3906208130789636E+001,-5.3820001601540207E+002,3.5663373421380129E-001,5.3784338228118827E+002,2.8883101596082852E+003
0.0356002,5.3157435040449559E+002,-3.0583335613423139E+002,1.8337658375655420E+002,1.2245677237767718E+002,-5.3606248870754723E+002,6.0919750459106581E-002,5.3600156895708812E+002,2.2163899720461050E+003
0.0358002,5.2822037990986576E+002,-2.2307563912485824E+002,2.6348034397116221E-001,2.2281215878088707E+002,-3.9807290513671569E+002,-1.3459229768547303E+002,5.3266520282218880E+002,1.7255469011965338E+003
0.0360002,5.2469052743037480E+002,-2.5367103811329790E+002,2.0370479621961471E-001,2.5346733331707827E+002,-3.6645080391943850E+002,-1.6274580399523128E+002,5.2919660791466981E+002,1.8539656736028905E+003
0.0362002,5.2169177354365820E+002,-3.0191742013897596E+002,1.4312531870126685E-001,3.0177429482027469E+002,-3.3470993754943663E+002,-1.9158447572299409E+002,5.2629441327243069E+002,2.0823371000110983E+003
0.0364002,5.1942804490423339E+002,-3.6303868804330079E+002,8.1980990937750492E-002,3.6295670705236307E+002,-3.0306703281847541E+002,-2.2108595989981603E+002,5.2415299271829144E+002,2.3954736273226526E+003
0.0366002,5.1803742050492463E+002,-4.3195545179032143E+002,2.0513121656556686E-002,4.3193493866866487E+002,-2.7170670406367748E+002,-2.5119356189401964E+002,5.2290026595769712E+002,2.7741191812822817E+003
0.0368002,5.1758893710992788E+002,-5.0341305451497863E+002,-4.1035703544258999E-002,5.0345409021852288E+002,-2.4077950774552136E+002,-2.8181525232544288E+002,5.2259476007096418E+002,3.1932780293668966E+003
0.0370002,5.1808112858850791E+002,-5.7211312959777945E+002,-1.0242257957061686E-001,5.7221555217735011E+002,-2.1040086498582423E+002,-3.1282354697891822E+002,5.2322441196474244E+002,3.6217333181644276E+003
0.0372002,5.1944232634621926E+002,-6.3284570609443642E+002,-1.6340524046784019E-001,6.3300911133490422E+002,-1.8065086457063597E+002,-3.4405626844355322E+002,5.2470713301418914E+002,4.0228766808220603E+003
0.0374002,5.2153270819234172E+002,-6.8061887758720479E+002,-2.2374301553369755E-001,6.8084262060273852E+002,-1.5157493899410838E+002,-3.7531817827059780E+002,5.2689311726470623E+002,4.3568123197632831E+003
0.0376002,5.2414804353777390E+002,-7.1078311359694692E+002,-2.8319777913571487E-001,7.1106631137608258E+002,-1.2318538645632873E+002,-4.0638344878953950E+002,5.2956883524586829E+002,4.5835445439097493E+003
0.0378002,5.2702504466246273E+002,-7.1914742146050605E+002,-3.4153489048425473E-001,7.1948895635099029E+002,-9.5463692766904160E+001,-4.3699892478570780E+002,5.3246261755261196E+002,4.6669224137661677E+003
0.0380002,5.2984819776878362E+002,-7.0208475696785786E+002,-3.9852411965252077E-001,7.0248328108751036E+002,-6.8363589265351379E+001,-4.6688810744159321E+002,5.3525169670694459E+002,4.5789125833576209E+003
0.0382002,5.3225791444109313E+002,-6.5662432964362597E+002,-4.5394055618888701E-001,6.5707827019981482E+002,-4.1814766541744859E+001,-4.9575577667073406E+002,5.3757054321247892E+002,4.3037121392167483E+003
0.0384002,5.3385981468764317E+002,-5.8052874767088838E+002,-5.0756549673570994E-001,5.8103631316762414E+002,-1.5727149283832432E+001,-5.2329315358453164E+002,5.3902030286836407E+002,3.8412036109569717E+003
0.0386002,5.3423928397927853E+002,-4.6997017986228883E+002,-5.3259276865696661E+000,4.7529610754885852E+002,-4.6464378753194069E-001,-5.3871882905640086E+002,5.3918347284393280E+002,3.2074263170398144E+003
