"time","Resistor_1.R","Resistor_1.v","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0.0106,1.0499999999999991E+002,5.3203580510023619E+002,-4.8651118629999161E+001,-2.4169239400000055E+002,2.9034351259999966E+002
0.0107,1.0599999999999991E+002,5.2912641340609002E+002,-5.8275588839999166E+001,-2.3542546230000053E+002,2.9370105109999969E+002
0.0108,1.0699999999999991E+002,5.2569483788157447E+002,-6.7842548069999182E+001,-2.2892619410000057E+002,2.9676874219999974E+002
0.0109,1.0799999999999989E+002,5.2174446492413165E+002,-7.7342554909999023E+001,-2.2220100340000070E+002,2.9954355829999969E+002
0.011,1.0899999999999989E+002,5.1727919313120344E+002,-8.6766233979999015E+001,-2.1525652710000071E+002,3.0202276109999980E+002
0.0111,1.0999999999999990E+002,5.1230342910023148E+002,-9.6104285249999037E+001,-2.0809961860000078E+002,3.0420390379999975E+002
0.0112,1.1099999999999987E+002,5.0682208352865973E+002,-1.0534749319999888E+002,-2.0073734090000087E+002,3.0608483409999980E+002
0.0113,1.1199999999999989E+002,5.0084056571393324E+002,-1.1448673589999888E+002,-1.9317695970000091E+002,3.0766369559999981E+002
0.0114,1.1299999999999987E+002,4.9436477855350046E+002,-1.2351299399999891E+002,-1.8542593610000097E+002,3.0893893009999982E+002
0.0115,1.1399999999999987E+002,4.8740111304481337E+002,-1.3241735969999874E+002,-1.7749191950000107E+002,3.0990927919999984E+002
0.0116,1.1499999999999986E+002,4.7995644158532861E+002,-1.4119104539999881E+002,-1.6938273990000113E+002,3.1057378529999994E+002
0.0117,1.1599999999999986E+002,4.7203811097250838E+002,-1.4982539259999876E+002,-1.6110639990000115E+002,3.1093179259999994E+002
0.0118,1.1699999999999984E+002,4.6929474763788585E+002,-1.5831188029999871E+002,-1.5267106740000133E+002,3.1098294770000001E+002
0.0119,1.1799999999999984E+002,4.7736925234674516E+002,-1.6664213319999868E+002,-1.4408506690000132E+002,3.1072720020000008E+002
0.012,1.1899999999999983E+002,4.8497265124649823E+002,-1.7480793049999858E+002,-1.3535687190000149E+002,3.1016480240000010E+002
0.0121,1.1999999999999983E+002,4.9209744083612941E+002,-1.8280121349999860E+002,-1.2649509600000154E+002,3.0929630950000018E+002
0.0122,1.2099999999999982E+002,4.9873658951457793E+002,-1.9061409369999865E+002,-1.1750848470000156E+002,3.0812257840000018E+002
0.0123,1.2199999999999982E+002,5.0488354538073941E+002,-1.9823886079999855E+002,-1.0840590670000174E+002,3.0664476750000023E+002
0.0124,1.2299999999999980E+002,5.1053224223346655E+002,-2.0566799009999858E+002,-9.9196345190001765E+001,3.0486433530000033E+002
0.0125,1.2399999999999982E+002,5.1567710537156904E+002,-2.1289414989999861E+002,-8.9888888850001777E+001,3.0278303880000038E+002
0.0126,1.2499999999999979E+002,5.2031305749381590E+002,-2.1991020889999851E+002,-8.0492723030001954E+001,3.0040293200000053E+002
0.0127,1.2599999999999979E+002,5.2443552339893461E+002,-2.2670924309999862E+002,-7.1017120600001974E+001,2.9772636370000055E+002
0.0128,1.2699999999999980E+002,5.2804043488561308E+002,-2.3328454269999861E+002,-6.1471432860001990E+001,2.9475597550000060E+002
