"Time [s]","heatCapacitor.T [K]","TAmb [K]","TDif [K]","TRes [K]"
0,293.15,293.15,2,293.15
1E-005,293.150100292811,293.15,2,293.150099999661
6E-005,293.150599994484,293.15,2,293.150599994484
0.00031,293.153099925099,293.15,2,293.153099925099
0.00131,293.163098777557,293.15,2,293.163098777557
0.00231,293.173096238157,293.15,2,293.173096238157
0.00331,293.183092307124,293.15,2,293.183092307124
0.00431,293.19308698468,293.15,2,293.19308698468
0.00531,293.203080271052,293.15,2,293.203080271052
0.00631,293.213072166463,293.15,2,293.213072166463
0.00731,293.223062671137,293.15,2,293.223062671137
0.00831,293.2330517853,293.15,2,293.2330517853
0.00931,293.243039509174,293.15,2,293.243039509174
0.01031,293.253025842984,293.15,2,293.253025842984
0.01131,293.263010786955,293.15,2,293.263010786955
0.01231,293.27299434131,293.15,2,293.27299434131
0.01331,293.282976506273,293.15,2,293.282976506273
0.01431,293.292957282068,293.15,2,293.292957282068
0.01531,293.30293666892,293.15,2,293.30293666892
0.01631,293.312914667051,293.15,2,293.312914667051
0.01731,293.322891276687,293.15,2,293.322891276687
0.01831,293.33286649805,293.15,2,293.33286649805
0.01931,293.342840331364,293.15,2,293.342840331364
0.02031,293.352812776853,293.15,2,293.352812776853
0.02131,293.362783834741,293.15,2,293.362783834741
0.02231,293.372753505251,293.15,2,293.372753505251
0.02331,293.382721788607,293.15,2,293.382721788607
0.02431,293.392688685031,293.15,2,293.392688685031
0.02531,293.402654194749,293.15,2,293.402654194749
0.02631,293.412618317982,293.15,2,293.412618317982
0.02731,293.422581054955,293.15,2,293.422581054955
0.02831,293.432542405891,293.15,2,293.432542405891
0.02931,293.442502371012,293.15,2,293.442502371012
0.03031,293.452460950543,293.15,2,293.452460950543
0.03131,293.462418144706,293.15,2,293.462418144706
0.03231,293.472373953724,293.15,2,293.472373953724
0.03331,293.48232837782,293.15,2,293.48232837782
0.03431,293.492281417218,293.15,2,293.492281417218
0.03531,293.50223307214,293.15,2,293.50223307214
0.03631,293.51218334281,293.15,2,293.51218334281
0.03731,293.522132229449,293.15,2,293.522132229449
0.03831,293.532079732282,293.15,2,293.532079732282
0.03931,293.54202585153,293.15,2,293.54202585153
0.04031,293.551970587417,293.15,2,293.551970587417
0.04131,293.561913940165,293.15,2,293.561913940165
0.04231,293.571855909996,293.15,2,293.571855909996
0.04331,293.581796497134,293.15,2,293.581796497134
0.04431,293.591735701801,293.15,2,293.591735701801
0.04531,293.601673524219,293.15,2,293.601673524219
0.04631,293.611609964611,293.15,2,293.611609964611
0.04731,293.6215450232,293.15,2,293.6215450232
0.04831,293.631478700206,293.15,2,293.631478700206
0.04931,293.641410995854,293.15,2,293.641410995854
0.05031,293.651341910365,293.15,2,293.651341910365
0.05131,293.661271443961,293.15,2,293.661271443961
0.05231,293.671199596865,293.15,2,293.671199596865
0.05331,293.681126369298,293.15,2,293.681126369298
0.05431,293.691051761483,293.15,2,293.691051761483
0.05531,293.700975773641,293.15,2,293.700975773641
0.05631,293.710898405995,293.15,2,293.710898405995
0.05731,293.720819658767,293.15,2,293.720819658767
0.05831,293.730739532178,293.15,2,293.730739532178
0.05931,293.740658026451,293.15,2,293.740658026451
0.06031,293.750575141807,293.15,2,293.750575141807
0.06131,293.760490878467,293.15,2,293.760490878467
0.06231,293.770405236654,293.15,2,293.770405236654
0.06331,293.780318216589,293.15,2,293.780318216589
0.06431,293.790229818494,293.15,2,293.790229818494
0.06531,293.80014004259,293.15,2,293.80014004259
0.06631,293.810048889099,293.15,2,293.810048889099
0.0673100000000001,293.819956358242,293.15,2,293.819956358242
0.0683100000000001,293.829862450241,293.15,2,293.829862450241
0.0693100000000001,293.839767165317,293.15,2,293.839767165317
0.0703100000000001,293.849670503691,293.15,2,293.849670503691
0.0713100000000001,293.859572465585,293.15,2,293.859572465585
0.0723100000000001,293.86947305122,293.15,2,293.86947305122
0.0733100000000001,293.879372260817,293.15,2,293.879372260817
0.0743100000000001,293.889270094597,293.15,2,293.889270094597
0.0753100000000001,293.899166552781,293.15,2,293.899166552781
0.0763100000000001,293.90906163559,293.15,2,293.90906163559
0.0773100000000001,293.918955343246,293.15,2,293.918955343246
0.0783100000000001,293.928847675969,293.15,2,293.928847675969
0.0793100000000001,293.93873863398,293.15,2,293.93873863398
0.0803100000000001,293.9486282175,293.15,2,293.9486282175
0.0813100000000001,293.958516426749,293.15,2,293.958516426749
0.0823100000000001,293.968403261949,293.15,2,293.968403261949
0.0833100000000001,293.978288723321,293.15,2,293.978288723321
0.0843100000000001,293.988172811084,293.15,2,293.988172811084
0.0853100000000001,293.99805552546,293.15,2,293.99805552546
0.0863100000000001,294.007936866669,293.15,2,294.007936866669
0.0873100000000001,294.017816834931,293.15,2,294.017816834931
0.0883100000000001,294.027695430468,293.15,2,294.027695430468
0.0893100000000001,294.037572653499,293.15,2,294.037572653499
0.0903100000000001,294.047448504244,293.15,2,294.047448504244
0.0913100000000001,294.057322982926,293.15,2,294.057322982926
0.0923100000000001,294.067196089762,293.15,2,294.067196089762
0.0933100000000001,294.077067824975,293.15,2,294.077067824975
0.0943100000000001,294.086938188783,293.15,2,294.086938188783
0.0953100000000001,294.096807181408,293.15,2,294.096807181408
0.0963100000000001,294.106674803069,293.15,2,294.106674803069
0.0973100000000001,294.116541053986,293.15,2,294.116541053986
0.0983100000000001,294.126405934379,293.15,2,294.126405934379
0.0993100000000001,294.136269444469,293.15,2,294.136269444469
0.10031,294.146131584474,293.15,2,294.146131584474
0.10131,294.155992354616,293.15,2,294.155992354616
0.10231,294.165851755114,293.15,2,294.165851755114
0.10331,294.175709786188,293.15,2,294.175709786188
0.10431,294.185566448057,293.15,2,294.185566448057
0.10531,294.195421740941,293.15,2,294.195421740941
0.10631,294.20527566506,293.15,2,294.20527566506
0.10731,294.215128220633,293.15,2,294.215128220633
0.10831,294.22497940788,293.15,2,294.22497940788
0.10931,294.234829227021,293.15,2,294.234829227021
0.11031,294.244677678274,293.15,2,294.244677678274
0.11131,294.25452476186,293.15,2,294.25452476186
0.11231,294.264370477997,293.15,2,294.264370477997
0.11331,294.274214826905,293.15,2,294.274214826905
0.11431,294.284057808804,293.15,2,294.284057808804
0.11531,294.293899423912,293.15,2,294.293899423912
0.11631,294.303739672448,293.15,2,294.303739672448
0.11731,294.313578554633,293.15,2,294.313578554633
0.11831,294.323416070684,293.15,2,294.323416070684
0.11931,294.333252220821,293.15,2,294.333252220821
0.12031,294.343087005264,293.15,2,294.343087005264
0.12131,294.35292042423,293.15,2,294.35292042423
0.12231,294.362752477939,293.15,2,294.362752477939
0.12331,294.372583166609,293.15,2,294.372583166609
0.12431,294.38241249046,293.15,2,294.38241249046
0.12531,294.39224044971,293.15,2,294.39224044971
0.12631,294.402067044578,293.15,2,294.402067044578
0.12731,294.411892275283,293.15,2,294.411892275283
0.12831,294.421716142043,293.15,2,294.421716142043
0.12931,294.431538645076,293.15,2,294.431538645076
0.13031,294.441359784603,293.15,2,294.441359784603
0.13131,294.45117956084,293.15,2,294.45117956084
0.13231,294.460997974006,293.15,2,294.460997974006
0.13331,294.47081502432,293.15,2,294.47081502432
0.13431,294.480630712,293.15,2,294.480630712
0.13531,294.490445037265,293.15,2,294.490445037265
0.13631,294.500258000332,293.15,2,294.500258000332
0.13731,294.51006960142,293.15,2,294.51006960142
0.13831,294.519879840747,293.15,2,294.519879840747
0.13931,294.529688718532,293.15,2,294.529688718532
0.14031,294.539496234991,293.15,2,294.539496234991
0.14131,294.549302390344,293.15,2,294.549302390344
0.14231,294.559107184808,293.15,2,294.559107184808
0.14331,294.568910618602,293.15,2,294.568910618602
0.14431,294.578712691942,293.15,2,294.578712691942
0.14531,294.588513405048,293.15,2,294.588513405048
0.14631,294.598312758136,293.15,2,294.598312758136
0.14731,294.608110751425,293.15,2,294.608110751425
0.14831,294.617907385132,293.15,2,294.617907385132
0.14931,294.627702659475,293.15,2,294.627702659475
0.15031,294.637496574671,293.15,2,294.637496574671
0.15131,294.647289130939,293.15,2,294.647289130939
0.15231,294.657080328495,293.15,2,294.657080328495
0.15331,294.666870167558,293.15,2,294.666870167558
0.15431,294.676658648344,293.15,2,294.676658648344
0.15531,294.686445771071,293.15,2,294.686445771071
0.15631,294.696231535956,293.15,2,294.696231535956
0.15731,294.706015943217,293.15,2,294.706015943217
0.15831,294.715798993071,293.15,2,294.715798993071
0.15931,294.725580685735,293.15,2,294.725580685735
0.16031,294.735361021427,293.15,2,294.735361021427
0.16131,294.745140000362,293.15,2,294.745140000362
0.16231,294.75491762276,293.15,2,294.75491762276
0.16331,294.764693888835,293.15,2,294.764693888835
0.16431,294.774468798807,293.15,2,294.774468798807
0.16531,294.78424235289,293.15,2,294.78424235289
0.16631,294.794014551303,293.15,2,294.794014551303
0.16731,294.803785394262,293.15,2,294.803785394262
0.16831,294.813554881985,293.15,2,294.813554881985
0.16931,294.823323014687,293.15,2,294.823323014687
0.17031,294.833089792585,293.15,2,294.833089792585
0.17131,294.842855215896,293.15,2,294.842855215896
0.17231,294.852619284838,293.15,2,294.852619284838
0.17331,294.862381999625,293.15,2,294.862381999625
0.17431,294.872143360476,293.15,2,294.872143360476
0.17531,294.881903367606,293.15,2,294.881903367606
0.17631,294.891662021232,293.15,2,294.891662021232
0.17731,294.90141932157,293.15,2,294.90141932157
0.17831,294.911175268836,293.15,2,294.911175268836
0.17931,294.920929863248,293.15,2,294.920929863248
0.18031,294.93068310502,293.15,2,294.93068310502
0.18131,294.94043499437,293.15,2,294.94043499437
0.18231,294.950185531514,293.15,2,294.950185531514
0.18331,294.959934716667,293.15,2,294.959934716667
0.18431,294.969682550046,293.15,2,294.969682550046
0.18531,294.979429031867,293.15,2,294.979429031867
0.18631,294.989174162345,293.15,2,294.989174162345
0.18731,294.998917941697,293.15,2,294.998917941697
0.18831,295.008660370139,293.15,2,295.008660370139
0.18931,295.018401447886,293.15,2,295.018401447886
0.19031,295.028141175155,293.15,2,295.028141175155
0.19131,295.03787955216,293.15,2,295.03787955216
0.19231,295.047616579119,293.15,2,295.047616579119
0.19331,295.057352256245,293.15,2,295.057352256245
0.19431,295.067086583756,293.15,2,295.067086583756
0.19531,295.076819561867,293.15,2,295.076819561867
0.19631,295.086551190793,293.15,2,295.086551190793
0.19731,295.096281470749,293.15,2,295.096281470749
0.19831,295.106010401952,293.15,2,295.106010401952
0.19931,295.115737984616,293.15,2,295.115737984616
0.20031,295.125464218957,293.15,2,295.125464218957
