"time","spring_length_out"
2.04,9.0982516902108409E+02
2.05,8.9701638966923701E+02
2.06,8.8389564547380337E+02
2.07,8.7049875414779490E+02
2.08,8.5686217420916830E+02
2.09,8.4302290606690462E+02
2.1,8.2901839188386384E+02
2.11,8.1488641457875553E+02
2.12,8.0066481697046595E+02
2.13,7.8639218533733845E+02
2.14,7.7210684692802033E+02
2.15,7.5784692596745867E+02
2.16,7.4365037621560623E+02
2.17,7.2955488022782470E+02
2.18,7.1559774960977802E+02
2.19,7.0181529837711457E+02
2.2,6.8824353507265846E+02
2.21,6.7491852234952376E+02
2.22,6.6187513243296576E+02
2.23,6.4914739361844909E+02
2.24,6.3676840189039353E+02
2.25,6.2477023503037128E+02
2.26,6.1318386974692135E+02
2.27,6.0203910207803301E+02
2.28,5.9136447118210299E+02
2.29,5.8118718646783066E+02
2.3,5.7153305856982877E+02
2.31,5.6242643441773441E+02
2.32,5.5389013609648225E+02
2.33,5.4594540401369545E+02
2.34,5.3861184462486051E+02
2.35,5.3190738243791372E+02
2.36,5.2584821665361426E+02
2.37,5.2044878265497084E+02
2.38,5.1572171820646122E+02
2.39,5.1167783461687208E+02
2.4,5.0832609243573722E+02
2.41,5.0567358291152465E+02
2.42,5.0372551392682146E+02
2.43,5.0248520112551643E+02
2.44,5.0195406411849655E+02
2.45,5.0213162775512319E+02
2.46,5.0301552844358741E+02
2.47,5.0460152548982478E+02
2.48,5.0688351741137154E+02
2.49,5.0985356316939396E+02
2.5,5.1350190824915887E+02
2.51,5.1781701550647335E+02
2.52,5.2278560068513264E+02
2.53,5.2839267249821137E+02
2.54,5.3462157715415526E+02
2.55,5.4145404737601257E+02
2.56,5.4887025496134675E+02
2.57,5.5684886814763695E+02
2.58,5.6536711246350740E+02
2.59,5.7440083529726212E+02
2.6,5.8392457395988458E+02
2.61,5.9391162707337082E+02
2.62,6.0433412906781712E+02
2.63,6.1516312758944071E+02
2.64,6.2636866362170701E+02
2.65,6.3791985404247725E+02
2.66,6.4978497640519652E+02
2.67,6.6193155578346182E+02
2.68,6.7432645338302689E+02
2.69,6.8693595666583633E+02
2.7,6.9972587077109665E+02
2.71,7.1266161097130896E+02
2.72,7.2570829596049532E+02
2.73,7.3883102226197866E+02
2.74,7.5199410597356723E+02
2.75,7.6516229916624070E+02
2.76,7.7830047680184975E+02
2.77,7.9137368848879169E+02
2.78,8.0434725120224675E+02
2.79,8.1718684104176850E+02
2.8,8.2985912643453207E+02
2.81,8.4233094353387241E+02
2.82,8.5456918707619775E+02
2.83,8.6654184746165515E+02
2.84,8.7821770868445037E+02
2.85,8.8956642931822773E+02
2.86,9.0055862107395888E+02
2.87,9.1116592485677188E+02
2.88,9.2136108337766086E+02
2.89,9.3111801102915570E+02
2.9,9.4041186037410284E+02
2.91,9.4921908493034073E+02
2.92,9.5751749856866888E+02
2.93,9.6528633111040176E+02
2.94,9.7250627983102549E+02
2.95,9.7915955702731503E+02
2.96,9.8522993347391889E+02
2.97,9.9070277750112371E+02
2.98,9.9556508970962250E+02
2.99,9.9980553332220688E+02
3,1.0034144599355330E+03
3.01,1.0063839309698008E+03
3.02,1.0087077339557645E+03
3.03,1.0103813946287648E+03
3.04,1.0114021842232444E+03
3.05,1.0117691220935303E+03
3.06,1.0114829736663751E+03
3.07,1.0105462437431554E+03
3.08,1.0089631651819964E+03
3.09,1.0067396830023176E+03
3.1,1.0038834339663981E+03
3.11,1.0004037217044648E+03
3.12,9.9631148746151712E+02
3.13,9.9161927655556963E+02
3.14,9.8634120064818512E+02
3.15,9.8049289593906883E+02
3.16,9.7409147724745981E+02
3.17,9.6715548881791847E+02
3.18,9.5970485082573623E+02
3.19,9.5176080255202987E+02
3.2,9.4334584227597679E+02
3.21,9.3448366393234448E+02
3.22,9.2519909074540465E+02
3.23,9.1551800603457946E+02
3.24,9.0546728134761543E+02
3.25,8.9507470218500123E+02
3.26,8.8436889146572616E+02
3.27,8.7337923102224022E+02
3.28,8.6213578117399356E+02
3.29,8.5066919878309386E+02
3.3,8.3901065391908219E+02
3.31,8.2719174538152902E+02
3.32,8.1524441529836599E+02
3.33,8.0320083428718078E+02
3.34,7.9109328783338856E+02
3.35,7.7895466777986303E+02
3.36,7.6681742387964414E+02
3.37,7.5471391480871102E+02
3.38,7.4267632213110869E+02
3.39,7.3073656496806552E+02
3.4,7.1892621559673080E+02
3.41,7.0727585277679407E+02
3.42,6.9581603966370176E+02
3.43,6.8457715285324707E+02
3.44,6.7358857095779535E+02
3.45,6.6287892681684650E+02
3.46,6.5247603309288047E+02
3.47,6.4240681034731404E+02
3.48,6.3269721770743718E+02
3.49,6.2337218612283482E+02
3.5,6.1445555458480817E+02
3.51,6.0597000952391556E+02
