"time","room.RAT","room.energy","wall.Tisurf","wall.Tosurf","der(room.RAT)","der(room.energy)","der(wall.Tisurf)","der(wall.Tosurf)","OAT","RAT","fanspeed","room.DT","room.EWT","room.Qin","room.Qout","room.SAT","room.fs","room.mdota","room.mdotw","room.vo","valveopen","wall.C","wall.R","room.Awall","room.LWT","room.RATinit","room.cAir","room.cWater","room.eps","room.hAir","room.mdotat","room.mdotwt","room.rohAir","room.vAir","wall.TisurfInit","wall.TosurfInit","wall.aWall","wall.cWall","wall.hi","wall.ho","wall.lWall","wall.lambda_Wall","wall.rhoWall","room.Tisurf","room.fanspeed","room.valveopen","wall.OAT","wall.RAT","wall.lambdaOut"
0.271,1.6000000338675136E+001,1.3164095905323758E-001,1.5999758692420292E+001,9.9968688635636873E+000,1.1702452408927793E-006,4.8575999314521534E-001,-8.9061098946329321E-004,-1.1551842172889046E-002,0.0000000000000000E+000,1.6000000338675136E+001,0.0000000000000000E+000,4.2776489198259748E-001,2.8381727023553807E+001,4.8575999314521534E-001,5.7995101162617857E-002,2.5600000203205084E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999758692420292E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000338675136E+001,1.1920000000000000E-001
0.2715,1.6000000339260257E+001,1.3188383904981019E-001,1.5999758247114796E+001,9.9968630876426001E+000,1.1699524811418707E-006,4.8575999313337248E-001,-8.9061164169795359E-004,-1.1551834192995271E-002,0.0000000000000000E+000,1.6000000339260257E+001,0.0000000000000000E+000,4.2765787822270496E-001,2.8381727023837058E+001,4.8575999313337248E-001,5.8102114910667524E-002,2.5600000203556156E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999758247114796E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000339260257E+001,1.1920000000000000E-001
0.272,1.6000000339845233E+001,1.3212671904637688E-001,1.5999757801808975E+001,9.9968573117255044E+000,1.1696597212731729E-006,4.8575999312153251E-001,-8.9061229393191759E-004,-1.1551826213107101E-002,0.0000000000000000E+000,1.6000000339845233E+001,0.0000000000000000E+000,4.2755086441975643E-001,2.8381727024120245E+001,4.8575999312153251E-001,5.8209128701776081E-002,2.5600000203907143E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999757801808975E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000339845233E+001,1.1920000000000000E-001
0.2725,1.6000000340430063E+001,1.3236959904293766E-001,1.5999757356502828E+001,9.9968515358123984E+000,1.1693669612855201E-006,4.8575999310969559E-001,-8.9061294616518455E-004,-1.1551818233224539E-002,0.0000000000000000E+000,1.6000000340430063E+001,0.0000000000000000E+000,4.2744385057332573E-001,2.8381727024403354E+001,4.8575999310969559E-001,5.8316142536369853E-002,2.5600000204258041E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999757356502828E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000340430063E+001,1.1920000000000000E-001
0.273,1.6000000341014747E+001,1.3261247903949250E-001,1.5999756911196355E+001,9.9968457599032821E+000,1.1690742011800780E-006,4.8575999309786155E-001,-8.9061359839775556E-004,-1.1551810253347578E-002,0.0000000000000000E+000,1.6000000341014747E+001,0.0000000000000000E+000,4.2733683668383904E-001,2.8381727024686398E+001,4.8575999309786155E-001,5.8423156414022515E-002,2.5600000204608847E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999756911196355E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000341014747E+001,1.1920000000000000E-001
0.2735,1.6000000341599286E+001,1.3285535903604143E-001,1.5999756465889556E+001,9.9968399839981554E+000,1.1687814409556807E-006,4.8575999308603052E-001,-8.9061425062962997E-004,-1.1551802273476231E-002,0.0000000000000000E+000,1.6000000341599286E+001,0.0000000000000000E+000,4.2722982275087013E-001,2.8381727024969369E+001,4.8575999308603052E-001,5.8530170335160392E-002,2.5600000204959574E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999756465889556E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000341599286E+001,1.1920000000000000E-001
0.274,1.6000000342183675E+001,1.3309823903258444E-001,1.5999756020582431E+001,9.9968342080970185E+000,1.1684886806158272E-006,4.8575999307420248E-001,-8.9061490286080919E-004,-1.1551794293610482E-002,0.0000000000000000E+000,1.6000000342183675E+001,0.0000000000000000E+000,4.2712280877569797E-001,2.8381727025252271E+001,4.8575999307420248E-001,5.8637184298504508E-002,2.5600000205310206E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999756020582431E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000342183675E+001,1.1920000000000000E-001
0.2745,1.6000000342767919E+001,1.3334111902912155E-001,1.5999755575274980E+001,9.9968284321998713E+000,1.1681959201570182E-006,4.8575999306237733E-001,-8.9061555509129182E-004,-1.1551786313750345E-002,0.0000000000000000E+000,1.6000000342767919E+001,0.0000000000000000E+000,4.2701579475704349E-001,2.8381727025535103E+001,4.8575999306237733E-001,5.8744198305333839E-002,2.5600000205660752E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999755575274980E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000342767919E+001,1.1920000000000000E-001
0.275,1.6000000343352017E+001,1.3358399902565274E-001,1.5999755129967202E+001,9.9968226563067137E+000,1.1679031595792541E-006,4.8575999305055523E-001,-8.9061620732107751E-004,-1.1551778333895811E-002,0.0000000000000000E+000,1.6000000343352017E+001,0.0000000000000000E+000,4.2690878069490684E-001,2.8381727025817860E+001,4.8575999305055523E-001,5.8851212355648386E-002,2.5600000206011213E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999755129967202E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000343352017E+001,1.1920000000000000E-001
0.2755,1.6000000343935969E+001,1.3382687902217802E-001,1.5999754684659099E+001,9.9968168804175477E+000,1.1676103988837009E-006,4.8575999303873607E-001,-8.9061685955016694E-004,-1.1551770354046885E-002,0.0000000000000000E+000,1.6000000343935969E+001,0.0000000000000000E+000,4.2680176658971425E-001,2.8381727026100549E+001,4.8575999303873607E-001,5.8958226449021822E-002,2.5600000206361582E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999754684659099E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000343935969E+001,1.1920000000000000E-001
0.276,1.6000000344519776E+001,1.3406975901869739E-001,1.5999754239350668E+001,9.9968111045323713E+000,1.1673176380691921E-006,4.8575999302691975E-001,-8.9061751177855954E-004,-1.1551762374203566E-002,0.0000000000000000E+000,1.6000000344519776E+001,0.0000000000000000E+000,4.2669475244103927E-001,2.8381727026383167E+001,4.8575999302691975E-001,5.9065240585880474E-002,2.5600000206711865E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999754239350668E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000344519776E+001,1.1920000000000000E-001
0.2765,1.6000000345103434E+001,1.3431263901521084E-001,1.5999753794041913E+001,9.9968053286511847E+000,1.1670248771392274E-006,4.8575999301510653E-001,-8.9061816400625706E-004,-1.1551754394365857E-002,0.0000000000000000E+000,1.6000000345103434E+001,0.0000000000000000E+000,4.2658773825016116E-001,2.8381727026665715E+001,4.8575999301510653E-001,5.9172254764945365E-002,2.5600000207062063E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999753794041913E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000345103434E+001,1.1920000000000000E-001
