"time","revolute1.w","revolute2.w"
0.2641,-4.4923064665852257E+000,1.4285269107151388E+000
0.2701,-4.4878039574448882E+000,1.1235555514949538E+000
0.2761,-4.4756791324893905E+000,8.0219362285555762E-001
0.2821,-4.4554671254802791E+000,4.6431203364147411E-001
0.2881,-4.4266813593777803E+000,1.0974732930345510E-001
0.2941,-4.3888206776184298E+000,-2.6169685284860261E-001
0.3001,-4.3413776563713391E+000,-6.5024782301115980E-001
0.3061,-4.2838483246671126E+000,-1.0561606333086146E+000
0.3121,-4.2157436524494400E+000,-1.4797124275820857E+000
0.3181,-4.1366033686521781E+000,-1.9211924915445624E+000
0.3241,-4.0460129730660324E+000,-2.3808852124047455E+000
0.3301,-3.9436252475358802E+000,-2.8590418241161650E+000
0.3361,-3.8291882046316092E+000,-3.3558349329137918E+000
0.3421,-3.7025822925594589E+000,-3.8712872077322649E+000
0.3481,-3.5638708532507564E+000,-4.4051621076997307E+000
0.3541,-3.4133693104622949E+000,-4.9568000371938323E+000
0.3601,-3.2517402191331533E+000,-5.5248781464799777E+000
0.3661,-3.0801227008264043E+000,-6.1070672592782866E+000
0.3721,-2.9003048538484011E+000,-6.6995580261333050E+000
0.3781,-2.7149442441334375E+000,-7.2964366059234722E+000
0.3841,-2.5278305986081229E+000,-7.8889193331119660E+000
0.3901,-2.3441605692902114E+000,-8.4645228832599386E+000
0.3961,-2.1707514424055434E+000,-9.0063682251599246E+000
0.4021,-2.0160610064794713E+000,-9.4929892516120731E+000
0.4081,-1.8898283366795809E+000,-9.8991744336995691E+000
0.4141,-1.8021638767679982E+000,-1.0198344333740385E+001
0.4201,-1.7620735760199147E+000,-1.0366536385866359E+001
0.4261,-1.7757132884114515E+000,-1.0387188052124797E+001
0.4321,-1.8449779886033419E+000,-1.0255026572378803E+001
0.4381,-1.9670482790999733E+000,-9.9773112826236989E+000
0.4441,-2.1351126272773864E+000,-9.5718148780516756E+000
0.4501,-2.3399141268706996E+000,-9.0625420007623774E+000
0.4561,-2.5714646524106053E+000,-8.4750397068443544E+000
0.4621,-2.8203853151519040E+000,-7.8328084328561198E+000
0.4681,-3.0786660491851432E+000,-7.1553659034469428E+000
0.4741,-3.3399154042786754E+000,-6.4577323426281747E+000
0.4801,-3.5992851358264311E+000,-5.7507971365000863E+000
0.4861,-3.8532431613746718E+000,-5.0420716928662310E+000
0.4921,-4.0993100617450935E+000,-4.3365069637944265E+000
0.4981,-4.3358180578874759E+000,-3.6372164743032673E+000
0.5041,-4.5617138051938113E+000,-2.9460519402015692E+000
0.5101,-4.7764063555121643E+000,-2.2640336315831107E+000
0.5161,-4.9796532321974851E+000,-1.5916597717269119E+000
0.5221,-5.1714753742337107E+000,-9.2912416948665355E-001
0.5281,-5.3520922824599451E+000,-2.7646882884964030E-001
0.5341,-5.5218701917170963E+000,3.6630637650199716E-001
0.5401,-5.6812776379529639E+000,9.9915943235386717E-001
0.5461,-5.8308440603058997E+000,1.6219334352159753E+000
0.5521,-5.9711180029674935E+000,2.2342841183976039E+000
0.5581,-6.1026221081581031E+000,2.8355982280609333E+000
0.5641,-6.2258025344425416E+000,3.4248947060888630E+000
0.5701,-6.3409708701960472E+000,4.0007021116106882E+000
0.5761,-6.4482373011029956E+000,4.5609080519626026E+000
0.5821,-6.5474351119470082E+000,5.1025807056935726E+000
0.5881,-6.6380390700587144E+000,5.6217702993340524E+000
0.5941,-6.7190844405881895E+000,6.1133113451639955E+000
0.6001,-6.7890997507994202E+000,6.5706657416029195E+000
0.6061,-6.8460746611135601E+000,6.9858714717144590E+000
0.6121,-6.8874924640052564E+000,7.3496856038277789E+000
0.6181,-6.9104601969561843E+000,7.6520196266350640E+000
0.6241,-6.9119608659799470E+000,7.8827381058179311E+000
0.6301,-6.8892249226050852E+000,8.0328078128523490E+000
0.6361,-6.8401723308627664E+000,8.0956457204240664E+000
0.6421,-6.7638276162482605E+000,8.0683673397755467E+000
0.6481,-6.6605872700611055E+000,7.9525695707584569E+000
0.6541,-6.5322471741239667E+000,7.7543705806946042E+000
0.6601,-6.3817743494973644E+000,7.4836633503070704E+000
0.6661,-6.2128946445923168E+000,7.1528049428521356E+000
0.6721,-6.0296190645643657E+000,6.7751183873439125E+000
0.6781,-5.8358255484678869E+000,6.3635657305034945E+000
0.6841,-5.6349660939032518E+000,5.9298078004402610E+000
0.6901,-5.4299141516145806E+000,5.4836983945959465E+000
0.6961,-5.2229287496169814E+000,5.0331426373608030E+000
0.7021,-5.0156964141350748E+000,4.5842013176730774E+000
0.7081,-4.8094136612890024E+000,4.1413272635914842E+000
0.7141,-4.6048824541172877E+000,3.7076484858291789E+000
0.7201,-4.4026017408977776E+000,3.2852452116203423E+000
0.7261,-4.2028467383383523E+000,2.8753939775998911E+000
0.7321,-4.0057332463021940E+000,2.4787692511507862E+000
0.7381,-3.8112674324957605E+000,2.0956028852725113E+000
0.7441,-3.6193829808081399E+000,1.7258063794011109E+000
0.7501,-3.4299679435491361E+000,1.3690624817139920E+000
0.7561,-3.2428835611674796E+000,1.0248925964261912E+000
0.7621,-3.0579770115664515E+000,6.9270566342432127E-001
0.7681,-2.8750896888458795E+000,3.7183316355226359E-001
0.7741,-2.6940622678870296E+000,6.1553921482036277E-002
0.7801,-2.5147375185866063E+000,-2.3888846647333864E-001
0.7861,-2.3369615990528008E+000,-5.3027343229654511E-001
0.7921,-2.1605843768024759E+000,-8.1339484006188689E-001
0.7981,-1.9854591929935976E+000,-1.0890547579672631E+000
0.8041,-1.8114423884828590E+000,-1.3580586402063195E+000
0.8101,-1.6383928444371321E+000,-1.6212111484088727E+000
0.8161,-1.4661717481449226E+000,-1.8793119595794259E+000
0.8221,-1.2946427716697011E+000,-2.1331509682095016E+000
0.8281,-1.1236728431373133E+000,-2.3835023061446341E+000
0.8341,-9.5313369433198458E-001,-2.6311165849689115E+000
0.8401,-7.8290438035716592E-001,-2.8767107225335975E+000
0.8461,-6.1287498298040710E-001,-3.1209546607959195E+000
0.8521,-4.4295172263153543E-001,-3.3644542348958884E+000
0.8581,-2.7306370546114939E-001,-3.6077294411840706E+000
0.8641,-1.0317150748032661E-001,-3.8511874160449882E+000
0.8701,6.6722272157708165E-002,-4.0950896367606306E+000
0.8761,2.3656049841563823E-001,-4.3395132688831888E+000
0.8821,4.0621728274805913E-001,-4.5843073062338702E+000
0.8881,5.7548269458703316E-001,-4.8290452752739546E+000
0.8941,7.4404756955995466E-001,-5.0729778673347745E+000
0.9001,9.1149025745279633E-001,-5.3149908878591097E+000
0.9061,1.0772678962712146E+000,-5.5535761576868241E+000
0.9121,1.2407154436818082E+000,-5.7868249782885766E+000
0.9181,1.4010559693870390E+000,-6.0124546680381217E+000
0.9241,1.5574252599701153E+000,-6.2278774413923612E+000
0.9301,1.7089122904210856E+000,-6.4303165701225646E+000
0.9361,1.8546144739039381E+000,-6.6169670145047146E+000
0.9421,1.9937031469754476E+000,-6.7851875026168704E+000
0.9481,2.1254913447615063E+000,-6.9327009026967668E+000
0.9541,2.2494937844958249E+000,-7.0577732705571403E+000
0.9601,2.3654691834523804E+000,-7.1593423706020740E+000
0.9661,2.4734379296690130E+000,-7.2370748153126980E+000
0.9721,2.5736729810653349E+000,-7.2913451611981648E+000
0.9781,2.6666671446611470E+000,-7.3231458019602682E+000
0.9841,2.7530839200560195E+000,-7.3339484088274638E+000
0.9901,2.8337008495361817E+000,-7.3255429275525614E+000
0.9961,2.9093537430024896E+000,-7.2998785560815174E+000
1.0021,2.9808879633343626E+000,-7.2589248083302396E+000
1.0081,3.0491201812442448E+000,-7.2045626914755605E+000
1.0141,3.1148114874388626E+000,-7.1385086798078232E+000
1.0201,3.1786509479007141E+000,-7.0622689202992435E+000
1.0261,3.2412476980218496E+000,-6.9771182267602336E+000
1.0321,3.3031293514195523E+000,-6.8840974961604591E+000
1.0381,3.3647446210595571E+000,-6.7840235438136567E+000
1.0441,3.4264683988028217E+000,-6.6775063751639472E+000
1.0501,3.4886079576575226E+000,-6.5649701326144667E+000
1.0561,3.5514093352717317E+000,-6.4466751037278680E+000
1.0621,3.6150632841032508E+000,-6.3227391262060486E+000
1.0681,3.6797104222660595E+000,-6.1931574437998016E+000
1.0741,3.7454453957435758E+000,-6.0578205746802727E+000
1.0801,3.8123199811405599E+000,-5.9165300893314221E+000
1.0861,3.8803451333349552E+000,-5.7690124014489488E+000
1.0921,3.9494920275851833E+000,-5.6149307903548928E+000
1.0981,4.0196921715102665E+000,-5.4538959268465970E+000
1.1041,4.0908366768773474E+000,-5.2854751880534474E+000
1.1101,4.1627747899896335E+000,-5.1092010359065867E+000
1.1161,4.2353117865313825E+000,-4.9245787081613113E+000
1.1221,4.3082063444776706E+000,-4.7310934366990738E+000
1.1281,4.3811675185616519E+000,-4.5282173686300844E+000
1.1341,4.4538514524657735E+000,-4.3154163233862732E+000
1.1401,4.5258579803846635E+000,-4.0921564743933034E+000
1.1461,4.5967272873696636E+000,-3.8579109973705026E+000
1.1521,4.6659368168802962E+000,-3.6121666789801181E+000
1.1581,4.7328986327343481E+000,-3.3544304296469214E+000
1.1641,4.7969574592094437E+000,-3.0842355933298844E+000
1.1701,4.8573896350356582E+000,-2.8011478955946645E+000
1.1761,4.9134032217185704E+000,-2.5047708205927712E+000
1.1821,4.9641395011028520E+000,-2.1947501588922171E+000
1.1881,5.0086760783235276E+000,-1.8707774231364294E+000
1.1941,5.0460317714457723E+000,-1.5325917889217635E+000
1.2001,5.0751734157433086E+000,-1.1799801856531777E+000
1.2061,5.0950246370275005E+000,-8.1277513768939247E-001
1.2121,5.1044765541068555E+000,-4.3084994043902619E-001
1.2181,5.1024002561267592E+000,-3.4110748934944014E-002
1.2241,5.0876607687018200E+000,3.7751484368524429E-001
1.2301,5.0591320777803066E+000,8.0409315641193857E-001
1.2361,5.0157126283658586E+000,1.2457041147065828E+000
1.2421,4.9563405645920096E+000,1.7024657087087522E+000
1.2481,4.8800078374972182E+000,2.1745636561118777E+000
1.2541,4.7857721869843255E+000,2.6622867596955286E+000
1.2601,4.6727659141584930E+000,3.1660685403646065E+000
1.2661,4.5402003071878561E+000,3.6865358740126672E+000
1.2721,4.3873645731937865E+000,4.2245655791980319E+000
1.2781,4.2136181630948943E+000,4.7813502031763058E+000
1.2841,4.0183754577113220E+000,5.3584746356531907E+000
1.2901,3.8010819183291527E+000,5.9580056157102073E+000
1.2961,3.5611810166065876E+000,6.5825966033400025E+000
1.3021,3.2980716121555425E+000,7.2356106570416792E+000
1.3081,3.0110560983499286E+000,7.9212634322625650E+000
1.3141,2.6992809384263099E+000,8.6447861979995295E+000
1.3201,2.3616739155922550E+000,9.4126027493675188E+000
1.3261,1.9968880976768708E+000,1.0232499821981495E+001
1.3321,1.6032744337233802E+000,1.1113738762809616E+001
1.3381,1.1789297363048825E+000,1.2066987446880782E+001
1.3441,7.2191785847149093E-001,1.3103806696354882E+001
1.3501,2.3086395420054631E-001,1.4235130666703771E+001
1.3561,-2.9368628727506207E-001,1.5467616382503035E+001
1.3621,-8.4643938569208699E-001,1.6795802235158003E+001
1.3681,-1.4120495230274155E+000,1.8187034842561385E+001
1.3741,-1.9568011602668423E+000,1.9557307016119761E+001
1.3801,-2.4202853955059473E+000,2.0746187227859121E+001
1.3861,-2.7188960872056676E+000,2.1524679589925277E+001
1.3921,-2.7773895254347973E+000,2.1683561624221998E+001
