"time","Resistor_1.R","Resistor_1.v","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0.002,1.0000000000000000E+000,4.8496303349384010E+002,1.7480793050000005E+002,1.3535687189999993E+002,-3.1016480239999993E+002
0.0021,1.0000000000000000E+000,4.9208768109875081E+002,1.8280121350000002E+002,1.2649509599999996E+002,-3.0929630950000001E+002
0.0022,1.0000000000000000E+000,4.9872669741643261E+002,1.9061409370000004E+002,1.1750848469999995E+002,-3.0812257840000001E+002
0.0023,1.0000000000000000E+000,5.0487353067792333E+002,1.9823886080000000E+002,1.0840590670000000E+002,-3.0664476750000000E+002
0.0024,1.0000000000000000E+000,5.1052211480454622E+002,2.0566799010000000E+002,9.9196345190000002E+001,-3.0486433529999999E+002
0.0025,1.0000000000000000E+000,5.1566687520779465E+002,2.1289414990000000E+002,8.9888888850000001E+001,-3.0278303879999999E+002
0.0026,1.0000000000000000E+000,5.2030273468921439E+002,2.1991020889999993E+002,8.0492723030000022E+001,-3.0040293200000002E+002
0.0027,1.0000000000000000E+000,5.2442511814030843E+002,2.2670924309999998E+002,7.1017120600000041E+001,-2.9772636369999998E+002
0.0028,1.0000000000000000E+000,5.2802995744244072E+002,2.3328454269999995E+002,6.1471432860000085E+001,-2.9475597549999998E+002
0.0029,1.0000000000000000E+000,5.3111369476676930E+002,2.3962961849999994E+002,5.1865080230000082E+001,-2.9149469870000007E+002
0.003,1.0000000000000000E+000,5.3367328707415516E+002,2.4573820879999994E+002,4.2207543030000082E+001,-2.8794575190000000E+002
0.0031,1.0000000000000000E+000,5.3570620831512053E+002,2.5160428529999990E+002,3.2508352080000130E+001,-2.8411263730000007E+002
0.0032,1.0000000000000000E+000,5.3721045212979323E+002,2.5722205859999991E+002,2.2777079310000129E+001,-2.7999913790000005E+002
0.0033,1.0000000000000000E+000,5.3818453404786260E+002,2.6258598479999989E+002,1.3023328310000169E+001,-2.7560931310000007E+002
0.0034,1.0000000000000000E+000,5.3862749298855090E+002,2.6769077039999991E+002,3.2567248600001690E+000,-2.7094749530000007E+002
0.0035,1.0000000000000000E+000,5.3853889146060806E+002,2.7253137749999996E+002,-6.5130925839998302E+000,-2.6601828490000014E+002
0.0036,1.0000000000000000E+000,5.3791881706228185E+002,2.7710302899999988E+002,-1.6276482389999792E+001,-2.6082654660000009E+002
0.0037,1.0000000000000000E+000,5.3676788178133279E+002,2.8140121329999994E+002,-2.6023809279999785E+001,-2.5537740400000013E+002
0.0038,1.0000000000000000E+000,5.3508722149504285E+002,2.8542168859999992E+002,-3.5745453799999744E+001,-2.4967623480000015E+002
0.0039,1.0000000000000000E+000,5.3287849457024402E+002,2.8916048709999990E+002,-4.5431821879999752E+001,-2.4372866520000014E+002
0.004,1.0000000000000000E+000,5.3014388096333653E+002,2.9261391909999986E+002,-5.5073354239999752E+001,-2.3754056490000016E+002
0.0041,1.0000000000000000E+000,5.2688607942034469E+002,2.9577857659999995E+002,-6.4660535839999753E+001,-2.3111804070000017E+002
0.0042,1.0000000000000000E+000,5.2310830477697084E+002,2.9865133619999995E+002,-7.4183905309999744E+001,-2.2446743090000018E+002
0.0043,1.0000000000000000E+000,5.1881428555864363E+002,3.0122936309999994E+002,-8.3634064209999835E+001,-2.1759529890000010E+002
0.0044,1.0000000000000000E+000,5.1400825928061101E+002,3.0351011299999999E+002,-9.3001686389999847E+001,-2.1050842660000015E+002
0.0045,1.0000000000000000E+000,5.0869496874801564E+002,3.0549133499999994E+002,-1.0227752709999983E+002,-2.0321380780000013E+002
0.0046,1.0000000000000000E+000,5.0287965775597985E+002,3.0717107390000001E+002,-1.1145243229999991E+002,-1.9571864160000007E+002
0.0047,1.0000000000000000E+000,4.9656806528972277E+002,3.0854767210000000E+002,-1.2051734739999993E+002,-1.8803032470000008E+002
0.0048,1.0000000000000000E+000,4.8976642012466664E+002,3.0961977100000001E+002,-1.2946332639999994E+002,-1.8015644460000004E+002
0.0049,1.0000000000000000E+000,4.8248143452656399E+002,3.1038631249999997E+002,-1.3828154069999999E+002,-1.7210477180000001E+002
0.005,1.0000000000000000E+000,4.7472029815161983E+002,3.1084654030000002E+002,-1.4696328790000001E+002,-1.6388325240000000E+002
0.0051,1.0000000000000000E+000,4.6649300248833867E+002,3.1100000000000000E+002,-1.5550000000000000E+002,-1.5550000000000000E+002
0.0052,1.0000000000000000E+000,4.7472029815161989E+002,3.1084654030000002E+002,-1.6388325240000000E+002,-1.4696328790000001E+002
0.0053,1.0000000000000000E+000,4.8248143452656404E+002,3.1038631249999997E+002,-1.7210477180000009E+002,-1.3828154069999994E+002
