"time","y","z"
9.69,2.0360718075505144E-002,-1.2217004384994699E-001
9.71,1.6153317198506201E-002,-3.1817004384994702E-001
9.73,8.0259163215072610E-003,-5.1417004384994702E-001
9.75,6.7530575145795084E-004,4.6402753288746001E-001
9.77,8.1918564092071516E-003,2.6802753288745995E-001
9.79,1.1788407066956351E-002,7.2027532887459889E-002
9.81,1.1464957724705549E-002,-1.2397246711254016E-001
9.83,7.2215083824547456E-003,-3.1997246711254018E-001
9.85,-9.4194095979605887E-004,3.8697935033440511E-001
9.87,5.0336460468920433E-003,1.9097935033440505E-001
9.89,7.0892330535801433E-003,-5.0206496655950048E-003
9.91,5.2248200602682425E-003,-2.0102064966559505E-001
9.93,-5.5959293304365832E-004,2.9776548724919633E-001
9.95,3.6317168119402673E-003,1.0176548724919626E-001
9.97,3.9030265569241921E-003,-9.4234512750803787E-002
9.99,2.5433630190811643E-004,-2.9023451275080381E-001
10,1.4144389298104301E-003,1.4825921789526625E-001
