"time","J1.w","J2.w","J3.w","J4.w"
0.084,9.7587749503474193E+000,8.3847594030531580E-001,2.4487488654472180E-035,0.0000000000000000E+000
0.087,9.7421386982334628E+000,8.6830548327853008E-001,9.7779890877937509E-035,0.0000000000000000E+000
0.09,9.7229217267509949E+000,8.9812277577115118E-001,9.7912496380869240E-035,0.0000000000000000E+000
0.093,9.7010303704700167E+000,9.2792739401345092E-001,1.4695505603591909E-034,0.0000000000000000E+000
0.096,9.6763948143067395E+000,9.5771891441583246E-001,9.7906691652733919E-035,0.0000000000000000E+000
0.099,9.6489697169610213E+000,9.8749691357484692E-001,5.2146904534337493E-035,0.0000000000000000E+000
0.102,9.6187346171210759E+000,1.0172609682792122E+000,9.7864063062671515E-035,0.0000000000000000E+000
0.105,9.5856941188299789E+000,1.0470106555158283E+000,9.7861819016800788E-035,0.0000000000000000E+000
0.108,9.5498778543685177E+000,1.0767455524757885E+000,9.7867152688264919E-035,0.0000000000000000E+000
0.111,9.5113402249838668E+000,1.1064652365603889E+000,9.7867152443626680E-035,0.0000000000000000E+000
0.114,9.4701599217652657E+000,1.1361692853871341E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.117,9.4264392309194207E+000,1.1658572767957400E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.12,9.3803031296120398E+000,1.1955287888541335E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.123,9.3318981804007546E+000,1.2251833998644510E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.126,9.2813912340725118E+000,1.2548206883690272E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.129,9.2289679523990742E+000,1.2844402331563900E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.132,9.1748311639226898E+000,1.3140416132672472E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.135,9.1191990673661056E+000,1.3436244080004645E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.138,9.0623032986134309E+000,1.3731881969190469E+000,9.7867152443606302E-035,0.0000000000000000E+000
