"time","outputs[1]","outputs[2]"
4.661,3.6083333333332881E+01,3.5675710152708007E+01
4.681,3.6166666666666245E+01,3.5644388500509649E+01
4.701,3.6249999999999602E+01,3.5613129432139885E+01
4.721,3.6333333333332966E+01,3.5581932822549845E+01
4.741,3.6416666666666330E+01,3.5550798546940939E+01
4.761,3.6499999999999687E+01,3.5519726480763268E+01
4.781,3.6583333333333044E+01,3.5639394518574363E+01
4.801,3.6666666666666409E+01,3.5796356904585650E+01
4.821,3.6749999999999773E+01,3.5952896740099959E+01
4.841,3.6833333333333130E+01,3.6109015288096714E+01
4.861,3.6916666666666494E+01,3.6264713806927887E+01
4.881,3.6999999999999858E+01,3.6419993550340848E+01
4.901,3.7083333333333215E+01,3.6574855767501390E+01
4.921,3.7166666666666572E+01,3.6729301703016517E+01
4.941,3.7249999999999936E+01,3.6883332596957700E+01
4.961,3.7333333333333300E+01,3.7036949684882359E+01
4.981,3.7416666666666657E+01,3.7190154197857396E+01
5,3.7495833333333351E+01,3.7335317454888013E+01
5.02,3.7579166666666715E+01,3.7487720970662906E+01
5.04,3.7662500000000080E+01,3.7639715517181742E+01
5.06,3.7745833333333437E+01,3.7791302307987166E+01
5.08,3.7829166666666794E+01,3.7942482552239198E+01
5.1,3.7912500000000158E+01,3.8093257454737284E+01
5.12,3.7995833333333522E+01,3.8243628215940305E+01
5.14,3.8079166666666879E+01,3.8393596031988750E+01
5.16,3.8162500000000243E+01,3.8543162094725858E+01
5.18,3.8245833333333607E+01,3.8692327591717742E+01
5.2,3.8329166666666964E+01,3.8841093706274819E+01
5.22,3.8412500000000321E+01,3.8989461617472045E+01
5.24,3.8495833333333692E+01,3.9137432500169723E+01
5.26,3.8579166666667049E+01,3.9285007525032711E+01
5.28,3.8662500000000406E+01,3.9432187858552595E+01
5.3,3.8745833333333771E+01,3.9578974663065878E+01
5.32,3.8829166666667135E+01,3.9725369096775012E+01
5.34,3.8912500000000492E+01,3.9871372313767608E+01
5.36,3.8995833333333856E+01,3.9961361398505005E+01
5.38,3.9079166666667220E+01,3.9921476581702166E+01
5.4,3.9162500000000577E+01,3.9881671458796916E+01
5.42,3.9245833333333934E+01,3.9841945870552877E+01
5.44,3.9329166666667298E+01,3.9802299658051766E+01
5.46,3.9412500000000662E+01,3.9762732662692599E+01
5.48,3.9495833333334019E+01,3.9723244726191581E+01
5.5,3.9579166666667383E+01,3.9683835690581304E+01
5.52,3.9662500000000747E+01,3.9644505398209560E+01
5.54,3.9745833333334105E+01,3.9605253691739620E+01
5.56,3.9829166666667462E+01,3.9566080414148757E+01
5.58,3.9912500000000826E+01,3.9526985408728194E+01
5.6,3.9995833333334190E+01,3.9487968519082074E+01
5.62,4.0079166666667547E+01,3.9449029589127520E+01
5.64,4.0162500000000911E+01,3.9410168463092873E+01
5.66,4.0245833333334275E+01,3.9371384985518091E+01
5.68,4.0329166666667632E+01,3.9332679001253723E+01
5.7,4.0412500000000989E+01,3.9470460207307781E+01
5.72,4.0495833333334360E+01,3.9617144697115862E+01
5.74,4.0579166666667717E+01,3.9763437117127808E+01
5.76,4.0662500000001074E+01,3.9909338620362803E+01
5.78,4.0745833333334438E+01,4.0054850355750261E+01
5.8,4.0829166666667803E+01,4.0199973468148812E+01
5.82,4.0912500000001160E+01,4.0344709098366479E+01
5.84,4.0995833333334524E+01,4.0489058383179156E+01
5.86,4.1079166666667888E+01,4.0633022455350272E+01
5.88,4.1162500000001245E+01,4.0776602443649040E+01
5.9,4.1245833333334602E+01,4.0919799472870409E+01
5.92,4.1329166666667966E+01,4.1062614663852742E+01
5.94,4.1412500000001330E+01,4.1205049133497198E+01
5.96,4.1495833333334687E+01,4.1347103994785641E+01
5.98,4.1579166666668051E+01,4.1488780356798998E+01
6,4.1662500000001415E+01,4.1630079324736073E+01
6.02,4.1745833333334772E+01,4.1771001999931173E+01
6.04,4.1829166666668129E+01,4.1911549479872122E+01
6.06,4.1912500000001494E+01,4.2051722858218398E+01
6.08,4.1995833333334858E+01,4.2191523224818752E+01
6.1,4.2079166666668215E+01,4.2330951665728946E+01
6.12,4.2162500000001579E+01,4.2470009263229315E+01
6.14,4.2245833333334943E+01,4.2608697095841762E+01
6.16,4.2329166666668300E+01,4.2747016238347726E+01
6.18,4.2412500000001657E+01,4.2884967761805171E+01
6.2,4.2495833333335028E+01,4.3022552733565306E+01
